خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
فکر می‌کرد غربت برایم امن‌تر است,фикр мекард ғурбат бароям амнтар аст
هر بار که تلفنی صحبت می‌کردیم التجا می‌کرد,ҳар бор ки телефунӣ суҳбат мекардем илтиҷо мекард
ده نومَت مُرم بمیرم برات شفقت جون گپ‌های سیاسی نزن به این و اون کاری نداشته باش مون بی‌بلا شینیم بذار بی‌بلا بشینیم,да нумат мурам шафқатҷун гапҳои сиёсӣ назан ба ину ун кор надошта бош мун бебало шинем
همه‌اش نگران بود که صراحت لهجه کار دستم خواهد داد و روزی روزگاری به حسابم خواهند رسید و سربه‌نیستم خواهند کرد,ҳамааш нигарон буд ки сароҳати лаҳҷа бепардагӯӣ кор дастам хоҳад дод ва рӯзе-рӯзгоре ба ҳисобам хоҳанд расид ва сарбанестам хоҳанд кард
حالا تنها مایۀ تسلای من این است که داغِ من بر سینه‌اش ننشست,ҳоло танҳо мояи тасаллои ман ин аст ки доғи ман бар синааш нанишаст
و هر بار که به دیدنش می‌رفتم پیش از خداحافظیِ تلخ و شور و اشک‌آلودی که داشتیم می‌گفت,ва ҳар бор ки ба диданаш мерафтам пеш аз худоҳофизии талху шӯру ашколуде ки доштем мегуфт
گل‌های باغِ وصلت چینیم یا نچینیم,гулҳои боғи васлат чинем ё начинем
دیدار یکدِگر‌را بینیم یا نبینیم,дидори якдигарро бинем ё набинем
و من همیشه اطمینان می‌دادم که خواهیم چید و خواهیم دید,ва ман ҳамеша итминон медодам ки хоҳем чиду хоҳем дид
اما این بار همین دو ماه پیش در روز پربرفِ اول اسفند که خداحافظی کردیم دیگر آن بیت‌را نخواند,аммо ин бор ҳамин ду моҳ пеш дар рӯзи пурбарфи аввали исфанд ки худоҳофизӣ кардем дигар он байтро нахонд
سرِ آستانۀ خانه یک کارد بزرگ گذاشت,сари остонаи хона як корди бузург гузошт
از روی کار رد شدم,аз рӯи корд рад шудам
روی شانه‌هایم آرد پاشید,рӯи шонаҳоям орд пошид
گرم در آغوشم گرفت و گونه‌هایم‌را بوسید,гарм дар оғӯшам гирифту гунаҳоямро бӯсид
و با آرامش عجیبی خداحافظی کرد,ва бо оромиши ъаҷибе худоҳофизӣ кард
برای اولین بار از حملۀ امواج احساساتم هنگام خداحافظی با مادر در امان مانده بودم,барои аввалин бор аз ҳамлаи амвоҷи эҳсосотам ҳангоми худоҳофизӣ бо модар дар амон монда будам
چون مادر آرام بود و گریه نمی‌کرد,чун модар ором буду гиря намекард
انگار داشتم برای چند ساعتی از او دور می‌شدم,ангор доштам барои чанд соъате аз ӯ дур мешудам
و واقعاً همین طور هم شد,ва воқеъан ҳамин тавр ҳам шуд
پرواز ساعت به تاخیر افتاد و من شادان‌وشتابان پهلوی مادر برگشتم,парвоз соъат ба таъхир уфтод ва ман шодону шитобон паҳлуи модар баргаштам
با هم گفتیم و چایی نوشیدیم و اندرزهایش‌را به گوش جان شنفتم,бо ҳам гуфтему чоӣ нӯшидему андарзҳояшро ба гӯши ҷон шунуфтам
و باز هم صحنۀ خداحافظی,ва боз ҳам саҳнаи худоҳофизӣ
این بار برای همیشه,ин бор барои ҳамеша
فیلم آخرین ساعات زندگی مادر‌را می‌بینم که پیمان برایم فرستاده,филми охирин соъоти зиндагии модарро мебинам ки паймон бароям фиристодааст
مادر در حال تماشای یک سریال ترکی لابد روی شبکۀ جِم‌تی‌وی,модар дар ҳоли тамошои як сериёли туркӣ лобуд рӯи шабакаи
کوچک‌ترین نشانه‌ای نیست از این که این عزیز دل و دیده رفتنی است,кӯчактарин нишонае аз ин нест ки ин ъазизи дилу дида рафтанист
کاملاً ناگهانی بود,комилан ногаҳонӣ буд
سر پا بود که قلبش پس از سال از تپیدن بازماند,сари по буд ки қалбаш пас аз сол аз тапидан бозмонд
کنار نخست‌فرزندش و در بغل او جان داد,канори нахустфарзандаш ва дар бағали ӯ ҷон дод
این دعای همیشگی‌اش مستجاب شد که خداوندا هرگز مرا محتاج دیگران نکن,ин дуъои ҳамешагиаш мустаҷоб шуд ки худовандо ҳаргиз маро муҳтоҷи дигарон накун
اما ظرف دو سه ماه اخیر دمی از درد دوری فرهاد نیاسوده بود و همین درد بی‌درمان قلب ظریف مادر‌را سوده بود,аммо зарфи ду-се моҳи ахир даме аз дарди дурӣ аз фарҳод наосуда буд ва ҳамин дарди бедармон қалби зарифи модарро суда буд
و زخمِ رفتنِ فرهاد هنوز به هم نرسیده زخم جان‌سوزتری وجود ما‌را به آتش کشید,ва захми рафтани фарҳод ҳанӯз ба ҳам нарасида захми ҷонсӯзтаре вуҷуди моро ба оташ кашид
حالا با این قلب شرحه شرحه و ذهنِ پریشانِ مادرمرده چگونه شرح درد دوری از پاک‌ترین انسانی‌را بگویم که نگاهش چشمۀ مهر بود,ҳоло бо ин қалби шарҳа-шарҳаву зеҳни парешони модармурда чигуна шарҳи дарди дурӣ аз поктарин инсонеро бигӯям ки нигоҳаш чашмаи меҳр буд
چگونه تظاهر کنم که من همانم که بودم و زندگی همان است که بود,чигуна тазоҳур кунам ки ман ҳамонам ки будам ва зиндагӣ ҳамон аст ки буд
چیزی‌را که مادر به من یاد نداده همین تظاهر است,чизеро ки модар ба ман ёд надода ҳамин тазоҳур аст
از لحظه‌ای که خورشیدم غروب کرد و در چنگ ظلمت ماندم سردم است,аз лаҳзае ки хуршедам ғуруб карду дар чанги зулмат мондам сардам аст
سرد مثل این که در یخچال خداوند گرفتار آمده باشم,сард мисли ин ки дар яхчоли худованд гирифтор омада бошам
سرد انگار زمهریر موعود همین بوده,сард ангор замҳарири мавъуд ҳамин буда
گویا تازه از بطن مادر فرو افتاده و در دشت برهوتی رها شده‌ام سرگردان,гӯё тоза аз батни модар фурӯ уфтодаву дар дашти бараҳуте раҳо шудаам саргардон
از این به بعد انتظار رسیدنم‌را نمی‌کشید مامان,аз ин ба баъд интизори расиданамро намекашед момон
از این به بعد نگران گفته‌ها و نوشته‌های بی‌پروای من نیستید,аз ин ба баъд нигарони гуфтаҳову нивиштаҳои бепарвои ман нестед
از این به بعد مهم‌ترین مخاطب برنامه‌هایم‌را ندارم,аз ин ба баъд муҳимтарин мухотаби барномаҳоямро надорам
معصومانه‌ترین نگاه و تبسم از روی صفحۀ زمین زدوده شد,маъсумонатарин нигоҳу табассум аз рӯи сафҳаи замин зудуда шуд
وجود بهاری‌اش که فروردین آمده بود اردی‌بهشت هم زیر خاک شد و روانش در بهشت آرمید,вуҷуди баҳориаш ки фарвардин омада буд урдибиҳишт ҳам зери хок шуд ва равонаш дар биҳишт орамид
مادرم زبیده رجبیان زبید یا عطیه یا هدیه پروردگار بود و بازپس به سوی پروردگار شتافت,модарам зубайдаи раҷабиён зубайд ё ъатия ё ҳадяи парвардигор буду бозпас ба сӯи парвардигор шитофт
با این همه حرف نتوانستم یک ذره از اندوه دوری‌ات‌را بیان کنم مادر,бо ин ҳама ҳарф натавонистам як зарра аз андӯҳи дуриатро баён кунам модар
این عکس‌را که اکنون در گوشۀ یادبود مادرم در غربت است نوه‌اش پیمان دو روز پیش از درگذشت فرشتۀ نگهبانم گرفته,ин ъаксро ки акнун дар гӯшаи ёдбуди модарам дар ғурбат аст навааш паймон ду рӯз пеш аз даргузашти фириштаи нигаҳбонам гирифта
شور و هیجان همه‌پرسی ترکیه در حال فرو نشستن است اما بحث‌ها در مورد این که چه تغییری در قانون اساسی این کشور رخ داده برای مدت‌ها ادامه خواهد داشت,шӯру ҳаяҷони ҳамапурсии туркия дар ҳоли фурӯ нишастан аст аммо баҳсҳо дар мавриди ин ки чи тағйире дар қонуни асосии ин кишвар рух дода барои муддатҳо идома хоҳад дошт
یکی از موضوع‌هایی که در این میان بارها مطرح شده و غالباً از سوی هواداران رای آری در آن همه‌پرسی بی‌جهت بودن نگرانی‌ها در مورد احتمال سقوط ترکیه در پرتگاه استبداد و خودکامگی است,яке аз мавзӯъҳое ки дар ин миён борҳо матраҳ шуда – ва ғолибан аз сӯи ҳаводорони раъйи оре дар он ҳамапурсӣ – беҷиҳат будани нигарониҳо дар мавриди эҳтимоли суқути туркия дар партгоҳи истибдоду худкомагист
می‌گویند,мегӯянд
ترکیه تنها کشوری نیست که نظام ریاست جمهوری‌را بر نظام پارلمانی ترجیح داده و قرار است تا دو سال دیگر از زمان برگزاری انتخابات ریاست جمهوری بعدی شبیه نظام‌های سیاسی کشورهایی چون آمریکا و فرانسه شود,туркия танҳо кишваре нест ки низоми раёсати ҷумҳуриро бар низоми порлумонӣ тарҷеҳ дода ва қарор аст то ду соли дигар аз замони баргузории интихоботи раёсати ҷумҳурии баъдӣ шабеҳи низомҳои сиёсии кишварҳое чун омрикову фаронса шавад
و بی‌جهت هم نمی‌گویند,ва беҷиҳат ҳам намегӯянд
هرچند نظام سیاسی فرانسه شبه‌ریاستی است و نخست‌وزیر هم دارد,ҳарчанд низоми сиёсии фаронса шибҳираёсатӣ аст ва нахуствазир ҳам дорад
و اما نظام‌های سیاسی ترکیه و آمریکا و بسیاری دیگر از کشورهای جهان از این به بعد یک تعریف واحد خواهند داشت,ва аммо низомҳои сиёсии туркияву омрико ва бисёре дигар аз кишварҳои ҷаҳон аз ин ба баъд як таърифи воҳид хоҳанд дошт
نظام ریاستی,низоми раёсатӣ
نظامی که در راس هم حکومت و هم دولت آن یک نفر قرار دارد و او رئیس‌جمهور است,низоме ки дар раъси ҳам ҳукумат ва ҳам давлати он як нафар қарор дорад ва ӯ раисиҷумҳур аст
ولی آیا هر گردی گردوست,вале оё ҳар гирде гирдуст
در رسانه‌های داخلی ترکیه اصطلاح tü başkanlı ریاست جمهوری به سبک ترکی متداول شده که حکایت از تفاوت میان نظام ریاستی آتی این کشور با سایر نظام‌های همنام دارد,дар расонаҳои дохилии туркия истилоҳи tü başkanlı раёсати ҷумҳурӣ ба сабки туркӣ мутадовил шуда ки ҳикоят аз тафовути миёни низоми раёсатии отии ин кишвар бо соири низомҳои ҳамном дорад
برای نمونه می‌شود ویژگی‌های نظام‌های ریاستی ترکیه و آمریکا‌را کنار هم گذاشت و سنجید,барои намуна мешавад вежагиҳои низомҳои раёсатии туркия ва омрикоро канори ҳам гузошту санҷид
استقلال قوه قضائیه,истиқлоли қувваи қазоия
همه‌پرسی ترکیه اصل قانون اساسی‌را تغییر داد,ҳамапурсии туркия асли қонуни асосиро тағйир дод
نخستین آنها اصل نهم بود که می‌گفت,нахустини онҳо асли нуҳум буд ки мегуфт
قدرت قضایی باید در اختیار دادگاه‌های مستقل باشد که به نمایندگی از ملت ترکیه عمل می‌کنند,қудрати қазоӣ бояд дар ихтиёри додгоҳҳои мустақил бошад ки ба намояндагӣ аз миллати туркия ъамал мекунанд
در پی همه‌پرسی یک واژه به تعریف ماهیت دادگاه‌ها اضافه شد,дар паи ҳамапурсӣ як вожа ба таърифи моҳияти додгоҳҳо изофа шуд
بی‌طرف,бетараф
یعنی فقط دادگاه‌های مستقل و بی‌طرف حق داوری حقوقی دارند,яъне фақат додгоҳҳои мустақиллу бетараф ҳаққи доварии ҳуқуқӣ доранд
فعلاً دادستان‌ها و قضات ارشد ترکیه‌را چهار مرجع تعیین می‌کنند,феълан додситонҳову қузоти аршади туркияро чаҳор марҷаъ таъйин мекунанд
وظیفۀ تعیین درصد آنها به دوش قوۀ قضائیه است درصد با رئیس‌جمهور است؛ هشت درصد‌را پارلمان و پنج درصد باقی‌مانده‌را نخست‌وزیر و کابینه برمی‌گمارند,вазифаи таъйини дарсади онҳо ба дӯши қувваи қазоия аст дарсад бо раисиҷумҳур аст дарсадро порлумон ва дарсади боқимондаро нахуствазир ва кобине бармегуморанд
در پی همه‌پرسی اخیر فقط دو مرجع دادستان‌ها و قضات ارشد کشور‌را منصوب خواهند کرد,дар паи ҳамапурсии ахир фақат ду марҷаъ додситонҳову қузоти аршади кишварро мансуб хоҳанд кард
درصد با رئیس‌جمهور است و درصد هم با پارلمان,дарсад бо раисиҷумҳур аст ва дарсад ҳам бо порлумон
عملاً سهم هر دو افزایش یافته چون دو مرجع دیگر حذف شده‌اند اما بخش اعظم قضات از جملۀ منصوبان شخص رئیس‌جمهور خواهند بود,ъамалан саҳми ҳар ду афзоиш ёфта чун ду марҷаъи дигар ҳазф шудаанд аммо бахши аъзами қузот аз ҷумлаи мансубони шахси раисиҷумҳур хоҳанд буд
مخالفان همه‌پرسی فروردین می‌گویند که با چنین تغییری اصل تفکیک قوای سه‌گانه زیر سؤال رفته؛ بخش اعظم بدنۀ اصلی قوۀ قضائیه‌را رئیس قوۀ مجریه تعیین می‌کند و مابقی آن‌را نهاد قانون‌گذاری با اکثریتی که از حزب رئیس قوۀ مجریه می‌آید,мухолифони ҳамапурсии фарвардин мегӯянд ки бо чунин тағйире асли тафкики қуввои сегона зери суол рафта бахши аъзами баданаи аслии қувваи қазоияро раиси қувваи муҷрия таъйин мекунад ва мобақии онро ниҳоди қонунгузорӣ бо аксарияте ки аз ҳизби раиси қувваи муҷрия меояд
انتصاب‌های رئیس‌جمهور نیازی به تایید مرجع دیگری ندارد,интисобҳои раисиҷумҳури ниёзе ба таъйиди марҷаъи дигар надорад
در ایالات متحدۀ آمریکا اما ریاست جمهوری در این زمینۀ بخصوص صرفاً نهاد پیشبری یا معرفی است,дар иёлоти муттаҳидаи омрико аммо раёсати ҷумҳурӣ дар ин заминаи бахусус сирфан ниҳоди пешбарӣ ё муъаррифӣ аст
رئیس‌جمهور نامزدهایی‌را به مقام‌های قضاوت در دیوان عالی کشور به مجلس سنا پیشنهاد می‌کند و این مجلس سناست که آنها‌را می‌پذیرد یا نمی‌پسندد,раисиҷумҳур номзадҳоеро ба мақомҳои қазоват дар девони ъолии кишвар ба маҷлиси сено пешниҳод мекунад ва ин маҷлиси сеност ки онҳоро мепазирад ё намеписандад
تشکیل کابینه,ташкили кобине
یکی از دغدغه‌های اصلی یک رئیس‌جمهور آمریکا در آغاز کار گزینش اعضای کابینۀ خود است؛ آن هم به شیوه‌ای که به مذاق اعضای مجلس سنا خوش آید,яке аз дағдағаҳои аслии як раисиҷумҳури омрико дар оғози кор гузиниши аъзои кобинеи худ аст он ҳам ба шевае ки ба мазоқи аъзои маҷлиси сено хуш ояд
در نهایت این نمایندگان مردم هستند که برگزیده‌های رئیس‌جمهور‌را می‌سنجند و ارزیابی می‌کنند و برایشان نمره رد یا پذیرش می‌دهند,дар ниҳоят ин намояндагони мардум ҳастанд ки баргузидаҳои раисиҷумҳурро месанҷанду арзёбӣ мекунанд ва барояшон нумреи радд ё пазириш медиҳанд
نمونۀ بارزش دردسرهای اخیر دونالد ترامپ برای تایید صلاحیت برخی از اعضای کابینه‌اش در مجلس سنای آمریکاست,намунаи боризаш дардисарҳои ахири дунолд тромп барои таъйиди салоҳияти бархе аз аъзои кобинеаш дар маҷлиси сенои омрикост
اما در نظام جدید ترکیه رئیس‌جمهور در گزینش اعضای کابینه‌اش مختار خواهد بود و بی‌نیاز از تایید صلاحیت آنها در مجلس,аммо дар низоми ҷадиди туркия раисиҷумҳур дар гузиниши аъзои кобинеаш мухтор хоҳад буд ва бениёз аз таъйиди салоҳияти онҳо дар маҷлис
استیضاح وزیران در مجلس هم به تاریخ خواهد پیوست,истизоҳи вазирон дар маҷлис ҳам ба торих хоҳад пайваст
تنها مرجع پاسخگویی برای وزیران همانا شخص رئیس‌جمهور خواهد بود,танҳо марҷаъи посухгӯӣ барои вазирон ҳамоно шахси раисиҷумҳур хоҳад буд
انحلال مجلس,инҳилоли маҷлис
در نظام سیاسی ریاستی ترکیه رئیس‌جمهور می‌تواند در صورت ضرورتِ مورد تشخیص خودش پارلمان‌را منحل کند,дар низоми сиёсии раёсатии туркия раисиҷумҳур метавонад дар сурати зарурати мавриди ташхиси худаш порлумонро мунҳал кунад
در بسیاری از نظام‌های سیاسی یک چنین حقی برای رئیس‌جمهور در نظر گرفته شده است,дар бисёре аз низомҳои сиёсӣ як чунин ҳаққе барои раисиҷумҳур дар назар гирифта шудааст
مثلاً در فرانسه که یک نظام شبه‌ریاستی یا آمیزه‌ای از نظام‌های ریاستی و پارلمانی‌را دارد رئیس‌جمهور می‌تواند در پی رایزنی با نخست‌وزیر و رئیسان هر دو بخش پارلمان مجلس ملی‌را منحل کند,масалан дар фаронса ки як низоми шибҳираёсатӣ ё омезае аз низомҳои раёсатӣ ва порлумониро дорад раисиҷумҳур метавонад дар паи ройзанӣ бо нахуствазир ва раисони ҳар ду бахши порлумон маҷлиси миллиро мунҳал кунад
در نظام سیاسی جدید ترکیه رای رئیس‌جمهور برای انحلال مجلس بسنده خواهد بود,дар низоми сиёсии ҷадиди туркия раъйи раисиҷумҳур барои инҳилоли маҷлис басанда хоҳад буд
و اما در آمریکا این مورد از اصول اولیۀ تفکیک قوا و استقلال آنها به شمار می‌آید,ва аммо дар омрико ин маврид аз усули аввалии тафкики қувво ва истиқлоли онҳо ба шумор меояд
رئیس‌جمهور نمی‌تواند کنگره‌را منحل کند,раисиҷумҳур наметавонад кунгреро мунҳал кунад
همان گونه که کنگره نمی‌تواند دیوان عالی‌را منحل کند,ҳамон гуна ки кунгре наметавонад девони ъолиро мунҳал кунад
به خاطر رعایت توازن قوا هر یک از قوای سه‌گانه قرار است از قدرت مساوی برخوردار باشند,ба хотири риъояти тавозуни қувво ҳар як аз қуввои сегона қарор аст аз қудрати мусовӣ бархурдор бошанд
تفکیک و توازن قوا,тафкику тавозуни қувво
نگرانی اصلی همین بود,нигиронии аслӣ ҳамин буд
چه پیش از همه‌پرسی و چه پس از آن,чи пеш аз ҳамапурсӣ ва чи пас аз он
بسیاری از کارشناسان ترکیه معتقدند که همه‌پرسی فروردین به تضعیف تفکیک و توازن قوا می‌انجامد,бисёре аз коршиносони туркия муътақиданд ки ҳамапурсии фарвардин ба тазъифи тафкику тавозуни қувво меанҷомад
یکی از دلایل این نگرانی حفظ پایبندی و مقام حزبی رئیس‌جمهور در نظام جدید ترکیه است,яке аз далоили ин нигаронӣ ҳифзи пойбандӣ ва мақоми ҳизбии раисиҷумҳур дар низоми ҷадиди туркия аст
یعنی اگر رهبر یک حزب سیاسی به ریاست جمهوری برسد موظف نیست مقام حزبی‌اش‌را طرد کند و به اصطلاح رهبر تمام مردم و احزاب باشد,яъне агар раҳбари як ҳизби сиёсӣ ба раёсати ҷумҳурӣ бирасад муваззаф нест мақоми ҳизбиашро тард кунад ва ба истилоҳ раҳбари тамоми мардуму аҳзоб бошад
در گذشته این وجه تمایزِ نظام‌های ریاستی با نظام‌های پارلمانی یا شبه‌ریاستی بود,дар гузашта ин ваҷҳи тамоюзи низомҳои раёсатӣ бо низомҳои порлумонӣ ё шибҳираёсатӣ буд
نخست‌وزیر در غالب نظام‌های پارلمانی همزمان رهبر یک حزب سیاسی هم هست که اکثریت کرسی‌های پارلمان‌را به دست آورده,нахуствазир дар ғолиби низомҳои порлумонӣ ҳамзамон раҳбари як ҳизби сиёсӣ ҳам ҳаст ки аксарияти курсиҳои порлумонро ба даст оварда
اما رئیس‌جمهور یک شخصیت فراحزبی‌ است یا دست ‌کم با وجود وابستگی‌های حزبی‌اش هیچ مقام حزبی‌ای ندارد,аммо раисиҷумҳумр як шахсияти фароҳизбист ё дасти кам бо вуҷуди вобастагиҳои ҳизбиаш ҳеч мақоми ҳизбие надорад
جرج واشنگتن نخستین رئیس‌جمهور آمریکا در طول هشت سال ریاستش عضو هیچ حزب سیاسی‌ای نبود,ҷурҷ вошингтун нахустин раисиҷумҳури омрико тӯли ҳашт соли раёсаташ ъузви ҳеч ҳизби сиёсие набуд
او معتقد بود که بدین گونه می‌شود از یکپارچگی و انسجام ملی مواظبت کرد,ӯ муътақид буд ки бад-ин гуна мешавад аз якпорчагию инсиҷоми миллӣ мувозибат кард
البته همه رئیس‌جمهور بعدی در آغاز کار خود وابستگی حزبی داشته‌اند اما نه در مقام رهبری حزب,албатта ҳамаи раисиҷумҳури баъдӣ дар оғози кори худ вобастагии ҳизбӣ доштаанд аммо на дар мақоми раҳбарии ҳизб
در نتیجه در آمریکا رئیس‌جمهور و رهبر حزب حاکم دو فرد متفاوت هستند با طرح و برنامه‌های ویژۀ خود,дар натиҷа дар омрико раисиҷумҳум ва раҳбари ҳизби ҳоким ду фарди мутафовит ҳастанд бо тарҳу барномаҳои вежаи худ
و این دو نفر می‌توانند در مورد مسائل مختلف دیدگاه‌های متفاوتی داشته باشند و نظرات یکدیگر‌را ارزیابی کنند و با هم به بحث بپردازند,ва ин ду нафар метавонанд дар мавриди масоили мухтали дидгоҳҳои мутафовите дошта бошанд ва назароти якдигарро арзёбӣ кунанд ва бо ҳам ба баҳс бипардозанд
ولی در نظام سیاسی جدید ترکیه رهبر یک حزب سیاسی که نامزد ریاست جمهوری هم هست فهرست نامزدهای انتخابات مجلس از حزب خودش‌را تعیین می‌کند,вале дар низоми сиёсии ҷадиди туркия раҳбари як ҳизби сиёсӣ ки номзади раёсати ҷумҳурӣ ҳам ҳаст феҳрести номзадҳои интихоботи маҷлис аз ҳизби худашро таъйин мекунад
در صورت پیروزی این حزب قوۀ مجریه و مقننه تحت کنترل رهبر یک حزب سیاسی خواهد بود,дар сурати пирӯзии ин ҳизб қувваи муҷрия ва муқаннана қонунгузорӣ таҳти кунтрули раҳбари як ҳизби сиёсӣ хоҳад буд
و با توجه به ید طولایی که او در تعیین دادستان‌ها و قضات ارشد کشور دارد قوۀ قضائیه هم تا حد زیادی با او هم‌نظر یا موافق خواهد بود,ва бо таваҷҷуҳ ба яди тӯлое ки ӯ дар таъини додситонҳову қузоти аршади кишвар дорад қувваи қазоия ҳам то ҳадди зиёе бо ӯ ҳамназар ё мувофиқ хоҳад буд
می‌شود تصور کرد که در یک چنین نظامی هر سه قوه ممکن است زیر نظر مستقیم یک نفر قرار بگیرند و زمینۀ یکه‌سالاری فراهم شود,мешавад тасаввур кард ки дар як чунин низоме ҳар се қувва мумкин аст зери назари мустақими як нафар қарор бигиранд ва заминаи яккасолорӣ фароҳам шавад
روزی الهه‌ها همه فریاد می‌کشند,рӯзе илоҳаҳо ҳама фарёд мекашанд
نقش غرور ما همه بر باد می‌کشند,нақши ғурури мо ҳама бар бод мекашанд
روزی قصاص بی‌شرفی‌های مرد را,рӯзе қасоси бешарафиҳои мардро
از استخوان کهنۀ اجساد می‌کشند,аз устухони куҳнаи аҷсод мекашанд
روزی صدای نازک‌شان نعره می‌شود,рӯзе садои нозукашон наъра мешавад
لاش سکوت بر در بیداد می‌کشند,лоши сукут бар дари бедод мекашанд
روزی قلم قلم شده از شدت الم,рӯзе қалам-қалам шуда аз шиддати алам
خطی به روی هرچه که رخ داد می‌کشند,хатте ба рӯи ҳар чи ки рух дод мекашанд
مشتی به روی سینۀ معبود می‌زنند,муште ба рӯи синаи маъбуд мезананд
تیری به سوی معبد ناشاد می‌کشند,тире ба сӯи маъбади ношод мекашанд
با پشت پا به غصه و اندوه می‌زنند,бо пушти по ба ғуссаву андӯҳ мезананд
ویرانه‌را به مامن آباد می‌کشند,вайронаро ба маъмани обод мекашанд
بازداشت در بازار مسکو,боздошт дар бозори маскав
با خوش‌خیالی غربی دم و دستگاه فیلم‌برداری‌را برداشتیم و راه افتادیم,бо хушхиёлии ғарбӣ даму дастгоҳи филмбардориро бардоштему роҳ уфтодем
می‌خواستیم با اهالی بازاری در حومۀ جنوبی مسکو دربارۀ حال و هوای اقتصادی روسیه صحبت کنیم,мехостем бо аҳолии бозоре дар ҳавмаи ҷанубии маскав дар бораи ҳолу ҳавои иқтисодии русия суҳбат кунем
از تاکسی پیاده شدیم و یکراست سراغ بخش پاسبانی بازار‌را گرفتیم تا اجازۀ فیلم‌برداری در محدودۀ بازار‌را بگیریم,аз токсӣ пиёда шудему якрост суроғи бахши посбонии бозорро гирифтем то иҷозаи филмбардорӣ дар маҳдудаи бозорро бигирем
پاسبان جوانی که ما‌را با آن همه تجهیزات تلویزیونی دید دست‌پاچه شد,посбони ҷавоне ки моро бо он ҳама таҷҳизоти телевизюнӣ дид дастпоча шуд
به پاسبان ارشد زنگ زد,ба посбони аршад занг зад
او هم که آمد به یکی دیگر زنگ زد,ӯ ҳам ки омад ба яке дигар занг зад
گفت بی‌بی‌سی با تجهیزات حرفه‌ای فیلم‌برداری آمده بازار,гуфт би-би-сӣ бо таҷҳизоти ҳирфаии филмбардорӣ омада бозор
چه کار کنیم,чи кор кунем
از آن سوی خط شنیدم که می‌گفت,аз он сӯи хат шунидам ки мегуфт
نگه‌شان دارید,нигаҳашон доред
نام بی‌بی‌سی در فضای بازار پیچید و تماشاگرانی‌را جمع کرد,номи би-би-сӣ дар фазои бозор печид ва тамошогаронеро ҷамъ кард
در نهایت تعداد افرادی که آمده بودند به پرسش ما پاسخ دهند پنج نفر شد,дар ниҳоят теъдоди афроде ки омада буданд ба пурсиши мо посух диҳанд панҷ нафар шуд
سرانجام قرار شد پاسخ ما‌را دفتر مطبوعاتی بازار بدهد,саранҷом қарор шуд посухи моро дафтари матбӯъотӣ-и бозор бидиҳад
از راه پرپیچ و تاب و دراز از میان رسته‌های بازار ما‌را به دفتر مطبوعاتی بازار بردند,аз роҳи пурпечу тобу дароз аз миёни растаҳои бозор моро ба дафтари матбӯъотии бозор бурданд
در سنگین دفتر مطبوعاتی‌را که پر از افراد نظامی‌پوش بود پشت سر ما بستند,дари сангини дафтари матбӯъотиро ки пур аз афроди низомипӯш буд пушти сари мо бастанд
پشت اونیفرم نظامی‌پوش‌ها با حروف زرین واژه ویتیاز شوالیه نوشته شده بود,пушти унифурми низомипӯшҳо бо ҳуруфи заррин вожаи витязь шеволйе навишта шуда буд
مرد خوش‌برخورد شخصی‌پوشی وارد شد تا ما‌را از سردرگمی رها کند,марди хушбархурди шахсипӯше ворид шуд то моро аз сардаргумӣ раҳо кунад
بعد از عکس‌برداری از ما و ثبت مشخصات اسناد رسمی گفت,баъд аз ъаксбардорӣ аз мо ва сабти мушаххасоти асноди расмӣ гуфт
ببینید شما اگر بخواهید در سطح بازار فیلم‌برداری کنید ما باید شرایط‌را برای شما مهیا کنیم و محافظ هم در اختیارتان بگذاریم,бибинед шумо агар бихоҳед дар сатҳи бозор филмбардорӣ кунед мо бояд шароитро барои шумо муҳайё кунем ва муҳофиз ҳам дар ихтиёратон бигзорем
آخر نمی‌شود که همین طوری سرزده بیایید و فیلم‌برداری کنید,охир намешавад ки ҳаминтурӣ сарзада биёеду филмбардорӣ кунед
باید اول به نشانی مدیریت بازار نامه بفرستید و اگر درخواست شما پذیرفته شد با خیال راحت بیایید و کارتان‌را انجام دهید,бояд аввал ба нишонии мудирияти бозор нома бифиристед ва агар дархости шумо пазируфта шуд бо хиёли роҳат биёеду коратонро анҷом диҳед
گفت پاسخ به درخواست ما دستکم ساعت به درازا می‌کشد,гуфт посух ба дархости мо дастикам соъат ба дарозо мекашад
گفتیم پس اجازه دهید برویم و آن نامه‌را برایتان بفرستیم,гуфтам пас иҷоза диҳед биравему он номаро бароятон бифиристем
گفت حالا که تا اینجا آمده‌اید تشریف داشته باشید,гуфт ҳоло ки то инҷо омадаед ташриф дошта бошед
من که در آغاز به فیلم‌بردارم شوخی‌آمیز می‌گفتم که ظاهراً بازداشت شده‌ایم اندک اندک فهمیدم که پر بی‌راه نگفته ام,ман ки дар оғоз ба филмбардорам шӯхиомез мегуфтам ки зоҳиран боздошт шудаем андак-андак фаҳмидам ки пур бероҳ нагуфтаам
ما که آمده بودیم از مسئولان بازار اجازۀ فیلم‌برداری بگیریم بازداشت شده بودیم,мо ки омада будем аз масъулони бозор иҷозаи филмбардорӣ бигирем боздошт шуда будем
و محل نگهداری ما دفتر مطبوعاتی نبود,ва маҳалли нигаҳдории мо дафтари матбӯъотӣ набуд
بخش نیروی امنیتی بازار بود,бахши нерӯи амниятии бозор буд
