حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
زبان مارا حتی بی‌بی‌سی که تا حال پاره نکرده بود پاره نموده,забони моро ҳатто бӣбӣсӣ ки то ба ҳол пора накарда буд пора намуда
ولی این نخستین تازش بی‌بی‌سی به هویت ما نیست که قبلاً خلبیج فارس‌را خلیج نام برده تا با کشورهای عرب سازش نمیاد,вале ин нахустин тозиши бӣбӣсӣ ба ҳуввияти мо нест ки қаблан халиҷи форсро халиҷ ном бурда то бо кишварҳои араб созиш намояд
من حتماً پی مدریت بی‌بی‌سی برای دریافت پاسخ انگیزه این اقدام خواهم بود خواهم بود ولی نمی‌دانم تا کجا پاسخ آن‌ها واقعی خواهد بود,ман ҳатман пайи мудирияти бӣбӣсӣ барои дарёфти посухи ангезаи ин иқдом хоҳам буд вале намедонам то куҷо посухи онҳо воқеъӣ хоҳад буд
از همه هواداران زبان پارسی و فرهنگ ایرانی تقاضا می‌کنم که با بی‌بی‌سی تماس بگیرند و اگر پاسخی پیدا کردند خوشحال می‌شدم که این جا آن‌را ذکر نمایند,аз ҳамаи ҳаводорони забони порсӣ ва фарҳанги эронӣ тақозо мекунам ки бо бӣбӣсӣ тамос бигиранд ва агар посухе пайдо карданд хушҳол мешавам ки ин ҷо онро зикр намоянд
دقیقاً یک روز پس از نشر بخش آخر مطلب در باره تاجیکستان و دعوت بنده به آموختن دقیق و واقعی تاریخ خویش و دقیقاً یک ماه پس از نشر مطلبی با نام بحران حویت رودکی و حوشدار بنده در باره از طرف دشمنانمان مورد استفاده قرار گرفتن بحث تاجیک یا ایرانی بودن رودکی دیروز مطلبی در تارنگار اندیشه بازنشر شده,дақиқан як рӯз пас аз нашри бахши охари матлаб дар бораи тоҷикистон ва даъвати банда ба омӯхтани дақиқу воқеъии торихи хеш ва дақиқан як моҳ пас аз нашри матлабе бо номи бӯҳрони ҳуввияти рӯдакӣ ва ҳушдори банда дар бораи аз тарафи душманон мавриди истифода қарор гирифтани баҳси тоҷик ё эронӣ будан дирӯз матлабе дар торнигори андеша бознашр шуда
مطلبی با نام فردوسی و رودکی تاجیک نیستند,матлабе бо номи фирдавсӣ ва рӯдакӣ тоҷик нестанд
که نوسنده آن عبد العظیم عبد الوهاب است در هفتنامه ای با نام اس اس اس ار نشر شده,ки нависандаи он абдулазими абдулваҳҳоб аст дар ҳафтаномае бо номи ссср нашр шудааст
این مقاله از مردی با نام محمود کویر انتقاد می‌نواید,ин мақола аз марде бо номи маҳмуди кавир интиқод менамояд
انگار آقای کویر از ناشران کتابی شعر جهان که در منچستر انگلستان نشر شده به خاطر یادآوری از فردوسی همچن شاعر تاجیک انتقاد می‌نماید,ангор оқои кавир аз ноширони китобе шеъри ҷаҳон ки дар манчестери инглистон нашр шуда ба хотири ёдоварӣ аз фирдавсӣ ҳамчун шоири тоҷик интиқод менамояд
آقای عبد الوهاب فوراً به دفاع از ملت تاجیک از شعن و شرف تاجیکان برخاسته,оқои абдуваҳҳоб фавран ба дифоъ аз миллати тоҷик аз шаъну шарафи тоҷикон бархоста
این مطلب روی تارنگار اندیشه هم بحث زیادی‌را برانگیخته که اکثراً یک بحث پوچ و توخالی بود,ин матлаб рӯйи торнигори андеша ҳам баҳси зиёдеро барангехта ки аксаран як баҳси пучу тухолӣ буд
از داریوش رجبیان و باقر کتابدار بسیار سپاسگزارم که در این بحث به واقعیت روی آوردند,аз дорюши раҷабиён ва боқири китобдор бисёр сипосгузорам ки дар ин баҳс ба воқеъият рӯй оварданд
آقای عبد الوهاب در مطلبش می‌نویسد که واژه تو یا توی که در مرز ایران امروزی به معنی در یا درون رائج است گویا از واژه انگلیسی یا بر می‌آید,оқои абдулваҳҳоб дар матлабаш менависад ки вожаи ту ё туи ки дар марзи эрони имрӯзи ба маънии дар ё дарун роиҷ аст гӯё аз вожаи инглисии ё бармеояд
جنابشان باید خجالت بکشند که چنین سخن‌های بی اساسی‌را می‌گویند,ҷанобашон бояд хиҷолат бикашанд ки чунин суханҳои бе асосеро мегӯянд
در لغت نامه دهخدا از جمله آمده که تو بمعنی درون هم هست که در مقابل بیرون است و مثالی‌را می‌آرد از امیر خسرو دهلوی که می‌فرماید,дар луғатномаи деҳхудо аз ҷумла омада ки ту ба маънии дарун ҳам ҳаст ки ба муқобили берун аст ва мисолеро меорад аз амир хусрави деҳлавӣ ки мефармояд
نخفت ایرا خسک در بسترش بود,нахуфт эро хаск дар бистараш буд
مگس در توی پیراهن درش بود,магас дар туи пироҳанаш буд
به هر حال چندین مثالی در آن لغت نامه آورده شده که جناب عالی خودشان می‌توانند آن هارا ببینند,ба ҳар ҳол чандин мисоле дар луғатнома оварада шуда ки ҷаноби олӣ худашон метавонанд онҳоро бубинанд
این ماییم که این واژه‌را بیخی فراموش کرده ایم,ин моем ки ин вожаро бехӣ фаромӯш кардаем
اگر اشتباه نکنم با واژه تو در شاهنامه فردوسی هم برخورد نموده ام,агар иштибоҳ накунам бо вожаи ту дар шоҳномаи фирдавсӣ ҳам бархурд намудаам
من این جا از آقای کویر هم انتقاد می‌نمایم چون تاجیکان ایرانی هستند و ایرانیان تاجیک هستند,ман ин ҷо аз оқои кавир ҳам интиқод менамоям чун тоҷикон эронӣ ҳастанд ва эрониён тоҷик ҳастанд
زبان ایرانیان فرارود تاجیکانهم پارسیست گرچند گروهی در تاجیکستان می‌خواهند این حقیقت‌را انکار نمایند,забони эрониёни фароруд тоҷикон ҳам порсист гарчанд гурӯҳе дар тоҷикистон мехоҳанд ин ҳақиқатро инкор намоянд
در شاهنامه فردوسی از واژگانی استفاده شده که امروز در میان مردم فرارود از آن‌ها فراوان استفاده می‌شوند مثل نغز گنده یله گله و,дар шоҳномаи фирдавсӣ аз вожагоне истифода шуда ки имрӯз дар миёни мардуми фароруд аз онҳо фаровон истифода мешаванд мисли нағз ганда яла гала ва
ما زود از تاجیکان برنمرزی ایرانیان امروزی می‌رنجیم وقتی چنین یک مطلبی‌را می‌بینیم,мо зуд аз тоҷикони бурунмарзӣ эрониёни имрӯзӣ меранҷем вақте чунин як матлаберо мебинем
این در حالیست که ما زبان خودرا تاجیکی می‌دانیم ولی فردوسی گفته عجم زنده کردم بداین پارسی,ин дар ҳолест ки мо забони худро тоҷикӣ медонем вале фирдавсӣ гуфта аҷам зинда кардам бад-ин порсӣ
فردوسی شاهنامه خودرا برای رستاخیز و زنده نگه داشتن ایران و ایرانی نوشته و فرموده که چو ایران نباشد تن من مباد ولی برخی افراد روی تارنگار اندیشه داد و فغان می‌زنند که تاجیکان دیگرند و ایرانیان دیگرند و ما ایرانی نیستیم,фирдавсӣ шоҳномаи худро барои растохез ва зинда нигаҳ доштани эрону эронӣ нивишта ва фармуда ки чу эрон набошад тани ман мабод вале бархи афрод рӯйи торнигори андеша доду фиғон мезананд ки тоҷикон дигаранду эрониён дигаранд ва мо эронӣ нестем
اگر شما ایرانی نیستید فردوسی هم شمارا از خود نمی داند پس فراموشش کنید اورا,агар шумо эронӣ нестед фирдавсӣ ҳам шуморо аз худ намедонад пас фаромӯшаш кунед ӯро
رودکی و مولانا و حافظ و سعدی‌را همچنین,рӯдакию мавлоно ва ҳофизу саъдиро ҳамчунин
ما چه حقی به فردوسی و رودکی داریم وقتی خط خودرا سیریلیک می‌دانیم,мо чӣ ҳаққе ба фирдавсию рӯдакӣ дорем вақте хатти худро сирилик медонем
وقتی وزیر آموزش و پرورش تاجیکستان می‌گوید تاجیکستان از خط سیریلیک رو نخواهد گرداند؛ وقتی حکومتداران تاجیکستان نمی گزارند که زیر پیکره رودکی در دوشنبه با دبیره پارسی نوشتاری باشد کی می‌توانند دعوای پیروان رودکی و فردوسی و سامانیان بودن‌را داشته باشند,вақте вазири омӯзишу парвариши тоҷикистон мегӯяд тоҷикистон аз хатти сирилик рӯ нахоҳад гардонд вақте ҳукуматдорони тоҷикистон намегузоранд ки зери пайкараи рӯдакӣ дар душанбе бо дабираи порсӣ навишторе бошад кай метавонанд пайравони рӯдакию фирдавсию сомониён буданро дошта бошанд
یکی از اشتراک کنندگان آن تارنگار گفته که عکثر ایرانیان ترک و عربند تا ایرانی,яке аз иштироккунандагони он торнигор гуфта ки аксари эрониёни марзи имрӯзии эрон турку арабанд то эронӣ
خدمتتان عرض نمایم که همه ما ایرانیان با دیگران آمیخته شده ایم و ایرانیان فرارود نه کمتر از ایرانیان غرب ایران زمین,хидмататон арз намоям ки ҳамаи мо эрониён бо дигарон омехта шудаем ва эрониёни фароруд на камтар аз эрониёни ғарби эронзамин
ولی آنی که مارا ایرانی می‌کند فرهنگ و تمدن ماست و زبان ماست,вале оне ки моро эронӣ мекунад фарҳангу тамаддуни мост ва забони мост
البته ریشه این حرف‌ها از شستوشوی مغزی شوروی و روسی بر می‌آید,албатта решаи ин ҳарфҳо аз шустушӯи мағзии шӯравӣ ва русӣ бар меояд
به ما گفتند که آذری‌ها ترکند و ما امروز آن هارا بیگانه می‌دانیم,ба мо гуфтанд ки озариҳо турканд ва мо имрӯз онҳоро бегона медонем
حتی مردم جمهوری آذربایجان کنونی هم گرفتار این افکار شده اند,ҳатто мардуми ҷумҳурии озарбойҷони кунунӣ ҳам гирифтори ин афкор шудаанд
ولی نباید نادیده گرفت که امروز فضای مرز ایران کنینی از هر جای ایران بزرگ بیشتر ایرانیت‌را دارد شوربختانه,вале набояд нодида гирифт ки имрӯз фазои марзи эрони кунунӣ аз ҳар ҷойи эрони бузург бештар эрониятро дорад шӯрбахтона
چه در زبان چه در دولتداری چه در جشن‌های ملی چه در موسیقی چه در سینما و,чӣ дар забон чӣ дар давлатдорӣ чӣ дар ҷашнҳои миллӣ чӣ дар мусиқӣ чӣ дар синемо ва
ما همه رهگمزدگانی هستیم که نمی دانیم از کجا می‌آییم و به کجا می‌رویم,мо ҳама раҳгумзадагоне ҳастем ки намедонем аз куҷо меоему ба куҷо меравем
چرا می‌رنجیم وقتی چنین اقدام محمود کویررا می‌بینیم ولی گاهی فکر نمی کنیم که همقومان برنمرزی ما هم حق دارند از ما تاجیکستانیان برنجند,чаро меранҷем вақте чунин иқдоми маҳмуди кавирро мебинем вале гоҳе фикр намекунем ки ҳамқавмони бурунмарзии мо ҳам ҳақ доранд аз мо тоҷикистониён биранҷанд
وقتی یک کشوری چون ایران امروزی با تمام قدرتی که دارد با ما نه همچن برادر بزرگ بلکه همچن همرطبه برخرد می‌نماید ما برخی زمان کور نمکی هم می‌کنیم,вақте як кишваре чун эрони имрӯзӣ бо тамоми қудрате ки дорад бо мо на ҳамчун бародари бузург балки ҳамчун ҳамрутба бархурд менамояд мо бархе замон кӯрнамакӣ ҳам мекунем
ایرانی که تازه از جنگ ساله با عراق برامده بود این قدر کمک بشردوستانه ای به تاجیکستان جنگزده نمود؛ برای بنیاد صلح در تاجیکستان میانجگری نمود,эроне ки тоза аз ҷанги бо ироқ баромада буд ин қадр кӯмаки башардӯстона ба тоҷикистони ҷангзада намуд барои бунёди сулҳ дар тоҷикистон миёнҷигарӣ намуд
ولی برخی از دولتمندان ما همه این‌را نادیده می‌گیرند,вале бархе аз давлатмандони мо ҳамаи инро нодида мегиранд
در نزد ایرانیان خودرا برتر می‌دانیم,дар назди эрониён худро бартар медонем
چرا,чаро
مگر فرهنگمان‌را ما بهتر نگه داشتیم,магар фарҳангамонро мо беҳтар нигаҳ доштем
مگر زبانمان‌را ما بهتر نگه داشتیم,магар забонамонро мо беҳтар нигаҳ доштем
این همه البته از خودکهتربینی است,ин ҳама албатта аз худкеҳтарбинӣ комплекс неполноценности аст
خودکهتربینی ما تنها آن زمان از بین خواهد رفت که ما بدانیم کیستیم و چیستیم از کجا می‌آییم و به کجا می‌رویم,худкеҳтарбинии мо танҳо он замон аз байн хоҳад рафт ки мо бидонем кистему чистем аз куҷо меоему ба куҷо меравем
مگر سخنان ابراهیم عثمانف هم پوچ نیستند که می‌گوید دبیره پارسی نه خط ماست نه خط پدران ماست و نه خط بابایان ماست,магар суханони иброҳим усмонов ҳам пуч нестанд ки мегӯяд дабираи порсӣ на хатти мост на хатти падарони мост ва на хатти бобоёни мост
گفتگوی ایشان با هفتنامه نگاه چاپ دوشنبه زیر عنوان باید باور کنانیم که ما تاجیکیم نه کس دیگر,гуфтугӯи эшон бо ҳафтаномаи ниго чоп душанбе зери унвони бояд бовар кунонем ки мо тоҷикем на каси дигар
چاپ شده,чоп шуда
در بخش این گفتگو که ژوئیه سال چاپ شده می‌گوید که عجیب و فرحبخش می‌بود که تمام اشعار استاد رودکی و همعصران اورا به زبان‌های انگلیسی و فرانسوی یا نمیسی جنابشان که خودرا مدافع زبان و فرهنگ تاجیک می‌دانند واژه روسی نمیسی‌را مورد استفاده قرار داده اند که پارسی آن است آلمانی در جلد نشر می‌کردیم و در آخرسخن می‌گفتیم که ترجومه از زبان تاجیکی است,дар бахши ин гуфтугӯ ки жуйия июл-и соли чоп шуда мегӯяд ки аҷибу фараҳбахш мебуд ки тамоми ашъори устод рӯдакӣ ва ҳамасрони ӯро ба забонҳои инглисию фаронсавӣ ё немисӣ ҷанобашон ки худро мудофеъи забону фарҳанги тоҷик медонанд вожаи русии немисӣ-ро мавриди истифода қарор додаанд ки порсии он аст олмонӣ дар ҷилд нашр мекардем ва дар охирсухан мегуфтем ки тарҷума аз забони тоҷикӣ аст
این به نظرم یک چیز نو می‌نماید,ин ба назарам як чизи нав менамояд
درست فرمودند ایشان که عجیب می‌شد و یک چیز نو هم خواهد نمود اگر کسی به این اقدام احمقانه دست بزند,дуруст фармуданд эшон ки аҷиб мешуд ва як чизи нав ҳам хоҳад намуд агар касе ба ин ин ин иқдоми аҳмақона даст бизанад
محمود کویر هم درست مثل آقای عثمانف بی پایه و اساس گپ می‌زنند و به تفریقه اندازی ایرانیان دست می‌زنند,маҳмуди кавир ҳам дуруст мисли оқои усмонов бе появу асос гап мезананд ва ба тафриқаандозии эрониён даст мезананд
عبد العظیم عبد الوهاب خود به یکی از پیروان ابراهیم عثمانف و محمود کویر تدبدل شده است,абдулазими абдулваҳҳоб худ ба яке аз пайравони иброҳим усмонову маҳмуди кавир табдил шудааст
نوشته من زیر عنوان بحران هویت رودکی در مطلب آقای عبد الوهاب هم میاد شده ولی باید دوباره ذکر نمیام که وقتی من آن مطلب‌را این جا نوشتم هدف من هوشدار نمودن مردم از چنین اقدام بود که همگان شاهد آن شدیم,навиштаи ман зери унвони бӯҳрони ҳуввияти рӯдақӣ дар матлаби оқои абдулваҳҳоб ҳам ёд шуда вале бояд дубора зикр намоям ки вақте ман он матлабро ин ҷо навиштам ҳадафи ман ҳушдор намудани мардум аз чунин иқдом буд ки ҳамагон шоҳиди он шудем
فراموش نکنیم که ما ایرانییم ما تاجیکیم,фаромӯш накунем ки мо эронием мо тоҷикем
این جا سخنان داریوش رجبیان‌را مناسب می‌دانم که در پاسخ به یکی از اشتراکداران تارنگار اندیشه از جمله گفتند,ин ҷо суханони дорюши раҷбиёнро муносиб медонам ки дар посух ба яке аз иштирокдорони торнигори андеша аз ҷумла гуфтаанд
شاید درک این حقیقت سخت باشد که هنوز تاجیکانی هستند که به معنی دقیق واژه نه روس شده آن تاجیکند یعنی ایرانی اند,шояд дарки ин хақиқат сахт бошад ки ҳанӯз тоҷиконе ҳастанд ки ба маънии дақиқи вожа на русишудаи он тоҷиканд яъне эронианд
چون تا زمانی که روس‌ها به ما نگفتند که ما ایرانی نیستیم و زبانمان پارسی نیست ما آن حقیقت‌را قبول داشتیم,чун то замоне ки русҳо ба мо нагуфтанд ки мо эронӣ нестему забонамон порсӣ нест мо он ҳақиқатро қабул доштем
تاجیک و ایرانی و افغان چرا,тоҷику эрониву афғон чаро
ما در این دنیا که از یک مادریم,мо дар ин дунё ки аз як модарем
فرارود زیر دودمان‌های ازبک بود,фароруд зери дудмонҳои ӯзбак буд
در دوام این قرن‌ها کشمکش و بی نظامی‌های زیادی در این منطقه حکمران بود,дар давоми қарнҳо кашмакашу бенизомиҳои зиёде дар ин минтақа ҳукмрон буд
پیشروی نمایان فرهنگی به نظر نمی رسید و سه خانیگریی تشکل شد – خانیگری خوقند خانیگری خیوه و خانیگری بخارا که دیرترنامش‌را به امارت بخارا تبدل داد و قدرتمندترین این‌ها بود,пешравии намоёни фарҳангӣ ба назар намерасид ва се хонигарӣ ташкил шуд – хонигарии хӯқанд хонигарии хева ва хонигарии бухоро ки дертар номашро ба аморати бухоро табдил дод ва қудратмандтарини инҳо буд ин хонигариҳо дар кашмакашҳои тӯлонӣ дар байни якдигар гирифтор буданд
این خانیگری‌ها در کشمکش‌های طولانی در بین یک دیگر گرفتار بودند,ҳар сеи ин хонигарӣ зери дудмонҳои туркнажод буданд ҳамин тавр давлатдории эрониву бумӣ нопадид шуд
هر سه ای این خانیگری زیر دودمان‌های ترک نژاد بودند,забони давлатӣ дар хонигариҳои хӯқанд ва хева забонҳои туркӣ буд
همین طور دولتداری ایرانی و بومی در فرارود ناپدید شد,танҳо дар аморати бухоро забони давлатӣ забони порсӣ боқӣ мемонад ва номи маъмулии он ҳам форсӣ ё форсии дарӣ буд
زبان دولتی در خانیگری‌های خوقند و خیوه زبان‌های ترکی بود,ин хонигариҳо ҳам набуданд ва сирф дар пояи ислом ва он ҳам исломи суннии ҳанафӣ бунёд ёфтанд дар ин давлат ҳеч бӯю нишоне аз ҳуввияти миллӣ вуҷуд надошт
تنها در امارت بخارا زبان دولتی زبان پارسی باقی می‌ماند و نام معمولی آن هم فارسی یا فارسی دری بود,соли хуршедӣ мелодӣ фароруд зери тасарруфи имперотурии русия медарояд дертар пас аз инқилоби булшевик дар русия дар осиёи миёна тақсимбандии миллӣ роҳандозӣ мешавад
این خانیگری‌ها ملی نبودند و صرف در پایه اسلام و آن هم اسلام سنی حنفی بنیاد یافتند,пас аз кашмакашҳои зиёду тӯлонӣ ҷамоҳири шӯравии сусёлистии қазоқистон қирқизистон туркаманистон ӯзбакистон ва тоҷикистон ташкил меёбанд
در این دولت هیچ بوی و نشانی از هویت ملی وجود نداشت,албатта қисматҳои азими тоҷикистон зери режими ишғолгарои ӯзбакистон боқӣ мемонад
سال خورشیدی میلادی فرارود زیر تصرف امپراتوری روسیه می‌دراید,дар тӯли ин садсолаҳо бо ҳукмронии қабилаҳои турк ва дертар русҳову кумунистон давлатдории воқеъии бумиву эронӣ дар фароруд ба тадриҷ нопадид шуд
دیرتر پس از انقلاب بلشویک در روسیه در آسیای میانه تقسیم بندی ملی راهندازی می‌شود,марокази фарҳангу тамаддуни эронӣ зери фармони қавмҳои туркнажод уфтод
پس از کشمکش‌های زیاد و طولانی جماهیر شوروی سوسیالیستی قزاقستان قرقزستان ترکمنستان ازبکستان و تاجیکستان تشکل می‌یابند,ҳавзаи забони порсӣ дар осиёи миёна ба тадриҷ танг шуд эрониёни суннӣ-мазҳаб зидди ҳамқавмоне ки пайравони адёни ғайри исломӣ буданд ва ҳатто ҳамқавмони шиъа таблиғ мешуданд
البته قسمت‌های عظیم تاجیکستان زیر رژیم اشغالگرای ازبکستان باقی می‌ماند,эрониёни фароруд тоҷикон таблиғ мешуданд ки эронӣ ва тоҷик ду миллияти мухталифанд
در طول این صدساله‌ها با حکمرانی قبیله‌های ترک و دیرتر روس‌ها و کمونیستان دولتداری واقعی بومی و ایرانی در فرارود به تدریج ناپدید شد؛ مراکز فرهنگ و تمدن ایرانی زیر فرمان قوم‌های ترک نژاد افتاد؛ حوضه زبان پارسی در آسیای میانه به تدریج تنگ شد؛ ایرانیان سنی مذهب ضد همقومانی که پیروان ادیان غیر اسلامی بودند و حتی همقومان شیعه تبلیغ می‌شدند؛ ایرانیان فرارود تاجیکان تبلیغ می‌شند که ایرانی و تاجیک دو ملیت مختلفند؛ پارسی گویان تبلیغ می‌شدند که زبان مادری ایشان تاجیکیست نه پارسی؛ ایرانیان سنی و شیعه اسماعیلی تاجیک نام گرفتند ایرانیان شیعه دوازده امامی پارس نام گرفند ایرانیانی زیادی که از مرز کنونی ایران آمدند عکثر آن‌ها کمونیستان مثل لاهوتی ایرانی نام گرفتند و ایرانیان کلیمی که همچن یهودیان بخارا نامدار بوند و هستند قسمی از ملیت یهودی شدند؛ هر منطقه تاجیکستان‌را علیه دیگری تبلیغ نمودند,порсигӯён таблиғ мешуданд ки забони модарии эшон тоҷикист на порсӣ эрониёни суннӣ ва шиъаи исмоилӣ тоҷик ном гирифтанд эрониёни шиъаи дувоздаҳ-имомӣ порс ном гирифтанд эрониёне зиёде ки аз марзи кунунии эрон омаданд аксари онҳо кумунистон мисли лоҳутӣ эронӣ ном гирифтанд ва эрониёни калимӣ ки ҳамчун яҳудиёни бухоро номдор буданду ҳастанд қисме аз миллияти яҳудӣ шуданд
این است که امروز بحران هویت و فرهنگ تاجیکی سر و پا در فرارود حکمران است,ҳар минтақаи тоҷикистонро алайҳи дигарӣ таблиғ менамуданд ин аст ки имрӯз бӯҳрони ҳуввият ва фарҳанги тоҷикӣ дар фароруд ҳукмрон аст
و اما بر می‌گردیم به امروز تاجیکستان,ва аммо бар мегардем ба имрӯзи тоҷикистон
بدبختی تاجیکستان این است که هیچ سنت دولتداری در آن وجود ندارد,бадбахтии тоҷикисон дар ин аст ки ҳеч суннати давлатдорӣ дар он вуҷуд надорад
بلکه وجود دارد ولی سنت دولتداری امروزی تاجیکستان تاجیکی نیست,балки вуҷуд дорад вале суннати давлатдории имрӯзии тоҷикистон тоҷикӣ нест
دولتداری در تاجیکستان امروز در اساس دولتداری کمونیستی و دولتداری خانیگری‌های ترک نژاد آسیای میانه بنیاد یافته و سایه سامانیان نمایان نیست گرچه در مرکز شهر پیکره اسماعیل سامانی قد افراشته,давлатдори дар тоҷикистон имрӯз дар асоси давлатдории кумунистӣ ва давлатдории хонигариҳои туркнажоди осиёи миёна бунёд ёфта ва сояи сомониён намоён нест гарчӣ дар маркази шаҳр пайкараи исмоили сомонӣ қад афрошта
عامل اصلی این است که مردم از هویت ملی برخردار نیستند و یک گروهِ رهگمزده می‌باشند,омили аслӣ ин аст ки мардум аз ҳуввияти миллӣ бархурдор нестанд як гурӯҳи раҳгумзада мебошанд
از یک سو دولت تبلغ می‌کند که ما آریایی هستیم ما از هخامنشیان و ساسنیان و سامانیانیم و از سوی دیگر به ما می‌گویند که ایرانیان دیگرند و تاجیکان دیگرند,аз як сӯ давлат таблиғ мекунад ки мо ориёӣ ҳастем мо аз ҳахоманишиёну сосониёну сомониёнем ва аз сӯйи дигар ба мо мегӯянд ки эрониён дигаранд ва тоҷикон дигаранд
از یک سو شاعرانی مثل رودکی و مولانای بلخی و حافظ شیرازی و لاهوتی‌را از آن خود می‌دانند و از سوی دیگر زبان خودرا تاجیکی و دبیره خودرا سیریلیک می‌دانند,аз як сӯ шоъироне мисли рӯдакӣ мавлонои балхӣ ҳофизи шерозиро ва лоҳутиро аз они худ медонанд ва аз сӯйи дигар забони худро тоҷикӣ ва дабираи худро сирилик медонанд
از یک سو سر و صدا در باره اتحاد پارسیگویان بلند می‌کنند و از سوی دیگر برنامه‌های رادیویی با زبان‌های تاجیکی فارسی دری در قطار انگلیسی و روسی پخش می‌کنند و داد می‌زنند که زبان ما تاجیکیست نه پارسی و باید با آن ببالیم و بفخریم,аз як сӯ сару садо дар бораи иттиҳоди порсигӯён баланд мекунанд ва аз сӯйи дигар барномаҳои родюӣ бо забонҳои тоҷикӣ форсӣ дарӣ дар қатори инглисию русӣ пахш мекунанд ва дод мезананд ки забони мо тоҷикист на порсӣ ва бояд бо он биболему бифахрем
روزهای نخستی که در تاجیکستان بودم خیلی دلگیر می‌شدم که چرا جوانان بویژه بانوان جوان زبان مادری خودرا کنار می‌گذارند و به زبان روسی بین هم حرف می‌زنند,рӯзҳои нахусте ки дар тоҷикистон будам хеле дилгир мешудам ки чаро ҷавонон бавижа бонувони ҷавон забони модарии худро канор мегузоранд ва ба забони русӣ байни ҳам ҳарф мезананд
دانشجویان جوانی که به زبان پارسی گپ می‌زنند نوعی از طرف این جوانان توهین می‌شوند و آن هارا دهاتی می‌خوانند,донишҷӯёни ҷавоне ки ба забони порсӣ гап мезананд навъе аз тарафи ин ҷавонон тавҳин мешаванд ва онҳоро деҳотӣ мехонанд
زبان روسی زبان شیک شده,забони русӣ забони шик шуда
این همه البته از نادانی مردم است ولی ببنید که این جوان‌ها از زبان تاجیکی چه می‌بینند,ин ҳама албатта аз нодонии мардум аст вале бубинед ки ин ҷавонҳо аз забони тоҷикӣ чӣ мебинанд
این زبان که با خط سیریلیک نوشته می‌شود در کجا به کار می‌آید,ин забон ки бо хатти сирилик навишта мешавад дар куҷо ба кор меояд
چند کتابی در یک سال با این زبان نشر می‌شود,чанд китобе дар як сол бо ин забон нашр мешавад
چه دستاودر‌های علمی و تکنیکی با این زبان دسترس جوانان است,чӣ дастовардҳои илмию текникӣ бо ин забон дастраси ҷавонон аст
این باز مارا به بحث خط و زبان می‌آرد,ин боз моро ба баҳси хатту забон меорад
مگر بهتر نیست زبان مادری ما دوباره رسماً فارسی شناخته شود و به خط اصلی خود باز گردیم,магар беҳтар нест забони модарии мо дубора расман форсӣ шинохта шавад ва ба хатти аслии худ боз гардем
با چنین احوال مردم هیچ گاه نمی تواند از دولت چیزی تقاضا کند,бо чунин аҳвол мардум ҳеч гоҳ наметавонанд аз давлат чизе тақозо кунад
مردمی که نمی داند خود چیست و کیست کی می‌تواند یک دولتی دلخواهی تقاضا نماید,мардуме ки намедонад худ кисту чист кай метавонад як давлате дилхоҳе тақозо намояд
در کدام اساس,дар кадом асос
در اساس کدام سنت دولتداری,дар асоси кадом суннати давлатдорӣ
با نظرداشت این حالت برای بهتر نمودن وضع سیاسی اجتماعی فرهنگی اقتسادی و,бо назардошти ин ҳолат барои беҳтар намудани вазъи сиёсӣ иҷтимоӣ фарҳангӣ иқтисодӣ ва
از همه وطن خواهان بیدار می‌خواهم که نخست به آموزاندن واقعی فرهنگ و تاریخ ملت دستجمعی کار کنند,аз ҳамаи ватанхоҳон мехоҳам ки барои омӯзонидани воқеъии фарҳангу торихи миллат дастиҷамъӣ кор кунанд
کجا آن بزگان ساسانیان,куҷо он бузургон сосониён
ز بهرامیان تا بسامانیان,зи баҳромиён то ба сомониён
فردوسی,фирдавсӣ
وطن خواهان وطن ویرانه گردید,ватанхоҳон ватан вайрона гардид
وطن منزلگه بیگانه گردید,ватан манзилгаҳи бегона гардид
به خاک ما تجاوزهای اغیار,ба хоки мо таҷовузҳои ағёр
بر اهل جهان افسانه گردید,бари аҳли ҷаҳон афсона гардид
لاهوتی,лоҳутӣ
بله این یک مصیبتی است,бале ин як мусибате аст
مصیبت دولت مردم و سرزمین,мусибати давлат мардум ва сарзамин
مشکل اساسی این ملت فساد است که یک جزو آن محلگراییست,мушкили асосии ин миллат фасод аст ки як ҷузви он маҳалгароист
پست‌های مهم دلتی همه در دست اشخاسیست که از منطقه به همه معلوم بر می‌آیند,пуст пост- ҳои муҳими давлатӣ ҳама дар дасти ашхосест ки аз минтақаи ба ҳама маълум бар меоянд
گذشته از این بسیاری از شغل‌های دولتی به فروش می‌روند,гузашта аз ин бисёре аз шуғлҳои давлатӣ ба фурӯш мераванд
در کدام یک دولت سالم شاهد چنین اتفاقات هستیم,дар кадом як давлати солим шоҳиди чунин иттифоқот ҳастем
ولی مساله در اصل دیگر است,вале масъала дар асл дигар аст
ریشه بدبختی‌های تاجیکستان فساد است ولی ریشه فساد دیگر است و این هم هویت ملی و فرهنگی و زبانی یا خود نبودن همه آن است,решаи бадбахтиҳои тоҷикистон фасод аст вале решаи фасод дигар аст ва ин ҳам ҳуввияти миллию фарҳангӣ ва забонӣ ё худ набудани ҳамаи он аст
