پایان ماموریت ناتو در افغانستان نگرانیهایی‌را برای کشورهای آسیای میانه‌ در پی داشته است,поёни маъмурияти ноту дар афғонистон нигарониҳоро барои кишварҳои осиёи миёна дар пай доштааст
شی جین پینگ رئیس جمهور چین در ملاقاتش با امامعلی رحمان همتای تاجیک خود در پکن گفته است که دوشنبه در دستیابی به سه هدف استراتژیک تاجیکستان باید چین‌را شریک خود بداند,шӣ ҷинпинг раиси ҷумҳури чин дар мулоқоташ бо эмомалӣ раҳмон ҳамтои тоҷики худ дар пекан гуфтааст ки душанбе дар дастёбӣ ба се ҳадафи истротежики тоҷикистон бояд чинро шарики худ бидонад
دولت تاجیکستان طی ده‌ساله اخیر استقلال انرژی امنیت غذایی و رهایی از بن‌بست ارتباطاتی‌را برای توسعه اقتصاد و پیشرفت ملی تاجیکستان امری کلیدی خوانده و این سه‌را از اهداف استراتژیک خود می‌داند,давлати тоҷикистон тайи даҳсолаи ахир истиқлоли энержӣ амнияти ғизоӣ ва раҳоӣ аз бунбасти иртибототиро барои тавсеъаи иқтисод ва пешрафти миллии тоҷикистон калидӣ хонда ва ин серо аз аҳдофи истротежики худ хондааст
رئیس جمهور چین همدلی خود با امامعلی رحمان برای رسیدن به این هدفها‌را در حالی اعلام کرد که در نخستین روز سفر آقای رحمان به چین نهادهای ذیربط این کشور اعلام داشتند که بیش از یک میلیارد دلار به اقتصاد تاجیکستان اختصاص می‌دهند,раиси ҷумҳури чин ҳамдилии худро бо эмомалӣ раҳмон барои расидан ба ин ҳадафҳо дар ҳоле эълом кард ки дар нахустин рӯзи сафари оқои раҳмон ба чин ниҳодҳои зирабти ин кишвар эълом карданд ки беш аз як милёрд дулор ба иқтисоди тоҷикистон ихтисос медиҳанд
در حضور رؤسای جمهور تاجیکستان و چین بعد از ظهر امروز چهار سند موافقتنامه در باره تخصیص وامهای باامتیاز چین به تاجیکستان و سه قرارداد میان وزارت دارایی تاجیکستان و اسکیم بانک چین در باره تخصیص وامهای باامتیاز برای ساختمان قطعات راه آهن وحدت یاوان دوشنبه قرقانتپه برای ساختمان نیروگاه حرارتی دوم در شهر دوشنبه و برای ساختمان کارخانه‌های تولید کریولیت اسید سلفوریک و آلومینیوم فلورین در کارخانه آلومینیوم تاجیکستان امضا شد,дар ҳузури руасои ҷумҳурии тоҷикистону чин баъд аз зуҳри имрӯз чаҳор санад - мувофиқатнома дар бораи тахсиси вомҳои боимтиёзи чин ба тоҷикистон ва се қарордод миёни вазорати дороии тоҷикистон ва эскимбонки чин дар бораи тахсиси вомҳои боимтиёз барои сохтмони қитаъоти роҳи оҳани ваҳдат-ёвон душанбе-қурғонтепа барои сохтмони нерӯгоҳи ҳароратии дувум дар душанбе ва барои сохтмони корхонаҳои тавлиди креулит асиди сулфурик ва олуминиюми флурин дар корхонаи олуминиюми тоҷикистон имзо шуд
به جز این در دیدار امامعلی رحمان با نمایندگان بانک کشاورزی چین در پکن اعلام شد که این بانک به تاجیکستان برای اجرای طرحهای ساختمانی توسعه بخش خصوصی و آماده سازی متخصصان صد میلیون دلار اختصاص می‌دهد,ба ҷуз ин дар дидори эмомалӣ раҳмон бо намояндагони бонки кишоварзии чин дар пекан эълом шуд ки ин бонк ба тоҷикистон барои иҷрои тарҳҳои сохтмонӣ тавсеъаи бахши хусусӣ ва омодасозии муттахасисон сад милюн дулор тахсис медиҳад
همچنین گزارش شد که شرکتهای ناحیه هنان چین برای تاسیس کارخانه‌های صنعتی در تاجیکستان بیش از دلار مصرف خواهند کرد,ҳамчунин гузориш шуд ки ширкатҳои ноҳияи ҳенони чин барои таъсиси корхонаҳои санъатӣ дар тоҷикистон беш аз милюн дулор масраф хоҳанд кард
افزون بر این در جریان دیدار امامعلی رحمان با رئیس شرکت راه و پل‌سازی چین اعلام شد که این شرکت در تابستان سال راه قلعه خم خاروغ و دوشنبه کولمه چین‌را بازسازی خواهد کرد,афзун бар ин дар ҷараёни дидори эмомалӣ раҳмон бо раиси ширкати роҳу пулсозии чин эълом шуд ки ин ширкат дар тобистони соли роҳи қалъаи хумб-хоруғ ва душанбе-кулма-чинро бозсозӣ хоҳад кард
این راه جنوب و شرق تاجیکستان‌را به هم و تاجیکستان‌را با چین پیوست می‌کند,ин роҳ ҷанубу шарқи тоҷикистонро ба ҳам ва тоҷикистонро бо чин пайваст мекунад
این شرکت قبلا در تاجیکستان چندین طرح از جمله ساختمان تونل شهرستان و بازسازی راه دوشنبه خجند چنک‌را انجام داده بود,ин ширкат қаблан дар тоҷикистон чандин тарҳ аз ҷумла сохтмони тунели шаҳристон ва бозсозии роҳи душанбе-хуҷанд-чанокро анҷом дода буд
رئیس جمهور تاجیکستان گفته است این شرکت برای آماده ساختن متخصصان نیز در بخش ساخت و ساز راهها سهم خواهد گذاشت,раиси ҷумҳури тоҷикистон гуфтааст ки ин ширкат барои омода сохтани муттахасисон низ дар бахши сохтусози роҳҳо саҳм хоҳад гузошт
طرفها در مورد دورنمای بنیاد راه آهن چین تاجیکستان افغانستانایرانخلیج فارس نیز تبادل نظر کرده‌اند,тарафҳо дар мавриди дурнамои бунёди роҳи оҳани чин-тоҷикистон-афғонистон-эрон-халиҷи форс низ табодули назар кардаанд
همچنین طبق اطلاع منابع رسمی شرکت آهن‌گدازی چین قصد دارد برای طرحهای زمین‌شناسیاکتشافی و استخراج طلای کان پاکرود تاجیکستان بیش از میلیون دلار آمریکایی سرمایه‌گذاری کرده و زیاده از شغل ایجاد کند,ҳамчунин тибқи иттилоъи манобеъи расмӣ ширкати оҳангудозии чин қасд дорад барои тарҳҳои заминшиносию иктишофӣ ва истихроҷи тилои кони покрӯди тоҷикистон беш аз милюн дулори омрикоӣ сармоягузорӣ карда ва зиёда аз шуғл эҷод кунад
رؤسای جمهور چین و تاجیکستان سطح همکاریها میان دو کشور خود‌را مثبت ارزیابی کردند,руасои ҷумҳури чин ва тоҷикистон сатҳи ҳамкориҳо миёни ду кишварро мусбат арзёбӣ кардаанд
تبادل کالا میان دو کشور در هشت ماه جاری بیشتر از میلیارد دلار‌را تشکیل داده است که در مقایسه‌ با همین مرحله سال گذشته درصد بیشتر بوده است,табодули коло миёни ду кишвар дар ҳашт моҳи соли ҷорӣ беш аз милёрд дулорро ташкил додааст ки дар муқоиса бо ҳамин марҳилаи соли гузашта дарсад бештар будааст
طرفها اظهار اطمینان کردند که این نشانداد در سالهای نزدیک از سه میلیارد دلار خواهد گذشت,тарафҳо изҳори итминон кардаанд ки ин нишондод дар солҳои наздик аз се милёрд дулор фаротар хоҳад рафт
چندی قبل گزارش شد که چین در منطقه آزاد اقتصادی دَنغَره یک کارخانه تولید محصولات نفتی بنیاد خواهد کرد,чанде қабл гузориш шуд ки чин дар минтақаи озоди иқтисодии данғара як корхонаи тавлиди маҳсулоти нафтӣ бунёд хоҳад кард
شرکت چینی هیلی برای ساختمان این کارخانه به مبلغ میلیون دلار آمریکایی سرمایه وارد کرده و قرارداد میان دولت تاجیکستان و این شرکت در باره بنیاد کارخانه تولید محصولات نفتی اکتبر در اجلاس مجلس نمایندگان تاجیکستان بررسی و تصویب شد,ширкати чинии ҳелӣ барои сохтмони ин корхона маблағи милюн дулор сармоя ворид карда ва қарордоди миёни давлати тоҷикистон ва ин ширкат дар бораи бунёди корхонаи тавлиди маҳсулоти нафтӣ октябр дар иҷлоси маҷлиси намояндагони тоҷикистон баррасӣ ва тасвиб шуд
در ماه سپتامبر سال جاری در جریان دیدار دولتی شی جین پینگ رهبر چین از تاجیکستان رؤسای جمهور دو کشور با صدور بیانیه ای مشترَک یکدیگر‌را شریکان استراتژک اعلام کرده و برنامه‌ای پنج‌ساله در راستای اجرای اهداف این شراکت به تصویب رسانده بودند,дар моҳи сентябри соли ҷорӣ дар ҷараёни дидори давлатии шӣ ҷинпинг раҳбари чин аз тоҷикистон руасои ҷумҳури ду кишвар бо судури баёнияе муштарак якдигарро шарикони истротежик эълом карда ва барномае панҷсола дар ростои иҷрои аҳдофи ин шарокат ба тасвиб расонда буданд
چین تا کنون از شریکان اصلی اقتصادی تاجیکستان بوده و برای بنیاد جاده‌ها و تونلها و نیروگاهها در این کشور سرمایه هنگفتی هزینه کرده است,чин то кунун аз шарикони аслии иқтисодии тоҷикистон буда ва барои бунёди ҷоддаҳову тунелҳо ва нерӯгоҳҳо дар ин кишвар сармояи ҳангуфте ҳазина кардааст
با این حال تاجیکستان همواره از روسیه به عنوان شریک استراتژیک خود نام می‌برد,бо ин ҳол тоҷикистон ҳамвора аз русия ба унвони шарики истротежики худ ном мебурд
کشوری که میزبان بیش از یک میلیون مهاجر کاری تاجیک است و در تاجیکستان پایگاه نظامی دارد,кишваре ки мизбони беш аз як милюн муҳоҷири кории тоҷик аст ва дар тоҷикистон пойгоҳи низомӣ дорад
اما اخیراً کارشناسان وسعت گرفتن همکاریهای میان چین و تاجیکستان‌را تهدیدی برای منافع استراتژیک روسیه در تاجیکستان می‌خوانند,аммо ахиран коршиносон вусъат гирифтани ҳамкориҳои миёни чину тоҷикистонро таҳдиде барои манофеъи истротежики русия дар тоҷикистон мехонанд
به گفته آنها با نزدیک شدن به چین دولت تاجیکستان می‌خواهد از مسکو هرچه بیشتر فاصله بگیرد,ба гуфтаи онҳо бо наздик шудан ба чин давлати тоҷикистон мехоҳад аз маскав ҳарчи бештар фосила бигирад
حزب سوسیال دموکرات تاجیکستان از امامعلی رحمان رئیس جمهوری این کشور خواسته است تا به خاطر برگزاری انتخاباتی آزاد و شفاف در کشور از حزب خاصی در انتخابات حمایت نکند,ҳизби сусиёл-демукроти тоҷикистон ҳсдт аз эмомалӣ раҳмон раиси ҷумҳурии ин кишвар хостааст то ба хотири баргузории интихоботи озоду шаффоф дар ин кишвар аз ширкат дар интихобот худдорӣ кунад
در بیانیه شورای سیاسی این حزب که روز دوشنبه اکتبر پخش شد شرکت رئیس جمهوری تاجیکستان به عنوان رئیس یک حزب سیاسی در تبلیغات انتخابات پارلمانی و مجالس محلی مغایر با قانون اساسی تاجیکستان ارزیابی شده است,дар баёнияи шӯрои сиёсии ин ҳизб ки рӯзи душанбеи октябр пахш шуд ширкати раиси ҷумҳурии тоҷикистон ба унвони раиси як ҳизби сиёсӣ дар интихоботи порлумонӣ ва маҷолиси маҳаллӣ муғойир ба қонуни асосии тоҷикистон арзёбӣ шудааст
در بیانیه آمده است,дар баёния омадааст
این انتخابات چهارم است که حزب خلق دموکرات تاجیکستان در معرکه تبلیغات قبل ازانتخابات از نام رئیس جمهوری و عکسهای او در پلاکاردها استفاده می‌کند,интихоботи чаҳорум аст ки ҳизби халқи демукроти тоҷикистон дар маъракаи қаблазинтихоботӣ аз номи раиси ҷумҳурӣ ва аксҳои ӯ дар плокотҳо истифода мешавад
این خلاف ماده قانون اساسی است که طبق آن رئیس جمهوری رهبر دولت و حاکمیت اجرائیه‌ محسوب شده و حق مداخله به تشکیل حاکمیت اجرائیه‌‌را ندارد,ин бар хилофи моддаи қонуни асосӣ аст ки тибқи он раиси ҷумҳурӣ раҳбари давлат ва ҳокимияти иҷроия маҳсуб шуда ва ҳаққи мудохила ба ташкили ҳокимияти иҷроияро надорад
حزب سوسیال دموکرات گفته است در قسمت دوم ماده آمده که رئیس جمهوری کفیل تامین اجرای قوانین حقوق و آزادی انسان استقلال ملی وحدت و یکپارچگی کشور است و او مسئولیت تامین اجرای قانونیت و انتخابات آزاد و شفاف‌را به عهده دارد,аз сӯйи дигар дар қисмати дуюми моддаи раиси ҷумҳурӣ кафили таъмини иҷрои қавонин ҳуқуқу озодии инсон истиқолияти миллӣ ваҳдат ва якпорчагии кишвар аст ва ӯ масъулияти таъмини иҷрои қонуният ва интихоботи озоду шаффофро ба ӯҳда дорад
به این دلیل شورای سیاسی حزب سوسیال دموکرات تاجیکستان از رئیس جمهوری تاجیکستان خواسته است تا به او استفاده نام و عکسهایش از جانب حزب خلق دموکرات در پیکارهای انتخاباتی اجازه ندهد,ба ин далел шӯрои сиёсии ҳсдт аз раиси ҷумҳурии тоҷикистон хостааст то ӯ ба истифодаи ном ва аксҳояш аз ҷониби ҳизби халқи демукрот дар маъракаҳои интихоботӣ иҷоза надиҳад
زیرا این حزب از آنها سود سیاسی می‌برد,зеро бар асоси қонуни асосӣ ҳаққи интихоб шудани намоянда дар ҳеч кадоме аз маҷолиси кишварро надорад
همچنین حزب سوسیال دموکرات تاجیکستان به امامعلی رحمان رئیس جمهوری این کشور پیشنهاد کرده است به منظور تامین انتخابات آزاد و شفاف در انتخابات پارلمانی و مجالس محلی اختیارات خود به عنوان رئیس حزب حاکم خلق دموکرات‌را متوقف کند,ҳамчунин ҳизби сусиёл-демукроти тоҷикистон ба эмомалӣ раҳмон раиси ҷумҳурии ин кишвар пешниҳод кардааст ба манзури таъмини интихоботи озоду шаффоф дар интихоботи порлумонӣ ва маҷолиси маҳаллӣ раёсатии худро дар ҳизби ҳокими халқи демукрот мутаваққиф кунад
ضمنا حزب سوسیال دموکرات تاجیکستان از احزاب مخالف دولت فعلی قصد دارد نه تنها در انتخابات پارلمانی بلکه در انتخابات مجالس محلی نیز با نامزدهای خود شرکت کند,зимнан ҳизби сусиёл-демукроти тоҷикистон ҳсдт қасд дорад на танҳо дар интихоботи порлумонӣ балки дар интихоботи маҷолиси маҳаллӣ низ бо номзадҳои худ ширкат кунад
گفته می‌شود تدارکات حزب سوسیال دموکرات تاجیکستان برای شرکت در انتخابات سال آینده از حالا شروع شده و تا روز دسامبر سال جاری کلیه امکانات فنی کادری و مالی خویش‌را برای شرکت در انتخابات فراهم می‌کند,гуфта мешавад тадорукоти ҳсдт барои ширкат дар интихоботҳои соли оянда аз ҳоло шурӯъ шуда ва то рӯзи декабри соли ҷорӣ куллияи имконоти фаннӣ кодрӣ ва молӣ барои ин маъракаи муҳим фароҳам шавад
همچنین در این مدت فهرست نامزدها از حزب سوسیال دموکرات تهیه و برای بررسی و تصویب به انجمن حزب سوسیال دموکرات تاجیکستان پیشنهاد خواهد شد,ҳамчунин дар ин муддат феҳристи номзадҳо аз ҳизби сусиёл-демукрот барои ширкат дар интихоботи порлумонӣ таҳия ва барои баррасию тасвиб ба анҷумани ҳсдт пешниҳод хоҳад шуд
تا حال احزاب خلق دموکرات نهضت اسلامی و سوسیالیست تاجیکستان از شرکت خود در انتخاباتهای پارلمانی و مجالس محلی خبر داده‌اند,то ҳол аҳзоби халқи демукрот наҳзати исломӣ ва сусиёлисти тоҷикистон аз ширкати худ дар интихоботҳои порлумонӣ ва маҷолиси маҳаллӣ хабар додаанд
انتظار می‌رود انتخابات مجلس نمایندگان یا پارلمان و مجالس محلی در ماه فوریه سال آینده برگزار شود,интизор меравад интихобот ба маҷлиси намояндагон ё порлумон ва маҷолиси маҳаллӣ дар моҳи феврали соли оянда баргузор шавад
روز دوشنبه اکتبر جشنواره بین‌المللی سینما در تاجیکستان پایان یافت,рӯзи душанбеи октябр ҷашнвораи байналмиллалии синемо дар тоҷикистон поён ёфт
امسال جوایز اصلی این جشنواره که همه‌ساله با حمایت مالی صندوق سوروس برگزار می‌شود به سینماگران افغانستان گرجستان و روسیه اعطا شد,имсол ҷавоизи аслии ин ҷашнвора ки ҳамасола бо ҳимояти молии сандуқи сурус баргузор мешавад ба синемогарони афғонистон гурҷистон ва русия эъто шуд
جایزه بهترین کارگردان در این جشنواره‌را خادم حسین بهنامه و ویس سنجر کارگردانهای افغانستان برای فیلم سه قسمتی سه گانه بردند,ҷоизаи беҳтарин коргардон дар ин ҷашнвораро ходими ҳусайни беҳнома ва вайси санҷар коргардонҳои афғонистон барои филми сеқисматии сегона бурданд
این فیلم داستان زنی‌را به نام سعادت به پرده سینما کشیده است,ин филм достони занеро ба номи саъодат ба пардаи синемо кашидааст
سنجش آلکساندر کات کارگردان روسیه جایزه بهترین فیلم بلند‌را به خود اختصاص داده و جایزه سوم‌را مریم خط‌چوانی کارگردان گرجی برای فیلم کوتاه خود دینالا گرفت,санҷиш-и александр котт коргардони русия ҷоизаи беҳтарин филми баландро ба худ ихтисос дода ва ҷоизаи севумро марям хатчаванӣ коргардони гурҷӣ барои филми кӯтоҳи худ динола гирифт
خون خلق ساخته زین العابدالدین موسی و یک جهان از من و تو کار مشترَک محبت ستاری بختیار کریم اف و الغبیک صادق اف جایزه تماشاچیان‌را به خود اختصاص دادند,хуни халқ сохтаи зайналобиддини мӯсо ва як ҷаҳон аз ману ту кори муштараки муҳаббати сатторӣ бахтиёр каримов ва улуғбек содиқов ҷоизаи тамошочиёнро ба худ ихтисос доданд
در بخش فیلمهای کارتونی بختیار قهاراف جایزه بهترین کارتون‌را به دست آورد,дар бахши филмҳои кортунӣ бахтиёр қаҳҳоров ҷоизаи беҳтарин кортунро ба даст овард
دیدار تنها جشنواره بین‌المللی سینما در تاجیکستان است که از سال بدین سو یک سال در میان برگزار می‌شود,дидор танҳо ҷашнвораи байналмилалии синемо дар тоҷикистон аст ки аз соли бад-ин сӯ як сол дар миён баргузор мешавад
این بار جشنواره که از تا اکتبر در شهر دوشنبه برگزار شد به مین سالگرد کامل یارمت اف بنیادگذار سینمای تاجیکستان و ازبکستان بخشیده شده بود,ин бор ҷашнвора ки аз то октябр дар шаҳри душанбе баргузор шуд ба солгарди комил ёрматов бунёдгузори синемои тоҷикистон ва узбакистон бахшида шуда буд
قبلا مسئولان این جشنواره گفته بودند که در سال جاری بودجه جشنواره درصد پایین شده و به دلیل کمبود بودجه حضور مهمانان دعوتشده به جشنواره نیز درصد کمتر بوده است,қаблан мусъулони ин ҷашнвора гуфта буданд ки дар соли ҷорӣ будҷеи ҷашнвора дарсад пойин шуда ва ба далели камбуди будҷе ҳузури меҳмонони даъватшуда ба ҷашнвора низ дарсад камтар будааст
در بخشهای گوناگون این جشنواره با شمول فیلمهای آزمونی و غیرآزمونی فیلم از جمله فیلم ساخته تاجیکستان به نمایش گذاشته شد,дар бахшҳои гуногуни ин ҷашнвора бо шумули филмҳои озмунӣ ва ғайриозмунӣ филм аз ҷумла филми сохтаи тоҷикистон ба намоиш гузошта шуд
از آنجا که جشنواره به سالگرد کامل یارمت اف بخشیده شده بود در بخش رتروی این جشنواره دو فیلم کامل یارمت اف به نمایش درآمد,аз онҷо ки ҷашнвора ба солгарди комил ёрматов бахшида шуда буд дар бахши ретру-и ин ҷашнвора ду филми комил ёрматов ба намоиш даромад
علاقه‌مندان همچنین توانستند سه مستند قدیمی ولادیمیر ابرافی یف کارگردان مشهور سالهای‌را در باره سه کشور فارسی‌زبان تاجیکستان و افغانستان و ایران ببینند,алоқамандон ҳамчунин тавонистанд се мустанади қадимии влодимир ерофеев коргардони машҳури солҳои дар бораи се кишвари форсизабони тоҷикистону афғонистон ва эрон бубинанд
در جشنواره همچنین فیلمهای نو محسن مخملباف کارگردان ایرانی مستند بخش فارسی بی بی سی ساخته حسن صلح‌جو که به زندگینامه این فیلمساز بخشیده شده به نمایش درآمدند,дар ҷашнвора ҳамчунин филмҳои нави муҳсини махмалбоф коргардони эронӣ мустанади бахши форсии би-би-сӣ сохтаи ҳасани сулҳҷӯ ки ба зиндагиномаи ин филмсоз бахшида шуда ба намоиш даромаданд
هم اکنون به گفته مسئولان ده فیلم این جشنواره با کمک مالی سفارت آمریکا در تاجیکستان در شهرهای کانبادام و پنجکنت در نیمه ماه آینده نمایش داده خواهند شد,ҳамакнун ба гуфтаи масъулони даҳ филми ин ҷашнвора бо кумаки молии сафорати омрико дар тоҷикистон дар шаҳрҳои конибодом ва панҷакент дар нимаи моҳи оянда намоиш дода хоҳанд шуд
در همین حال به گفته مسئولان جشنواره دیدار که در سال جاری ساله شد ممکن است به دلایل مالی آخرین جشنواره دیدار در تاجیکستان بوده باشد,дар ҳамин ҳол ба гуфтаи масъулони ҷашнвора дидор ки дар соли ҷорӣ шуд мумкин аст ба далоили молӣ охирин ҷашнвораи дидор дар тоҷикистон буда бошад
صفر حقداد رئیس جشنواره دیدار و رئیس اتحادیه سینماگران تاجیکستان قبل از آغاز جشنواره گفته بود,сафари ҳақдод раиси ҷашнвораи дидор ва раиси иттиҳодияи синемогарони тоҷикистон қабл аз оғози ҷашнвора гуфта буд
صندوق سوروس که تا حالا از این جشنواره حمایت مالی می‌کرد اعلام داشت که به دلیل بسته شدن بودجه طرحهای هنری در آسیای میانه‌ از جشنواره‌های بعدی دیدار حمایت مالی نخواهد کرد,сандуқи сурус ки то ҳоло аз ин ҷашнвора ҳимояти молӣ мекард эълом дошт ки ба далели баста шудани будҷеи тарҳҳои ҳунарӣ дар осиёи миёна аз ҷашнвораҳои баъдии дидор ҳимояти молӣ нахоҳад кард
معلوم نیست که دو سال بعد چه می‌شود,маълум нест ки ду сол баъд чӣ мешавад
او گفت که در طول این سالها حمایت مالی از این جشنواره می‌بایست به دولت تاجیکستان و سرمایه‌گذاران بخش خصوصی وا‌گذار می‌شد اما این کار تا حالا انجام نشده و معلوم نیست که آیا دو سال پس این جشنواره حامی مالی خواهد داشت یا خیر,ӯ гуфт ки дар тӯли ин солҳо ҳимояти молӣ аз ин ҷашнвора мебоист ба давлати тоҷикистон ва сармоягузорони бахши хусусӣ вогузор мешуд аммо ин кор то лоҳо анҷом нашуда ва маълум нест ки оё ду сол пас ин ҷашнвора ҳомии молӣ хоҳад дошт ё хайр
انجمن دوستی ایران و تاجیکستان تعداد کتاب‌را که طی سالهای گذشته از مردم ایران جمع‌آوری شده اند به کتابخانه ملی تاجیکستان اعطا کرده است,анҷумани дӯстии эрону тоҷикистон теъдоди китобро ки тайи солҳои гузашта аз мардуми эрон ҷамъоварӣ шуда ба китобхонаи миллии тоҷикистон эъто кардааст
این کتابها‌را علی‌اشرف مجتهد شبستری رئیس این انجمن و نخستین سفیر ایران در تاجیکستان اوایل هفته جاری در جریان سفر خود به دوشنبه به مسئولان این کتابخانه تحویل داده است,ин кутубро алиашрафи муҷтаҳиди шабистарӣ раиси ин анҷуман ва нахустин сафири эрон дар тоҷикистон авоили ҳафтаи ҷорӣ дар ҷараёни сафари худ ба душанбе ба масъулони ин китобхона таҳвил додааст
سخنگوی کتابخانه ملی تاجیکستان می‌گوید که فعلاً کارمندان مشغول تهیه فهرست این کتابها هستند و قرار است در روزهای نزدیک این کتابها در دسترس خوانندگان تاجیک قرار داده شود,сухангӯйи китобхонаи миллии тоҷикистон мегӯяд ки феълан кормандон машғули таҳияи феҳристи ин китобҳо ҳастанд ва қарор аст дар рӯзҳои наздик ин кутуб дар дастраси хонандагони тоҷик қарор дода шавад
به گفته مسئولان این کتابها ارمغانی است که مردم ایران برای برآورده ساختن نیاز کتابخانه ملی تاجیکستان در سال جمع‌آوری کرده‌اند,ба гуфтаи масъулон ин кутуб армуғонест ки мардуми эрон барои бароварда сохтани ниёзи китобхонаи миллии тоҷикистон дар соли ҷамъоварӣ кардаанд
آن زمان در ایران برای این اقدام حدود هزار عدد کتاب جمع‌آوری شده بود,он замон дар эрон барои ин иқдом ҳудуди ҳазор адад китоб ҷамъоварӣ шуда буд
مبتکر این اقدام انجمن دوستی تاجیکستان و ایران است,мубтакири ин иқдом анҷумани дӯстии тоҷикистону эрон аст
در ماه دسامبر سال از این کتابها تعداد نسخه به تاجیکستان منتقل و به کتابخانه ملی تحویل شده بود,дар моҳи декабри соли аз ин китобҳо теъдоди нусха ба тоҷикистон мунтақил ва ба китобхонаи миллӣ таҳвил шуда буд
اما به گفته یک مسئول انجمن دوستی ایران و تاجیکستان مقدار زیادی از این کتابها به دلیل تاخیر در ارسال هوایی در انبار مانده بودند,аммо ба гуфтаи як масъули анҷумани дӯстии эрону тоҷикистон миқдори зиёде аз ин китобҳо ба далели таъхир дар ирсоли ҳавоӣ дар анбор монда буданд
این عضو انجمن که نخواست نامش افشا شود گفت که این کتابها در چند نوبت فراخوان جمع‌آوری شده‌اند,ин узви анҷуман ки нахост номаш ифшо шавад гуфт ки ин китобҳо дар чанд навбат фарохон ҷамъоварӣ шудаанд
وی افزود,вай афзуд
هدف ما فقط کار کوچکی بوده برای پارسی گویان و ایرانی‌تباران عزیز تاجیکستان که به منابع خط نیاکان دسترسی ندارند,ҳадафи мо фақат кори кӯчаке буда барои порсигӯёну эронитаборони азизи тоҷикистон ки ба манобеъи хатти ниёкон дастрасӣ надоранд
به گفته این مسئول انجمن دوستی ایران و تاجیکستان بیشتر این کتابها ادبی فرهنگی و تاریخی هستند چون گفته شده بود که مردم از ارسال کتابهای سیاسی و ایدئولوژیک خودداری کنند,ба гуфтаи ин масъули анҷумани дӯстии эрону тоҷикистон бештари ин китобҳо адабӣ фарҳангӣ ва торихӣ ҳастанд чун гуфта шуда буд ки мардум аз ирсоли китобҳои сиёсӣ ва идеулужик худдорӣ кунанд
صاحب‌نظران می‌گویند که مقامات تاجیک در مورد کتابهای دارای محتوای سیاسی و مذهبی و ایدئولوژیک حساسیت شدیدی دارند و واردات چنین کتابها بویژه به زبان و خط فارسی و از کشورهای اسلامی به تاجیکستان ممنوع است,соҳибназарон мегӯянд ки мақомоти тоҷик дар мавриди китобҳои дорои муҳтавои сиёсию мазҳабӣ ва идеулужик ҳассосияти шадиде доранд ва воридоти чунин китобҳо бавижа ба забон ва хатти форсӣ ва аз кишварҳои исломӣ ба тоҷикистон мамнӯъ аст
با این حال تاجران کتاب می‌گویند مقامات گمرک تاجیکستان که بیشترشان خط پارسی بلد نیستند معمولا از واردات کتب ادبی و فرهنگی و علمی نیز به شیوه‌های مختلف مانع می‌شوند,бо ин ҳол тоҷирони китоб мегӯянд мақомоти гумруки тоҷикистон ки бештарашон хатти порсӣ балад нестанд маъмулан аз воридоти кутуби адабию фарҳангӣ ва илмӣ низ ба шеваҳои мухталиф монеъ мешаванд
این در حالی است که بازار و مغازه‌های کتاب تاجیکستان از کتابهای چاپ روسیه چین و ترکیه به زبانهای روسی و انگلیسی لبریز است و کتب چاپ‌شده به زبان فارسی و خط سیریلیک در داخل کشور‌را نیز در مغازه‌ها و دکانهای کتاب‌فروشی کمتر می‌توان یافت,ин дар ҳолест ки бозорҳо ва мағозаҳои китоби тоҷикистон аз кутуби чопи русия чин ва туркия ба забонҳои русию инглисӣ лабрез аст ва кутуби чопшуда ба забони форсӣ ва хатти сириллик дар дохили кишварро низ дар мағозаҳо ва дуконҳои китобфурӯшӣ камтар метавон ёфт
مسئولان کتابخانه ملی تاجیکستان می‌گویند که کتب ارسال شده از ایران برای دانشمندان و پژوهشگران عرصه‌های مختلف و دانشجویان دانشگاههای تاجیکستان بسیار مفید است,масъулони китобхонаи миллии тоҷикистон мегӯянд ки кутуби ирсолшуда аз эрон барои донишмандону пажӯҳишгарони арсаҳои мухталиф ва донишҷӯёни донишгоҳҳои тоҷикистон бисёр муфид аст
کتابخانه ملی تاجیکستان که ساختمان جدید آن در بهار سال افتتاح شد به مقدار زیادی از کتب نیاز دارد و در گذشته نیز کشورهای مختلف از جمله آمریکا کتابهای علمی و ادبی‌را به زبان انگلیسی و زبانهای دیگر در اختیار این کتابخانه گذاشته‌اند,китобхонаи миллии тоҷикистон ки сохтмони нави он дар баҳори соли ифтитоҳ шуд ба миқдори зиёде аз кутуби мухталиф ниёз дорад ва дар гузашта низ кишварҳои мухталиф аз ҷумла омрико кутуби илмӣ ва адабиро ба забони инглисӣ дар ихтиёри ин китобхона гузоштаанд
کارشناسان می‌گویند در حالی که در دو دهه اخیر توجه به آموختن خط فارسی در تاجیکستان در میان جوانان افزایش یافته کتابهای ارسال شده از ایران می‌تواند نیازمندیهای علاقه‌مندان کتب فارسی‌را تا اندازه‌ای برآورده سازد,коршиносон мегӯянд дар ҳоле ки дар ду даҳаи ахир таваҷҷуҳ барои омӯхтани хатти форсӣ дар тоҷикистон дар миёни ҷавонон афзоиш ёфта кутуби ирсолшуда аз эрон метавонад ниёзмандиҳои алоқамандони кутуби форсиро то андозае бароварда созад
