Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Хидмататон арз намоям ки ҳамаи мо эрониён бо дигарон омехта шудаем ва эрониёни Фароруд на камтар аз эрониёни ғарби Эронзамин	خدمتتان عرض نمایم که همه ما ایرانیان با دیگران آمیخته شده ایم و ایرانیان فرارود نه کمتر از ایرانیان غرب ایران زمین
Вале оне ки моро эронӣ мекунад фарҳангу тамаддуни мост ва забони мост	ولی آنی که مارا ایرانی می‌کند فرهنگ و تمدن ماست و زبان ماست
Албатта решаи ин ҳарфҳо аз шустушӯи мағзии шӯравӣ ва русӣ бар меояд	البته ریشه این حرف‌ها از شستوشوی مغزی شوروی و روسی بر می‌آید
Ба мо гуфтанд ки озариҳо турканд ва мо имрӯз онҳоро бегона медонем	به ما گفتند که آذری‌ها ترکند و ما امروز آن هارا بیگانه می‌دانیم
Ҳатто мардуми Ҷумҳурии Озарбойҷони кунунӣ ҳам гирифтори ин афкор шудаанд	حتی مردم جمهوری آذربایجان کنونی هم گرفتار این افکار شده اند
Вале набояд нодида гирифт ки имрӯз фазои марзи Эрони кунунӣ аз ҳар ҷойи Эрони Бузург бештар эрониятро дорад шӯрбахтона	ولی نباید نادیده گرفت که امروز فضای مرز ایران کنینی از هر جای ایران بزرگ بیشتر ایرانیت‌را دارد شوربختانه
Чӣ дар забон чӣ дар давлатдорӣ чӣ дар ҷашнҳои миллӣ чӣ дар мусиқӣ чӣ дар синемо ва	چه در زبان چه در دولتداری چه در جشن‌های ملی چه در موسیقی چه در سینما و
Мо ҳама раҳгумзадагоне ҳастем ки намедонем аз куҷо меоему ба куҷо меравем	ما همه رهگمزدگانی هستیم که نمی دانیم از کجا می‌آییم و به کجا می‌رویم
Чаро меранҷем вақте чунин иқдоми Маҳмуди Кавирро мебинем вале гоҳе фикр намекунем ки ҳамқавмони бурунмарзии мо ҳам ҳақ доранд аз мо Тоҷикистониён биранҷанд	چرا می‌رنجیم وقتی چنین اقدام محمود کویررا می‌بینیم ولی گاهی فکر نمی کنیم که همقومان برنمرزی ما هم حق دارند از ما تاجیکستانیان برنجند
Вақте як кишваре чун Эрони имрӯзӣ бо тамоми қудрате ки дорад бо мо на ҳамчун бародари бузург балки ҳамчун ҳамрутба бархурд менамояд мо бархе замон кӯрнамакӣ ҳам мекунем	وقتی یک کشوری چون ایران امروزی با تمام قدرتی که دارد با ما نه همچن برادر بزرگ بلکه همچن همرطبه برخرد می‌نماید ما برخی زمان کور نمکی هم می‌کنیم
Эроне ки тоза аз ҷанги бо Ироқ баромада буд ин қадр кӯмаки башардӯстона ба Тоҷикистони ҷангзада намуд барои бунёди сулҳ дар Тоҷикистон миёнҷигарӣ намуд	ایرانی که تازه از جنگ ساله با عراق برامده بود این قدر کمک بشردوستانه ای به تاجیکستان جنگزده نمود؛ برای بنیاد صلح در تاجیکستان میانجگری نمود
Вале бархе аз давлатмандони мо ҳамаи инро нодида мегиранд	ولی برخی از دولتمندان ما همه این‌را نادیده می‌گیرند
Дар назди эрониён худро бартар медонем	در نزد ایرانیان خودرا برتر می‌دانیم
Чаро	چرا
Магар фарҳангамонро мо беҳтар нигаҳ доштем	مگر فرهنگمان‌را ما بهتر نگه داشتیم
Магар забонамонро мо беҳтар нигаҳ доштем	مگر زبانمان‌را ما بهتر نگه داشتیم
Ин ҳама албатта аз худкеҳтарбинӣ комплекс неполноценности аст	این همه البته از خودکهتربینی است
Худкеҳтарбинии мо танҳо он замон аз байн хоҳад рафт ки мо бидонем кистему чистем аз куҷо меоему ба куҷо меравем	خودکهتربینی ما تنها آن زمان از بین خواهد رفت که ما بدانیم کیستیم و چیستیم از کجا می‌آییم و به کجا می‌رویم
Магар суханони Иброҳим Усмонов ҳам пуч нестанд ки мегӯяд дабираи порсӣ на хатти мост на хатти падарони мост ва на хатти бобоёни мост	مگر سخنان ابراهیم عثمانف هم پوچ نیستند که می‌گوید دبیره پارسی نه خط ماست نه خط پدران ماست و نه خط بابایان ماست
Гуфтугӯи эшон бо ҳафтаномаи Ниго чоп Душанбе зери унвони Бояд бовар кунонем ки мо тоҷикем на каси дигар	گفتگوی ایشان با هفتنامه نگاه چاپ دوشنبه زیر عنوان باید باور کنانیم که ما تاجیکیم نه کس دیگر
чоп шуда	چاپ شده
Дар бахши ин гуфтугӯ ки жуйия июл-и соли чоп шуда мегӯяд ки аҷибу фараҳбахш мебуд ки тамоми ашъори Устод Рӯдакӣ ва ҳамасрони ӯро ба забонҳои инглисию фаронсавӣ ё немисӣ ҷанобашон ки худро мудофеъи забону фарҳанги тоҷик медонанд вожаи русии немисӣ-ро мавриди истифода қарор додаанд ки порсии он аст олмонӣ дар ҷилд нашр мекардем ва дар охирсухан мегуфтем ки тарҷума аз забони тоҷикӣ аст	در بخش این گفتگو که ژوئیه سال چاپ شده می‌گوید که عجیب و فرحبخش می‌بود که تمام اشعار استاد رودکی و همعصران اورا به زبان‌های انگلیسی و فرانسوی یا نمیسی جنابشان که خودرا مدافع زبان و فرهنگ تاجیک می‌دانند واژه روسی نمیسی‌را مورد استفاده قرار داده اند که پارسی آن است آلمانی در جلد نشر می‌کردیم و در آخرسخن می‌گفتیم که ترجومه از زبان تاجیکی است
Ин ба назарам як чизи нав менамояд	این به نظرم یک چیز نو می‌نماید
Дуруст фармуданд эшон ки аҷиб мешуд ва як чизи нав ҳам хоҳад намуд агар касе ба ин ин ин иқдоми аҳмақона даст бизанад	درست فرمودند ایشان که عجیب می‌شد و یک چیز نو هم خواهد نمود اگر کسی به این اقدام احمقانه دست بزند
Маҳмуди Кавир ҳам дуруст мисли оқои Усмонов бе появу асос гап мезананд ва ба тафриқаандозии эрониён даст мезананд	محمود کویر هم درست مثل آقای عثمانف بی پایه و اساس گپ می‌زنند و به تفریقه اندازی ایرانیان دست می‌زنند
Абдулазими Абдулваҳҳоб худ ба яке аз пайравони Иброҳим Усмонову Маҳмуди Кавир табдил шудааст	عبد العظیم عبد الوهاب خود به یکی از پیروان ابراهیم عثمانف و محمود کویر تدبدل شده است
Навиштаи ман зери унвони Бӯҳрони ҳуввияти Рӯдақӣ дар матлаби оқои Абдулваҳҳоб ҳам ёд шуда вале бояд дубора зикр намоям ки вақте ман он матлабро ин ҷо навиштам ҳадафи ман ҳушдор намудани мардум аз чунин иқдом буд ки ҳамагон шоҳиди он шудем	نوشته من زیر عنوان بحران هویت رودکی در مطلب آقای عبد الوهاب هم میاد شده ولی باید دوباره ذکر نمیام که وقتی من آن مطلب‌را این جا نوشتم هدف من هوشدار نمودن مردم از چنین اقدام بود که همگان شاهد آن شدیم
Фаромӯш накунем ки мо эронием мо тоҷикем	فراموش نکنیم که ما ایرانییم ما تاجیکیم
Ин ҷо суханони Дорюши Раҷбиёнро муносиб медонам ки дар посух ба яке аз иштирокдорони торнигори Андеша аз ҷумла гуфтаанд	این جا سخنان داریوش رجبیان‌را مناسب می‌دانم که در پاسخ به یکی از اشتراکداران تارنگار اندیشه از جمله گفتند
Шояд дарки ин хақиқат сахт бошад ки ҳанӯз тоҷиконе ҳастанд ки ба маънии дақиқи вожа на русишудаи он тоҷиканд яъне эронианд	شاید درک این حقیقت سخت باشد که هنوز تاجیکانی هستند که به معنی دقیق واژه نه روس شده آن تاجیکند یعنی ایرانی اند
Чун то замоне ки русҳо ба мо нагуфтанд ки мо эронӣ нестему забонамон порсӣ нест мо он ҳақиқатро қабул доштем	چون تا زمانی که روس‌ها به ما نگفتند که ما ایرانی نیستیم و زبانمان پارسی نیست ما آن حقیقت‌را قبول داشتیم
Тоҷику эрониву афғон чаро	تاجیک و ایرانی و افغان چرا
Мо дар ин дунё ки аз як модарем	ما در این دنیا که از یک مادریم
Фароруд зери дудмонҳои ӯзбак буд	فرارود زیر دودمان‌های ازبک بود
Дар давоми қарнҳо кашмакашу бенизомиҳои зиёде дар ин минтақа ҳукмрон буд	در دوام این قرن‌ها کشمکش و بی نظامی‌های زیادی در این منطقه حکمران بود
Пешравии намоёни фарҳангӣ ба назар намерасид ва се хонигарӣ ташкил шуд – Хонигарии Хӯқанд Хонигарии Хева ва Хонигарии Бухоро ки дертар номашро ба Аморати Бухоро табдил дод ва қудратмандтарини инҳо буд Ин хонигариҳо дар кашмакашҳои тӯлонӣ дар байни якдигар гирифтор буданд	پیشروی نمایان فرهنگی به نظر نمی رسید و سه خانیگریی تشکل شد – خانیگری خوقند خانیگری خیوه و خانیگری بخارا که دیرترنامش‌را به امارت بخارا تبدل داد و قدرتمندترین این‌ها بود
Ҳар сеи ин хонигарӣ зери дудмонҳои туркнажод буданд Ҳамин тавр давлатдории эрониву бумӣ нопадид шуд	این خانیگری‌ها در کشمکش‌های طولانی در بین یک دیگر گرفتار بودند
Забони давлатӣ дар хонигариҳои Хӯқанд ва Хева забонҳои туркӣ буд	هر سه ای این خانیگری زیر دودمان‌های ترک نژاد بودند
Танҳо дар Аморати Бухоро забони давлатӣ забони порсӣ боқӣ мемонад ва номи маъмулии он ҳам форсӣ ё форсии дарӣ буд	همین طور دولتداری ایرانی و بومی در فرارود ناپدید شد
Ин хонигариҳо ҳам набуданд ва сирф дар пояи Ислом ва он ҳам Исломи Суннии Ҳанафӣ бунёд ёфтанд Дар ин давлат ҳеч бӯю нишоне аз ҳуввияти миллӣ вуҷуд надошт	زبان دولتی در خانیگری‌های خوقند و خیوه زبان‌های ترکی بود
Соли хуршедӣ мелодӣ фароруд зери тасарруфи имперотурии Русия медарояд Дертар пас аз инқилоби Булшевик дар Русия дар Осиёи Миёна тақсимбандии миллӣ роҳандозӣ мешавад	تنها در امارت بخارا زبان دولتی زبان پارسی باقی می‌ماند و نام معمولی آن هم فارسی یا فارسی دری بود
Пас аз кашмакашҳои зиёду тӯлонӣ Ҷамоҳири Шӯравии Сусёлистии Қазоқистон Қирқизистон Туркаманистон Ӯзбакистон ва Тоҷикистон ташкил меёбанд	این خانیگری‌ها ملی نبودند و صرف در پایه اسلام و آن هم اسلام سنی حنفی بنیاد یافتند
Албатта қисматҳои азими Тоҷикистон зери Режими Ишғолгарои Ӯзбакистон боқӣ мемонад	در این دولت هیچ بوی و نشانی از هویت ملی وجود نداشت
Дар тӯли ин садсолаҳо бо ҳукмронии қабилаҳои турк ва дертар русҳову кумунистон давлатдории воқеъии бумиву эронӣ дар Фароруд ба тадриҷ нопадид шуд	سال خورشیدی میلادی فرارود زیر تصرف امپراتوری روسیه می‌دراید
марокази фарҳангу тамаддуни эронӣ зери фармони қавмҳои туркнажод уфтод	دیرتر پس از انقلاب بلشویک در روسیه در آسیای میانه تقسیم بندی ملی راهندازی می‌شود
ҳавзаи забони порсӣ дар Осиёи Миёна ба тадриҷ танг шуд эрониёни суннӣ-мазҳаб зидди ҳамқавмоне ки пайравони адёни ғайри Исломӣ буданд ва ҳатто ҳамқавмони Шиъа таблиғ мешуданд	پس از کشمکش‌های زیاد و طولانی جماهیر شوروی سوسیالیستی قزاقستان قرقزستان ترکمنستان ازبکستان و تاجیکستان تشکل می‌یابند
эрониёни Фароруд тоҷикон таблиғ мешуданд ки эронӣ ва тоҷик ду миллияти мухталифанд	البته قسمت‌های عظیم تاجیکستان زیر رژیم اشغالگرای ازبکستان باقی می‌ماند
порсигӯён таблиғ мешуданд ки забони модарии эшон тоҷикист на порсӣ эрониёни Суннӣ ва Шиъаи Исмоилӣ тоҷик ном гирифтанд эрониёни шиъаи дувоздаҳ-имомӣ порс ном гирифтанд эрониёне зиёде ки аз марзи кунунии Эрон омаданд аксари онҳо кумунистон мисли Лоҳутӣ эронӣ ном гирифтанд ва эрониёни Калимӣ ки ҳамчун Яҳудиёни Бухоро номдор буданду ҳастанд қисме аз миллияти яҳудӣ шуданд	در طول این صدساله‌ها با حکمرانی قبیله‌های ترک و دیرتر روس‌ها و کمونیستان دولتداری واقعی بومی و ایرانی در فرارود به تدریج ناپدید شد؛ مراکز فرهنگ و تمدن ایرانی زیر فرمان قوم‌های ترک نژاد افتاد؛ حوضه زبان پارسی در آسیای میانه به تدریج تنگ شد؛ ایرانیان سنی مذهب ضد همقومانی که پیروان ادیان غیر اسلامی بودند و حتی همقومان شیعه تبلیغ می‌شدند؛ ایرانیان فرارود تاجیکان تبلیغ می‌شند که ایرانی و تاجیک دو ملیت مختلفند؛ پارسی گویان تبلیغ می‌شدند که زبان مادری ایشان تاجیکیست نه پارسی؛ ایرانیان سنی و شیعه اسماعیلی تاجیک نام گرفتند ایرانیان شیعه دوازده امامی پارس نام گرفند ایرانیانی زیادی که از مرز کنونی ایران آمدند عکثر آن‌ها کمونیستان مثل لاهوتی ایرانی نام گرفتند و ایرانیان کلیمی که همچن یهودیان بخارا نامدار بوند و هستند قسمی از ملیت یهودی شدند؛ هر منطقه تاجیکستان‌را علیه دیگری تبلیغ نمودند
ҳар минтақаи Тоҷикистонро алайҳи дигарӣ таблиғ менамуданд Ин аст ки имрӯз бӯҳрони ҳуввият ва фарҳанги тоҷикӣ дар Фароруд ҳукмрон аст	این است که امروز بحران هویت و فرهنگ تاجیکی سر و پا در فرارود حکمران است
Ва аммо бар мегардем ба имрӯзи Тоҷикистон	و اما بر می‌گردیم به امروز تاجیکستان
Бадбахтии Тоҷикисон дар ин аст ки ҳеч суннати давлатдорӣ дар он вуҷуд надорад	بدبختی تاجیکستان این است که هیچ سنت دولتداری در آن وجود ندارد
Балки вуҷуд дорад вале суннати давлатдории имрӯзии Тоҷикистон тоҷикӣ нест	بلکه وجود دارد ولی سنت دولتداری امروزی تاجیکستان تاجیکی نیست
Давлатдори дар Тоҷикистон имрӯз дар асоси давлатдории кумунистӣ ва давлатдории хонигариҳои туркнажоди Осиёи Миёна бунёд ёфта ва сояи Сомониён намоён нест гарчӣ дар маркази шаҳр пайкараи Исмоили Сомонӣ қад афрошта	دولتداری در تاجیکستان امروز در اساس دولتداری کمونیستی و دولتداری خانیگری‌های ترک نژاد آسیای میانه بنیاد یافته و سایه سامانیان نمایان نیست گرچه در مرکز شهر پیکره اسماعیل سامانی قد افراشته
Омили аслӣ ин аст ки мардум аз ҳуввияти миллӣ бархурдор нестанд як гурӯҳи раҳгумзада мебошанд	عامل اصلی این است که مردم از هویت ملی برخردار نیستند و یک گروهِ رهگمزده می‌باشند
Аз як сӯ давлат таблиғ мекунад ки мо Ориёӣ ҳастем мо аз Ҳахоманишиёну Сосониёну Сомониёнем ва аз сӯйи дигар ба мо мегӯянд ки эрониён дигаранд ва тоҷикон дигаранд	از یک سو دولت تبلغ می‌کند که ما آریایی هستیم ما از هخامنشیان و ساسنیان و سامانیانیم و از سوی دیگر به ما می‌گویند که ایرانیان دیگرند و تاجیکان دیگرند
Аз як сӯ шоъироне мисли Рӯдакӣ Мавлонои Балхӣ Ҳофизи Шерозиро ва Лоҳутиро аз они худ медонанд ва аз сӯйи дигар забони худро тоҷикӣ ва дабираи худро сирилик медонанд	از یک سو شاعرانی مثل رودکی و مولانای بلخی و حافظ شیرازی و لاهوتی‌را از آن خود می‌دانند و از سوی دیگر زبان خودرا تاجیکی و دبیره خودرا سیریلیک می‌دانند
Аз як сӯ сару садо дар бораи иттиҳоди порсигӯён баланд мекунанд ва аз сӯйи дигар барномаҳои родюӣ бо забонҳои тоҷикӣ форсӣ дарӣ дар қатори инглисию русӣ пахш мекунанд ва дод мезананд ки забони мо тоҷикист на порсӣ ва бояд бо он биболему бифахрем	از یک سو سر و صدا در باره اتحاد پارسیگویان بلند می‌کنند و از سوی دیگر برنامه‌های رادیویی با زبان‌های تاجیکی فارسی دری در قطار انگلیسی و روسی پخش می‌کنند و داد می‌زنند که زبان ما تاجیکیست نه پارسی و باید با آن ببالیم و بفخریم
Рӯзҳои нахусте ки дар Тоҷикистон будам хеле дилгир мешудам ки чаро ҷавонон бавижа бонувони ҷавон забони модарии худро канор мегузоранд ва ба забони русӣ байни ҳам ҳарф мезананд	روزهای نخستی که در تاجیکستان بودم خیلی دلگیر می‌شدم که چرا جوانان بویژه بانوان جوان زبان مادری خودرا کنار می‌گذارند و به زبان روسی بین هم حرف می‌زنند
Донишҷӯёни ҷавоне ки ба забони порсӣ гап мезананд навъе аз тарафи ин ҷавонон тавҳин мешаванд ва онҳоро деҳотӣ мехонанд	دانشجویان جوانی که به زبان پارسی گپ می‌زنند نوعی از طرف این جوانان توهین می‌شوند و آن هارا دهاتی می‌خوانند
Забони русӣ забони шик шуда	زبان روسی زبان شیک شده
Ин ҳама албатта аз нодонии мардум аст вале бубинед ки ин ҷавонҳо аз забони тоҷикӣ чӣ мебинанд	این همه البته از نادانی مردم است ولی ببنید که این جوان‌ها از زبان تاجیکی چه می‌بینند
Ин забон ки бо хатти сирилик навишта мешавад дар куҷо ба кор меояд	این زبان که با خط سیریلیک نوشته می‌شود در کجا به کار می‌آید
Чанд китобе дар як сол бо ин забон нашр мешавад	چند کتابی در یک سال با این زبان نشر می‌شود
Чӣ дастовардҳои илмию текникӣ бо ин забон дастраси ҷавонон аст	چه دستاودر‌های علمی و تکنیکی با این زبان دسترس جوانان است
Ин боз моро ба баҳси хатту забон меорад	این باز مارا به بحث خط و زبان می‌آرد
Магар беҳтар нест забони модарии мо дубора расман форсӣ шинохта шавад ва ба хатти аслии худ боз гардем	مگر بهتر نیست زبان مادری ما دوباره رسماً فارسی شناخته شود و به خط اصلی خود باز گردیم
Бо чунин аҳвол мардум ҳеч гоҳ наметавонанд аз давлат чизе тақозо кунад	با چنین احوال مردم هیچ گاه نمی تواند از دولت چیزی تقاضا کند
Мардуме ки намедонад худ кисту чист кай метавонад як давлате дилхоҳе тақозо намояд	مردمی که نمی داند خود چیست و کیست کی می‌تواند یک دولتی دلخواهی تقاضا نماید
Дар кадом асос	در کدام اساس
Дар асоси кадом суннати давлатдорӣ	در اساس کدام سنت دولتداری
Бо назардошти ин ҳолат барои беҳтар намудани вазъи сиёсӣ иҷтимоӣ фарҳангӣ иқтисодӣ ва	با نظرداشت این حالت برای بهتر نمودن وضع سیاسی اجتماعی فرهنگی اقتسادی و
аз ҳамаи Ватанхоҳон мехоҳам ки барои омӯзонидани воқеъии фарҳангу торихи миллат дастиҷамъӣ кор кунанд	از همه وطن خواهان بیدار می‌خواهم که نخست به آموزاندن واقعی فرهنگ و تاریخ ملت دستجمعی کار کنند
Куҷо он бузургон Сосониён	کجا آن بزگان ساسانیان
Зи Баҳромиён то ба Сомониён	ز بهرامیان تا بسامانیان
Фирдавсӣ	فردوسی
Ватанхоҳон Ватан вайрона гардид	وطن خواهان وطن ویرانه گردید
Ватан манзилгаҳи бегона гардид	وطن منزلگه بیگانه گردید
Ба хоки мо таҷовузҳои ағёр	به خاک ما تجاوزهای اغیار
Бари аҳли ҷаҳон афсона гардид	بر اهل جهان افسانه گردید
Лоҳутӣ	لاهوتی
Бале ин як мусибате аст	بله این یک مصیبتی است
Мусибати давлат мардум ва сарзамин	مصیبت دولت مردم و سرزمین
Мушкили асосии ин миллат фасод аст ки як ҷузви он маҳалгароист	مشکل اساسی این ملت فساد است که یک جزو آن محلگراییست
Пуст пост- ҳои муҳими давлатӣ ҳама дар дасти ашхосест ки аз минтақаи ба ҳама маълум бар меоянд	پست‌های مهم دلتی همه در دست اشخاسیست که از منطقه به همه معلوم بر می‌آیند
Гузашта аз ин бисёре аз шуғлҳои давлатӣ ба фурӯш мераванд	گذشته از این بسیاری از شغل‌های دولتی به فروش می‌روند
Дар кадом як давлати солим шоҳиди чунин иттифоқот ҳастем	در کدام یک دولت سالم شاهد چنین اتفاقات هستیم
Вале масъала дар асл дигар аст	ولی مساله در اصل دیگر است
Решаи бадбахтиҳои Тоҷикистон фасод аст вале решаи фасод дигар аст ва ин ҳам ҳуввияти миллию фарҳангӣ ва забонӣ ё худ набудани ҳамаи он аст	ریشه بدبختی‌های تاجیکستان فساد است ولی ریشه فساد دیگر است و این هم هویت ملی و فرهنگی و زبانی یا خود نبودن همه آن است
Чаро ҳукуматдорон дастҷамъӣ ба чунин амалиёт даст мезананд	چرا حکومتداران دستجمعی به چنین عملیات دست می‌زنند
Чаро системи давлатдорӣ дар Тоҷикистон чунин шудааст	چرا سیستم دولتوداری در تاجیکستان جنین شده است
Чун барои давлатдории воқеъӣ ва давлатдории хуб ахлоқи судманд лозим аст	چون برای دولتداری واقعی و دلتداری خوب اخلاق سودمند لازم است
Фасод аз набуди ахлоқ аст	فساد از نبود اخلاق است
Суъол матраҳ мешавад	سؤال مطرح می‌شود
ахлоқ дар кадом асос бояд пайдо шавад	اخلاق در کدام اساس باید پیدا شود
Ахлоқ дар асоси чизи волотаре шакл меёбад оне ки шумо аз нафасатон волотару поктар медонед	اخلاق در اساس چیز والاتری شکل می‌یابد؛ آنی که شما از نفستان والاتر و پاکتر می‌دانید
Барои бархе ин дин аст барои бархе ин меҳанпарастӣ аст ва барои бархе ҳар ду	برای برخی این دین است برای برخی این میهنپرستی است و برای برخی هر دو
Албатта ман ин ҷо масъалаи ахлоқи давлатдориро матраҳ мекунам	البته من این جا مساله اخلاق دولتداری‌را مطرح می‌کنم
Мутаасифона меҳанпарварӣ дар кишвари мо дар байни тӯдаҳо вуҷуд надорад ишқ ба миллати худ ҳам ҳамчунин	متاسفانه میهنپروری در کشور ما در بین توده‌ها وجود ندارد؛ عشق به ملت خود هم همچنین
Танҳо хонаводаю маҳал барои мардум муҳим аст	تنها خانواده و محل برای مردم مهم است
Мардуми Тоҷикистон аз фарҳангу торихашон чизе ҳам намедонанд	مردم تاجیکستان از فرهنگ و تاریخشان چیزی هم نمی دانند
Сарчашмаи мушкилот ҳам ин аст	سرچشمه مشکلات هم این است
Мусибати Тоҷикистон ин аст ки мо тамоман аз асламон ва ҳуввиятамон дур мондем	مصیبت تاجیکستان این است که ما تماماً از اصلمان و هویتمان دور ماندیم
Биёед ба торих бингарем	بیایید به تاریخ بنگریم
Дар қарни-и хуршедӣ қарни мелодӣ маркази растохези фарҳангу забон ва давлатдории эронӣ пас аз истилои аъроб Фароруд буд	در قرن خورشیدی قرن میلادی مرکز رستاخیز فرهنگ و زبان و دولتداری ایرانی پس از استیلای اعراب فرارود بود
Имрӯз ҳам давлатдорони Тоҷикистон давлати Сомониёнро ба як пойгоҳи баланд бардоштаанд	امروز هم دولتداران تاجیکستان دولت سامانیان‌را به یک پایگاه بلند برداشته اند
Мутаасифона имрӯз ҳамон фарҳангу давлатдории эронӣ тоҷикӣ дар Тоҷикистон назаррас нест	متاسفانه امروز همان فرهنگ و دولتداری ایرانی تاجیکی در تاجیکستان نظررس نیست
Мусибати аз аслу ҳуввият дур мондани мо аз ҳамлаи ӯзбакон аз шимол – аз ҷануби қаламрави Русия ва шимоли қаламрави Қазоқистони имрӯзӣ – дар қарни-и хуршедӣ қарни-и мелодӣ сарчашма мегирад	مصیبت از اصل و هویت دور ماندن ما از حمله ازبکان از شمال – از جنوب قلمرو روسیه و شمال قلمرو قزاقستان امروزی – در قرن خورشیدی قرن میلادی سرچشمه می‌گیرد
Пас аз вайрон кардани марказҳои фарҳангии эронӣ ҳамчун шаҳрҳои Самарқанд Бухоро ва дигарҳо	پس از ویران کردن مرکزهای فرهنگی ایرانی همچن شهرهای سمرقند بخارا و دیگرها
Чуноне ки ба ҳамаи мо маълум аст Саффавиён ки аз Озарободагон Озарбойҷон бархостанд дар ин замон бо таксозӣ муттаҳидсозӣ-и Эрон машғул буданд	چنانی که به همه ما معلوم است صفویان که از آذرآبادگان آذربایجان برخاستند در این زمان با تکسازی متحدسازی ایران مشغول بودند
Ин ба кашмакашҳои шадид миёни ин ду нерӯ овард	این به کشمکش‌های شدید میان این دو نیرو آورد
Охари ин кашмакашҳо ба он расонид ки қисматҳои шарқӣ ва шимолии Эрон зери Шайбониён монд	آخر این کشمکش‌ها به آن رسانید که قسمت‌های شرقی و شمالی ایران زیر شیبانیان ماند
Дар замони ҳукмронии Шайбониён Аштархониён ва дертар Манғитиён Фароруд бештару бештар ақиб уфтод	در زمان حکمرانی شیبانیان اشترخانیان و دیرتر منغتیان فرارود بیشتر و بیشتر عقب افتاد
Сабаби асосӣ он аст ки ин дудмонҳои ӯзбак бодиянишин буданд ва суннатҳои давлатдории эронӣ ки дар замони Сомониён дубора дар Фароруд ҳукмрон буданд аз байн рафтанд	سبب اساسی آن ست که این دودمان‌های ازبک بادیه نشین بودند و سنت‌های دولتداری ایرانی که در زمان سامانیان دوباره در فرارود حکمران بودند از بین رفتند
Дунбола дорад	دنباله دارد
Тоҷикистон тоза ҷашни маликушшуаъро асосгузори адбиёти келосики форсӣ Рӯдакии бузургворро таҷлил намуд	تاجیکستان تازه جشن سالگی ملیک الشعرا اساسگزار ادبیات کلاسیک فارسی رودکی بزگواررا تجلیل نمود
Ин ҷашни якояки эрониёни ҷаҳон аст	این جشن یکایک ایرانیان جهان است
Ин ҳама дар ҳолест ки мутаваҷҷеҳи як матлабе рӯйи торнигори Перес Т	این همه در حالیست که متوجه یک مطلبی روی تارنگار پرس ت
В	و
шабакаи моҳвароии инглисии Садову Симои Ҷумҳурии Исломии Эрон шудам	شبکه ساعته ماهورایی انگلیسی صدا و سیمای جمهوری اسلامی ایران شدم
Матлаби мазкур нувомбр ноябр-и соли чоп шуда ба номи Би Би Си торихи Эронро таҳриф мекунад ’	مطلب مذکور نوامبر سال چاپ شده به نام بی بی سی تاریخ ایران‌را تحریف می‌کند ’
Ин матлаб аз Би Би Си ки аз Рӯдакӣ ба унвони асосгузори адабиёти тоҷикӣ ва шоъири тоҷик ёд карда сахт интиқод намуда	این مطلب از بی بی سی که از رودکی به عنوان اساسگزار ادبیات تاجیکی و شاعر تاجیک یاد کرده سخت انتقاد نموده
Матлаби Перес Т	مطلب پرس ت
В	و
менависад ки Рӯдакӣ эронӣ буд на тоҷик ва ӯ асосгузори адабиёти форсӣ буд на тоҷикӣ	می‌نویسد که رودکی ایرانی بود نه تاجیک و او اساسگزاری ادبیات فارسی بود نه تاجیکی
Дар мавриди забони тоҷикӣ бо Перес Т	در مورد زبان تاجیکی با پرس ت
В	و
сад дар сад мувофиқам	صد در صد موافقم
Забони мо забони форсист ва тоҷикӣ номи таҳмил шуда ба миллати мост	زبان ما زبان فارسیست و تاجیکی نام تحمیل شده به ملت ماست
Рӯдакӣ ҳам номи забони худро форсӣ медонист на тоҷикӣ	رودکی هم نام زبان خودرا فارسی می‌دانست نه تاجیکی
Дар ҳоле ки бархе аз рӯшанфикрон-и мо бар инанд ки мебояд ашъори Рӯдакиро ба забонҳои гуногун тарҷума кард ва гуфт тарҷума аз забони тоҷикӣ	در حالی که برخی از روشنفکران ما بر اینند که می‌باید اشعار رودکی‌را به زبان‌های گوناگون ترجمه نمود و گفت ترجمه از زبان تاجیکی
Фирдавсӣ ҳам гуфтааст аҷам зинда кардам бад-ин порсӣ на тоҷикӣ	فردوسی هم گفته است عحم زنده کردم بدین پارسی نه تاجیکی
Масъалаи нозуктаре дар ин ҷо ҳуввияти миллии Рӯдакӣ аст	مساله نازکتر در این جا هویت ملی رودکی است
Рӯдакӣ эронӣ буд ва ин мавриди баҳс қарор нест	رودکی ایرانی بود و این مورد بحث نیست
Вале хуб мешуд агар Перес Т	ولی خوب می‌شد اگر پرس ت
В	و
дар матлаби худ зикр менамуд ки маънои вожаи тоҷик эронист	در مطلب خود ذکر می‌نمود که معنای واژه تاجیک ایرانیست
Дуруст мисли аҷам	درست مثل عجم
Ҳамон тавре ки арабҳо эрониёнро аҷам хонданд туркон эрониёнро тоҷик хонданд	همان طوری که عرب‌ها ایرانیان‌را عجم خواندند ترکان ایرانیان‌را تاجیک خواندند
Ман худамро эронӣ медонам чун воқеъан эронӣ ҳастам	من خودم‌را ایرانی می‌دانم چون وقعاً ایرانی هستنم
