гимнастика	ژیمناستیک
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
Aerolínea	آئرولینئا
Aerolínea	آئرولینئا
Aerolínea	آئرولینئا
Aerolínea	آئرولینئا
Аэр Аранн	ائر آران
Аэр Аранн	ائر آران
Шӯрои Аврупо	شورای اروپا
кишварҳои	اوپک
Созмони Милали Муттаҳид	سازمان ملل متحد
ҳамкории Осиё	همکاری‌ها آسیایی
Созмони амниятӣ ва ҳамкорӣ Аврупо	سازمان امنیت و همکاری اروپا
Созмони ҳамкории Шанхай	سازمان همکاری شانگهای
Идораи байнулмилалии ва миқёсҳо	اداره بین‌المللی و مقیاس‌ها
сармоягузорӣ	چندجانبه تضمین سرمایه‌گذاری
Гурӯҳи ҳаштгона	گروه هشت
муштаракулманофеъ	مستقل همسود
Геногеография	ژنوگرافیک
Адапазари	آداپازاری
Элхониён	ایلخانان
Абобил	ابابیل
Абобил	ابابیل
Богота	بوگوتا
Суррей	ساری
Сомервилл	سامرویل
Санкт-Ҳю	سنت هیو
Вустер-коллеҷ	ووستر،
Магдолен	مگدالن،
Пембрук	پمبروک،
Нуво	نووا
Толчва	تولچوا
Рацибуж	راسیبورز
Залтсбург	زالتسبورگ
Грас	گراتس
Ростови лаби Дон	روستوف-نا-دونو
Донишоҳи Эдинбург	دانشگاه ادینبرو
Лаимяла	لایمیالا
Вюртемберг	وورتمبرگ
Подшоҳии Саксония	پادشاهی ساکسونی
Подшоҳии Вюртемберг	پادشاهی وورتمبرگ
Самсун	سامسون
Малатия	ملطیه
Қуния	قونیه
Мардин	ماردین
Адана	آدانا
Диёрбакр	دیاربکر
Муғла	موغله
Мерсин	مرسین
Эскишаҳр	اسکی‌شهر
Бурсо	بورسا
Ван	وان
Шанлиурфа	شانلی‌اورفه
Анкара	آنکارا
Манисо	مانیسا
Қайсария	قیصریه
Эрзурум	ارزروم
Баликесир	بالیکسیر
Анталя	آنتالیا
Оқсарой	آق‌سرای
Измир	ازمیر
Истанбул	استانبول
Трабзон	طرابزون
Қаҳрамонмаръаш	قهرمان‌مرعش
Ғозиайнтоб	غازی عینتاب
Орду	اردو
Денизли	دنیزلی
Давлати Исмоилия	دولت اسماعیلیان
Сен-Жон-сюр-Ришелю	سن-ژان-سور-ریشولیو
Сен-Жон-сюр-Ришелю	سن-ژان-سور-ریشولیو
ал-Араб	العرب
Си‌уф‌бе ширутр	سی‌اف‌بی شیروتر
Лашкари Сафолин	لشکر سفالین
Фурудгоҳи нерӯе ҳаво салтанате тувин‌вӯд форм	فرودگاه نیروی هوایی سلطنتی تووین‌وود فارم
Фурудгоҳи нерӯе ҳаво салтанате дигби	فرودگاه نیروی هوایی سلطنتی دیگبی
Фурудгоҳи нерӯе ҳаво салтанате ҳнлу	فرودگاه نیروی هوایی سلطنتی هنلو
Чоровода	کرووده
Чоровода	کرووده
Ватчун	واتچونگ،
Принстон	پرینستون
овошиносии байналмилалӣ	آواشناسی بین‌المللی
овошиносии байналмилалӣ	آواشناسی بین‌المللی
Энглвуд	انگلوود،
Трентон	ترنتون
Тения	ثنیه
Миширия	مشریه
Хеншела	خنشله،
Ақбӯ	اقبو
Ақбӯ	اقبو
Манила	مانیل
Имперотурии Бизонс	امپراتوری روم
Хоразм	خوارزم
Афғонистон	افغانستان
Инкҳо	اینکا
Антил Ҳоланд	آنتیل هلند
Подшоҳии Ироқ	پادشاهی عراق
Куриё	کره
Сосониён	ساسانیان
Подшоҳии Ғано	پادشاهی غنا
Миср	مصر
Бузург	بزرگ
сеюм	آلمان
Олмони Ғарбӣ	آلمان غربی
Руминия	رومانی
Порт	پارت
Бирма	برمه
Чин	چین
Имперотурии Рум	امپراتوری روم
Русияи	روسیه
Давлати Сурия	دولت سوریه
Диръия	دولت
Имперотурии Рум	امپراتوری روم
дувуми Лаҳистон	دوم لهستان
Халқии Шӯравии Бухоро	خلق شوروی بخارا
Худмухтори Шӯравии Туркистон	خودمختار شوروی ترکستان
Русия	روسیه
Чағатой	چغتای
Чин	یانگ
Рим	روم
Нав	نو
Гуптҳо	گوپتا
Араб	عربی
Руси Киев	روس کیف
Ҳиндустон	هند
Веймар	وایمار
Финиқия	فنیقی‌ها
Ҷопон	ژاپن
фаронсавӣ бар Сурия ва Лубнон	فرانسه بر سوریه و لبنان
Хева	خیوه
Мана	منائیان
имперотурии Муғул	امپراتوری مغول
Имперотурии	گورکانیان
Бобилистон	بابل
Имперотурии Дурронӣ	امپراتوری درانی
Сарбадорон	سربداران
Истравшан	اسروشنه
Рошидин	راشدین
Усрӯшана	اسروشنه
Эрони Қоҷорӣ	ایران قاجاری
Кастилия	کاستیا
Подшоҳии Кабир	پادشاهی کبیر
Хилофати Қуртуба	خلافت قرطبه
Араб	عربی
Ғазнавиён	غزنویان
Рухаҷ	رخج
Чехословакия	چکسلواکی
Ҷумҳурии Генуя	جمهوری جنوا
Югославия	یوگسلاوی
Подшоҳии Пруссия	پادشاهی پروس
Шервон	شیروان
Қарахониён	قراخانیان
Сотсиалистии Чехословакия	سوسیالیستی چکسلواکی
Давлати Исломии Афғонистон	دولت اسلامی افغانستان
хоноти Қарабоғ	خانات قره‌باغ
Сафавиён	صفوی
Нахустин Ҷумҳурии Чехословак	نخستین جمهوری چکسلواکی
ҶДО	دمکراتیک
Роҷи Бритониё	راج انگلیس
Подшоҳии Ҳавайи	پادشاهی هاوایی
Митан	میتانی
Афғонистон	افغانستان
Наҷд	نجد
Бобил	بابل
Наҷд ва Ҳаса	نجد و حسا
Ҳахоманишӣ	هخامنشیان
Ҷумҳурии Федералии Югославия	جمهوری فدرال یوگسلاوی
Арабӣ	عربی
Имперотурии Утриш	امپراتوری اتریش
Халқи Лаҳистон	خلق لهستان
Корнуолл	کورن وال
Подшоҳии Ингилистон	پادشاهی انگلیس
Русияи Тсарӣ	روسیه تزاری
Қӯқанд	خوقند
Темурӣ	تیموریان
Пруссия	پروس
Покистон	پاکستان
Мухторияти Туркистон	مختاریات ترکستان
Салҷуқиён	سلجوقیان
Подшоҳии Булғористон	پادشاهی بلغارستان
Мисри Бостон	مصر باستان
Канъон	کنعان
Руми Бостон	روم باستان
Шоҳаншоҳии	پارت
Подшоҳии Лаҳистон	پادشاهی لهستان
Сурия	سوریه
Исломии Афғонистон	اسلامی افغانستان
Саффориён	صفاریان‎
Шоҳаншоҳии Кушонӣ	شاهنشاهی کوشانی
Флоренсия	فلورانس
юнонии Ҳинд	یونانی هند
Дуюми Испания	دوم اسپانیا
Урарту	اورارتو
Подшоҳии Ҳаннофер	پادشاهی هانوور
Бухоро	بخارا
Халқи Украина	خلق اوکراین
Подшоҳии Ҳиҷоз	پادشاهی حجاز
Подшоҳии Ҳиҷозу Наҷд	پادشاهی حجاز و نجد
Подшоҳии арабии Сурия	پادشاهی عربی سوریه
озоди Пруссия	آزاد پروس
Ироқи баъсӣ	عراق بعثی
Аккад	اکد
Давлати Интиқолии Афғонистон	دولت انتقالی افغانستان
Давлати Сомониён	دولت سامانی
Хоразмшоҳиён	خوارزمشاهیان
Эрони Паҳлавӣ	ایران پهلوی
Шӯрои Олии Тоҷикистон	شورای عالی شوروی سوسیالیستی تاجیکستان
Сан-Луис	سائو لوئیس،
Арара	آرارا
Манаус	مانائوس
Жуан-Песоа	ژوآو پسوآ،
Гояния	گویانیا
Порту-Велю	پورتو
Ресифи	ریسیف
Боа-Виста	بوآ ویستا،
Белен	بلم
Аракажу	آراکاخو
Макапа	ماکاپا
Риу-Бранку	ریو برانکو
Paraíso	پارایسو،
Форталеза	فورتالزا
Натал	ناتال
Порту-Алегре	پورتو الگره
Петрополис	پتروپولیس،
Масейо	ماسیو
Озаску	اوزاسکو
Флорианополис	فلوریانوپلیس
Белу-Оризонти	بلو هوریزونته
Куритиба	کوریتیبا
Терезина	ترسینا
Рио-де-Жанейро	ریو د ژانیرو
Витория	ویتوریا،
Кампу-Гранде	کامپوگرانده
Палмас	پالماس
Куяба	کویابا
Сан-Паулу	سائوپائولو
Донишгоҳи малик Саъуд	دانشگاه ملک سعود
Пойгоҳи ҳавоии Патуксент	پایگاه هوایی پاتوکسنت
Гранада	گرانادا
Манагуа	ماناگوآ
Кумитаи	کاگ‌ب
Дазаифу	دازایفو
бонки марказӣ	بانک مرکزی
Ҳунулулу	هونولولو، هاوایی
Барселона	بارسلون
Қунайтира	قنیطره
Эрони бостон	ایران باستان
Эрони бостон	ایران باستان
Эрони бостон	ایران باستان
Верхнетоемский	ورخنتویمسکی
Няндомск	نیاندومسکی
Котлаский	کوتلاسکی
Геркуланум	هرکولانیوم
таърихии Суғд	تاریخی سغد
Айёсуфия	ایاصوفیه
Афросиёб	افراسیاب
Ясная Поляна	یاسنایا پالیانا
Книдион бушплон оснтр	کنیدیان بوشپلان اسنتر
Донишгоҳи Деҳлӣ	دانشگاه دهلی
Донишгоҳи Кембриҷ	دانشگاه کمبریج
Донишгоҳи Дурҳам	دانشگاه دورهام
Донишгоҳи Оксфорд	دانشگاه آکسفورد
Алупка	آلوپکا
Алупка	آلوپکا
Алупка	آلوپکا
Алупка	آلوپکا
калисои католикӣ	کلیسای کاتولیک
калисои католикӣ	کلیسای کاتولیک
Бонки Интернетии Филмҳо	بانک اینترنتی فیلم‌ها
Рамат Ган	رمت گن
Тел-Авив	تل‌آویو
Донишгоҳи Монреал	دانشگاه مونترآل
Донишгоҳи Ғарбӣ Нантер-ля-Дефанс	دانشگاه غربی نانتر
Донишгоҳи Пуатйе	دانشگاه پوآتیه
Донишгоҳи	1دانشگاه
Сан-Салвадор	سان سالوادور
Ню-Мексико	نیومکزیکو
Иллинойс	ایلی‌نوی
Массачусетс	ماساچوست
Пенсилвания	پنسیلوانیا
Каролинаи Ҷанубӣ	کارولینای جنوبی
Ню-Йорк	نیویورک
Индиана	ایندیانا
Вашингтон	واشینگتن
Техас	تگزاس
Алабама	آلاباما
Миссури	میزوری
Мэн	مین
Ню-Ҷерси	نیوجرسی
Неброско	نبراسکا
Род-Айленд	رود آیلند
Айова	آیووا
Дакотаи Ҷанубӣ	داکوتای جنوبی
Оклахома	اکلاهما
Калифорния	کالیفرنیا
Аризона	آریزونا
Оҳайо	اوهایو
Висконсин	ویسکانسین
Орегон	اورگن
Монтана	مونتانا
Колорадо	کلرادو
Айдаҳо	آیداهو
Аляска	آلاسکا
Шимолӣ	شمالی
Ғарбӣ	غربی
Вайоминг	وایومینگ
Флорида	فلوریدا
Миннесота	مینه‌سوتا
Делавэр	دلاویر
Вирҷиния	ویرجینیا
Луизиана	لوئیزیانا
Невада	نوادا
Кентукки	کنتاکی
Мичиган	میشیگان
Вермонт	ورمونت
Мэриленд	مریلند
Канзас	کانزاس
Теннессӣ	تنسی
Ню-Ҳэмпшир	نیوهمپشایر
Юта	یوتا
Ҳавайӣ	هاوائی
Шимолӣ	شمالی
Шӯрои Кветта	شورای کویته
миллии ҳавонавардии	حمل نقل هوایی فرانسه
Калисои Епископал	کلیسای اسقفی
иқтисодии Евразия	اقتصادی اوراسیا
иқтисодии АвруОсиё	اقتصادی اوراسیا
Имороти Арабӣ	امارات عربی
Сиерра Леоне	سیرالئون
Таиланд	تایلند
Венесуэла	ونزوئلا
Алҷазоир	الجزایر
Гвинея Бисау	گینه بیسائو
Тунис	تونس
Африқои Ҷанубӣ	آفریقای جنوبی
Ҳиндустон	هند
Гвинея	گینه
Гайана	گویان
Покистон	پاکستان
дудмони Минг	دودمان مینگ
Яман	یمن
Ҳондурас	هندوراس
Экуадор	اکوادور
Нигерия	نیجریه
Монтенегро	مونته‌نگرو
Ветнам	ویتنام
Лубнон	لبنان
Гамбия	گامبیا
Кения	کنیا
Гуатемала	گواتمالا
Ироқ	عراق
Сенегал	سنگال
Русия	روسیه
Того	توگو
Перу	پرو
Мозамбик	موزامبیک
Сумолӣ	سومالی
Камерун	کامرون
Ҷибути	جیبوتی
Либерия	لیبریا
Руминия	رومانی
Мавритания	موریتانی
Габон	گابن
Панама	پاناما
Банглодеш	بنگلادش
Уругуай	اروگوئه
Никарагуа	نیکاراگوئه
Бенин	بنین
Либия	لیبی
Салвадор	السالوادور
Мянма	میانمار
Кот-д'Ивуар	ساحل
Арабистони Саудӣ	عربستان سعودی
Гвинеяи Истивоӣ	گینه استوایی
Иордания	اردن
Танзания	تانزانیا
Кувайт	کویت
Босния ва Ҳерсеговина	بوسنی و هرزگوین
Сурия	سوریه
Миср	مصر
Эритрея	اریتره
Малайзия	مالزی
Намибия	نامیبیا
Ғано	غنا
Марокаш	مراکش
Эрон	ایران
Конго	کنگو
Ил-де-Франс	ایل-دو-فرانس
Гранд-Эст	گرانت است
Монторо-Инфероре	مونتورو اینفریوره
Рум	رم
Монторо-Супериоре	مونتورو سوپریوره
Жогорку Кенеш	شورای قرقیزستان
Жогорку Кенеш	شورای قرقیزستان
Тоҷикфилм	تاجیک فیلم
Тоҷикфилм	تاجیک فیلم
Суғдсинамо	سغدسینما
Тоҷикистон	تاجیکستان
Артиши Нигерия	ارتش نیجریه
Ӯрдуи Афғонистон	اردوی افغانستان
Артиши Сурх	ارتش سرخ
Артиши Бритониё	ارتش بریتانیا
Сосониён	ساسانیان
Артиши Русияи	ارتش روسیه
Ҳизби сабзи	حزب سبز
Дӯкони	مایکروسافت
Донишгоҳи Лондон	دانشگاه لندن
Донишгоҳи Ноттингҳам	دانشگاه ناتینگهام
Донишгоҳи Бат	دانشگاه باث
Донишгоҳи Луфборо	دانشگاه لافبورو
Донишгоҳи Ланкастер	دانشگاه لنکستر
Донишгоҳи Ковентрий	دانشگاه کاونتری
Донишгоҳи Чичестер	دانشگاه چیچستر
Донишгоҳи Кранфиелд	دانشگاه کرانفیلد
Донишгоҳи Честер	دانشگاه چستر
Донишгоҳи Плимот	دانشگاه پلیموث
Донишгоҳи Бритон	دانشگاه برایتون
Донишгоҳи Болтон	دانشگاه بولتون
Донишгоҳи Воустер	دانشگاه ووستر
Донишгоҳи Сундерланд	دانشگاه ساندرلند
Донишгоҳи Гринвич	دانشگاه گرینویچ
Донишгоҳи Нукастел	دانشگاه نیوکاسل
Машриқзамин ва Африқои	مشرق‌زمین و آفریقا
Донишгоҳи Портсмот	دانشگاه پورتسموث
Донишгоҳи Маркази Англия	دانشگاه بیرمنگام
Донишгоҳи Ексетер	دانشگاه اکستر
Донишгоҳи Реддинг	دانشگاه ریدینگ
Донишгоҳи Астон	دانشگاه آستون
Донишгоҳи Шарқи Англия	دانشگاه شرق انگلستان
Донишгоҳи Ҳул	دانشگاه هال
Донишгоҳи Нортҳамптон	دانشگاه نورث همپتون
Донишгоҳи Салфорд	دانشگاه سالفورد
Минтақаи Боҳемиаи Ҷанубӣ	منطقه بوهمی جنوبی
Академияи Афлотун	آکادمی افلاطون
Стайвесант	استایوسنت
Сафорати дар Пекин	سفارت در پکن
Донишгоҳи исломии Мадина	دانشگاه اسلامی مدینه
Донишгоҳи Феррара	دانشگاه فرارا
Донишгоҳи Теҳрон	دانشگاه تهران
Донишгоҳи Ҳалаб	دانشگاه حلب
Донишгоҳи Уммулқуро	دانشگاه ام‌القری
Донишгоҳи Туркманистон	دانشگاه ترکمنستان
Донишгоҳи фаннию Будапешт	دانشگاه فنی بوداپست
Донишгоҳи Бҳоротӣ	دانشگاه بهاراتی
Донишгоҳи Кобул	دانشگاه کابل
Донишгоҳи Кобул	دانشگاه کابل
Донишгоҳи Лейден	دانشگاه لیدن
Донишгоҳи Чжэнчжоу	دانشگاه ژنگژو
Донишгоҳи Қоҳира	دانشگاه قاهره
Донишгоҳи Афина	دانشگاه آتن
Донишгоҳи Тоҷикистон	دانشگاه تاجیکستان
Донишгоҳи Тоҷикистон-Русия	دانشگاه تاجیکستان و روسیه
Донишгоҳи давлатии Самарқанд	دانشگاه دولتی سمرقند
Донишкадаи ҳарбии Вазорати мудофиаи Тоҷикистон	دانشکده حربی وزارت مدافعه تاجیکستان
Донишгоҳи Бруслов	دانشگاه برسلاو
Донишгоҳи Уппсала	دانشگاه اوپسالا
Киев	کیف
Донишгоҳи Баъс	دانشگاه بعث
Донишгоҳи Вена	دانشگاه وین
Донишгоҳи Стокҳолм	دانشگاه استکهلم
Донишгоҳи Марказӣ	دانشگاه مرکزی
Донишгоҳи Зайтуна	دانشگاه الزیتونه
Донишгоҳи омӯзгории Тоҷикистон	دانشگاه آموزگاری تاجیکستان
Донишгоҳи давлатии Тоҷикистон	دانشگاه دولتی تاجیکستان
Донишгоҳи давлатии Хоруғ	دانشگاه دولتی خاروغ
Донишгоҳи Тоҷикистон	دانشگاه تاجیکستان
Донишгоҳи Ал-Азҳар	دانشگاه الازهر
Донишгоҳи Ботсвана	دانشگاه بوتسوانا
Донишгоҳи Ӯзбекистон	دانشگاه ازبکستان
Донишгоҳи Бухарест	دانشگاه بخارست
Донишгоҳи Амрикоии Осиёи Миёна	دانشگاه آمریکایی آسیای مرکزی
Донишгоҳи Алҷазоир	دانشگاه الجزیره
Донишгоҳи Тирана	دانشگاه تیرانا
Донишгоҳи Ягеллон	دانشگاه یاگیلونیا
Донишгоҳи Турин	دانشگاه تورین
Донишгоҳи Давлатии Ҳуқуқ, ва Сиёсати Тоҷикистон	دانشگاه دولتی حقوق، و سیاست تاجیکستان
Донишгоҳи давлатии Тоҷикистон	دانشگاه دولتی تاجیکستان
Донишгоҳи Тоҷикистон	دانشگاه تاجیکستان
Донишгоҳи Хоразмӣ	دانشگاه خوارزمی
Донишгоҳи Падуа	دانشگاه پادووا
Донишгоҳи Арманистон	دانشگاه ارمنستان
Донишгоҳи Бухарест	دانشگاه بخارست
Каролина	کارولینسکا
Донишгоҳи Манчестер	دانشگاه منچستر
Донишгоҳи Вилнюс	دانشگاه ویلنیوس
Донишгоҳи Ҳовоно	دانشگاه هاوانا
Академияи ФСБ	آکادمی اف‌اس‌بی
Донишгоҳи Бангӣ	دانشگاه بانگویی
Донишгоҳи Бангӣ	دانشگاه بانگویی
Порс	پیش از اسلام
Бастилия	باستیل
Бронкс	برانکس
Манҳэттен	منهتن
Куинс	کویینز
Сиди Бу Саид	سیدی بوسعید
Қромболия	قرمبالیه
Тунис	تونس
Аретсо	آرتزو
Пиза	پیزا
Венетсия	ونیز
Милан	میلان
Флоренсия	فلورانس
Африқо	آفریقا
Академияи илмҳои Тоҷикистон	آکادمی علم‌های تاجیکستان
Ғассониён	غسانیان
Калисои ортодоксии шарқӣ	کلیسای ارتدکس شرقی
Пойгоҳи Нерӯи Ҳавоии Шеппард	پایگاه نیروی هوایی شپپرد
Пойгоҳи нерӯе ҳаво ҳолумн	پایگاه نیروی هوایی هالومن
Пойгоҳи ҳавоӣ дсимумону	پایگاه هوایی دسیمومانو
Пойгоҳи ҳавоии Пенсакола	پایگاه هوایی پنسکوولا
Штутгарт	اشتوتگارت
Дуйсбург	دویسبورگ
Путсдом	پوتسدام
Итерзен	یوترسن
Кил	کیل
Веймар	وایمار
Кемберг	کمبرگ
Камен	کامن
Бершинг	برشینگ
Нюрнберг	نورنبرگ
Дортмунд	دورتموند
Дрезден	درسدن
Бутруп	بتتروپ
Лейпзиг	لایپزیگ
Брауншвейг	براونشوایگ
Ҳерсогенаурах	هرتسوگن‌آوراخ
Ҳюрт	هورت
Кёлн	کلن
Бод-Вилдунген	باد ویلدونگن
Дабиристони Албурз	دبیرستان البرز
Донишгоҳи Пётри Кабири Санкт-Петербург	دانشگاه پتر کبیر سن پترزبورگ
англисӣ	انگلیسی
англисӣ	انگلیسی
Гурӯҳи Билдерберг	گروه بیلدربرگ
Бунёди Масъуд	بنیاد مسعود
Мадрид	مادرید
Озмуни Байналхалқии	المپیاد جهانی ریاضی
иқтисодии Аврупо	اقتصادی اروپا
Фурудгоҳи лондан бигин ҳил	فرودگاه لندن بیگین هیل
Бунёди Нобел	بنیاد نوبل
Академия	فرهنگستان
Академия	فرهنگستان
Академия	فرهنگستان
ояндаи башарият	آینده بشریت
ояндаи башарият	آینده بشریت
ояндаи башарият	آینده بشریت
Аҳмадия	احمدیه
Созмони Марказӣ	سازمان مرکزی
Барномаи шӯравӣ	برنامه شوروی
Арбат	آربات
Измайлово	ایزمایلوا
Калисои ортодоксии Искандария	کلیسای ارتدکس اسکندریه
Калисои ортодоксии Антокия	کلیسای ارتدکس انطاکیه
хонавода	خانواده
Бишоп	بیشاپ
ҳифзи федералии	حفاظت فدرال
Донишгоҳи Қазон	دانشگاه غازان
Донишгоҳи федероли Урал	دانشگاه فدرال اورال
Нерӯи дарёии Шӯравӣ	نیروی دریایی شوروی
Донишгоҳи Мелбурн	دانشگاه ملبورن
Донишгоҳи Глосгу	دانشگاه گلاسگو
Донишгоҳи Стелленбос	دانشگاه استلنبوش
Донишгоҳи Загреб	دانشگاه زاگرب
Донишгоҳи Фрӣ-Стейт	دانشگاه ایالت
Донишгоҳи Булунё	دانشگاه بولونیا
Донишгоҳи Санкт-Петербург	دانشگاه سن پترزبورگ
Донишгоҳи Лиссабон	دانشگاه لیسبون
Донишгоҳи Кейптаун	دانشگاه کیپ‌تاون
Донишгоҳи Осло	دانشگاه اسلو
Донишгоҳи Осло	دانشگاه اسلو
Líneas Aéreas	لینئاس آئرئاس
Líneas Aéreas	لینئاس آئرئاس
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Оренбургские	اورن‌ایر
Волга-Днепр	ولگا-نپر
Волга-Днепр	ولگا-نپر
Волга-Днепр	ولگا-نپر
Волга-Днепр	ولگا-نپر
Волга-Днепр	ولگا-نپر
Сан-Дор	سان دور
Сан-Дор	سان دور
Сан-Дор	سان دور
Сан-Дор	سان دور
Сан-Дор	سان دور
Сан-Дор	سان دور
Сан-Дор	سان دور
Сан-Дор	سان دور
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Açores	آسوریس
Башкирские	باشکیریان
Башкирские	باشکیریان
Башкирские	باشکیریان
Башкирские	باشکیریان
Башкирские	باشکیریان
Башкирские	باشکیریان
Башкирские	باشکیریان
Башкирские	باشکیریان
Abaeté Aéreas	آبائته آئریاس
Abaeté Aéreas	آبائته آئریاس
Abaeté Aéreas	آبائته آئریاس
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Аркаим	آرکائیم
Aérea	آئرئا
Aérea	آئرئا
Aérea	آئرئا
Aérea	آئرئا
Aérea	آئرئا
Aérea	آئرئا
Aérea	آئرئا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Грозний Авиа	گروزنی اویا
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Líneas Aéreas	لینئاس آئراس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Илич-Авиа	ایلیچ-اویا
Илич-Авиа	ایلیچ-اویا
Илич-Авиа	ایلیچ-اویا
Илич-Авиа	ایلیچ-اویا
Илич-Авиа	ایلیچ-اویا
Газпром	گازپروماویا
Газпром	گازپروماویا
Газпром	گازپروماویا
Газпром	گازپروماویا
Газпром	گازپروماویا
Líneas Aéreas	لینئاس آئرئاس
—	–
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Казанское авиапредприятие	قازان انترپرایز
Казанское авиапредприятие	قازان انترپرایز
Казанское авиапредприятие	قازان انترپرایز
Européenne	یوروپین
Européenne	یوروپین
Européenne	یوروپین
Européenne	یوروپین
Européenne	یوروپین
Européenne	یوروپین
СИБИА	سیبیا
СИБИА	سیبیا
Аврора	آورورا
Аврора	آورورا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Победа	پابیدا
Vallée	والی
Vallée	والی
Vallée	والی
Vallée	والی
Vallée	والی
Vallée	والی
Vallée	والی
Vallée	والی
Vallée	والی
РусЛайн	روس‌لاین
РусЛайн	روس‌لاین
РусЛайн	روس‌لاین
РусЛайн	روس‌لاین
РусЛайн	روس‌لاین
РусЛайн	روس‌لاین
«Украина»	اوکراین
Якутия	یاکوتیا
ВИМ-Авиа	ویم
ВИМ-Авиа	ویم
ВИМ-Авиа	ویم
ВИМ-Авиа	ویم
ВИМ-Авиа	ویم
ВИМ-Авиа	ویم
ВИМ-Авиа	ویم
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Алроса	آلروسا
Каталина	کاتالینا
КрасАвиа	کراس‌اویا
КрасАвиа	کراس‌اویا
Фурудгоҳи так‌бондҳ окт	فرودگاه تک‌بانده اکت
Фурудгоҳи так‌бондҳ окт	فرودگاه تک‌بانده اکت
Фурудгоҳи так‌бондҳ окт	فرودگاه تک‌بانده اکت
Фурудгоҳи так‌бондҳ окт	فرودگاه تک‌بانده اکت
