Сити-оф-Кентерберӣ	سیتی کنتربری
Бахши Ҳайдаробод	بخش حیدرآباد
бахши Банну	بخش بنو
Бахши Мирпур	بخش میرپور
Бахши Музаффаробод	بخش مظفرآباد
Бахши Ҳазора	بخش هزاره
Бахши Куҳот	بخش کوهات
Бахши Дар Ғозихон	بخش دیر غازی خان
Бахши Макрон	بخش مکران
Бахши Файзулобод	بخش فیصل‌آباد
Бахши Насиробод	بخش نصیرآباد
Бахши Мултон	بخش مولتان
Бахши Карочӣ	بخش کراچی
Бахши Баҳоулпур	بخش بهاولپور
Бахши Соргудҳо	بخش سارگودها
Бахши Банбур	بخش بنبور
Бахши шаҳид Биназиробод	بخش شهید بی‌نظیرآباد
Бахши Мардон	بخش مردان
Бахши Дар Исмоилхон	بخش دیر اسماعیل خان
Бахши Чунч	بخش پونچ
Бахши Милоканд	بخش ملاکند
Бахши Куъта	بخش کوئته
Бахши Соҳивол	بخش ساهیوال
Бахши Лоркона	بخش لارکانه
Бахши Калот	بخش کلات
Бахши Жуб	بخش ژوب
Ал-Бутнон	بطنان
Ал-Ҷифора	الجفاره
Нуқат ал Хамс	نقاط الخمس
Аз-Зовия	زاویه
Марҷ	مرج
Дарнаҳ	درنه
Налут	نالوت
Мурзуқ	مرزق
Ғат	غات
Мургуб	مرقب
Мисратаҳ	مصراته
Қубаҳ	قبه
Ҷуфра	جفره
Вади ал Шатӣ	وادی‌الشاطئ
Ал Ҷабал ал Аxдар	الجبل الاخضر
Вади ал	وادی الحیاة
Тарҳуна ва Мсалата	ترهونه و مسلاته
Бунёдкор	بنیادکار
Варзишгоҳи марказии	ورزشگاه پامیر
Чанкири	چانقری
Kирикале	قیریق‌قلعه
Мерсин	مرسین
Сивас	سیواس
Ботмон	باتمان
Карс	قارص
Невшехир	نوشهر
Караман	قرامان
Истанбул	استانبول
Арзанҷон	ارزنجان
Трабзон	ترابزون
Ширнак	شرناق
Одрин	ادرنه
Артвин	آرتوین
Кайсери	قیصریه
Аксарай	آق‌سرای
Денизли	دنیزلی
Коҷаели	قوجاایلی
Ушак	عشاق
Самсун	سامسون
Чорум	چوروم
Одоно	آدانا
Анкара	آنکارا
Иғдир	ایغدیر
Сакария	سقاریه
Ардахан	اردهان
Малатия	ملطیه
Сиирт	استان
Киркларели	قرقلرایلی
Ағри	آغری
Ескишехир	اسکی‌شهر
Бойбурт	بایبورت
Муғла	موغله
Ниғде	نیغده
Текирдағ	تکیرداغ
Испарта	اسپارتا
Токат	توقات
Орду	اردو
Тунчели	تونج‌ایلی
Гюмюшане	گوموش‌خانه
Синоп	سینوپ
Кастамону	قسطمونی
Ризе	ریزه
Дюзче	دوزجه
Афион	افیون
Йузғот	یوزگات
Муш	موش
Бартин	بارتین
устони Мордин	استان ماردین
Бурдур	بوردور
Бурса	بورسا
Кутаҳя	کوتاهیه
Зонгулдак	زونگولداغ
Қаҳрамонмаръаш	قهرمان مرعش
Одиёмон	آدیامان
Шанлиурфа	شانلی‌اورفه
Карабюк	قره‌بوک
Амасия	آماسیه
Хатой	ختای
Элозиғ	الازیغ
Чанаккале	چاناق‌قلعه
Ван	وان
Ялова	یالوا
Битлис	بتلیس
Килис	کیلیس
Kиршехир	قرشهر
Билечик	بیله‌جک
Маниса	مانیسا
Ерзурум	ارزروم
Вилояти Кония	استان
Бингьол	بینگول
Анталия	آنتالیا
Айдин	آیدین
Болу	بولی
Баликесир	بالیکسیر
Усмония	عثمانیه
Ғозиайнтоб	غازی‌عینتاب
Герисун	گره‌سون
Боспияк	بوسپیک
Мосур	ماسور
Мубюж	موبوژ
Монсоро	مونسورو
Рубе	روبه
Салон-де-Прованс	سلون دو پروانس
Версал	ورسای
Сен-Жирон	سن-ژیرون،
Валонс	ولانس،
Севр	سور
Торб	تارب
Мо	مو،
Нёйӣ-сур-Сен	نوی-سور-سن
Сен-Клу	سن کلو
Шинун	شینون
Амбӯз	امبوز
Кламар	کلمر
По	پو
Смилҷон	سمیلجان
Мату Гросу	ماتو گروسو
Пиауи	پیاوی
Параиба	پارائیبا
Риу Гранди ду Норти	ریوگرانده دو نورتی
Жанейро	ژانیرو
Рондония	روندونیا
Гояс	گوییاس
Токантинс	توکانتینس
Рорайма	رورایما
Минас Жерайс	میناس گرایس
Сан Паулу	سائوپائولو
Сеара	سئارا
Пернамбуку	پرنامبوکو
Парана	پارانا
Амапа	آماپا
Амазонас	آمازوناس
Пара	پارا
Мату Гросу ду	ماتوگروسو جنوبی
Баия	باهیا
Санта Катарина	سانتا کاتارینا
Эспириту Санту	اسپیریتو سانتو
Сержипи	سرژیپه
Акри	اکری
Ғарм	غرم
Алапаевск	آلاپیوسک
Шамкир	شمکیر
Унҷӣ	اونجی
Славгород	اسلاوگورود
Сайрам	اسپیجاب
Қӯрғонтеппа	قرغان‌تپه،
Хонобод	خان‌آباد،
Оҳангарон	آهنگران،
Котлас	کوتلاس
Қаро-Болта	قارابالتا،
Ҷаҳонобод,	جهان‌آباد
Қиннасрин	قنسرین
Пулғон	پولگان
Елизово	یلیزوفو
Чуст, Узбакистон	چوست، ازبکستان
Валакиш	ولاکیش
Равот	روات
Талас	تراز،
Далимамадлӣ‎	دلی‌ممدلی
Ҷансугуров	ژانسوگیروف
Пойгоҳи ҳавоӣ милтовн молидн‌бе	پایگاه هوایی میلتاون مال‌بی
Бешкент	باش‌کند
қоимганҷ	قائم‌گنج
Лангар	لنجر
Молалӣ	ملالی
Дошкасан	داش‌کسن
Леваканд	سربند
Лиман	لیمان
Нюхча	نیوخچا
Шеговари	شگوواری
Навобод	نوآباد
Алтон Ҷалоб	التان جلاب
Восточний	ووستوچنیی،
Обикиик	آبیکیک
Разансой	رزن-سای
Архарлӣ	آرقارلی
Ядриха	یادریخا
Лолазор	لاله‌زار
Саёд	صیاد
Мурғоб	مرغاب
Қопал	قاپال
Теректӣ	ترکتی
Афшона	افشانه
Ошибулоқ	آشچی‌بلاغ
Чеда	چیودا
Корвон	کاروان
Сасхори	ساسخوری
Бободархон	بوبویدورخون
Ангот	انگات،
Дашти Барчӣ	دشت برچی
Деҳмалик	ده‌ملک
Чуккат	چوک‌کت
Акичкин Починок	آکیچکین پوچینوک
Гувиндпуро	گویندپورا،
Қаротуриқ	قره‌توریق
Чорбоғ	چهارباغ
Меҳробод	گم‌بلاغ
Лучоб	لوچاب
Тоҷикобод	تاجیک‌آباد
Гули Сурх	گل سرخ
Боло	بالا
Навгилем	نوگلیم
Аскалон	اسکلان
Кашкандив	کشکندیو
Зайнабобод	زینب‌آباد
Турдиев	توردیف
Гозхон	گزخان
Колхозчиён	کالخازچیان
Косатарош	کاسه‌تراش
Муқур	موکور
Рӯдакӣ	رودکی
Муҷиҳарф	موج حرف
Қизилбайт	قزل-بییت
Шарора	شراره
Сангтуда	سنگ‌توده
Кармана	کرمنه
Айтей	آیتئی
Самат	صمد
Занюхча	زانیوخچا
Қулду	کولدو
Ғӯйтан	غویتان
Кононовская	کونونوفسکایا
Малая Кондратовская	مالایا کوندراتوفسکایا
Навободу	نوآباد،
Пиринем	پیرینم
Зубаревская	زوبارفسکایا
Воскресеновка	ووسکرسنوفکا
Булоқ-Бошӣ	بلاغ‌باشی
Митан	میتن
Тегирмонсой	تگیرمان-سای
Бабаево	بابایفو
Обоян	اوبویان
Пушинг	پوشنگ
Қанд	قانت،
Прилуки	پریلوکی
Ҷубайл	جبیل
Белмопан	بلموپان
Порсиён	پارسیان
Қароча	قراچه
Қарабулоқ	قره‌بلاغ
Қизил-Ота	قزل-آتا
Биласувар	بیله‌سوار
Ҳайдаркон	خایدارقان،
Олот	آلات
Оқ-Сув	اک-سو،
Ҷарканд	ژارکند
Солтейр	سالتایر
Қизил-Кия	قیزیلقیا،
Қаскелен	کاسکلن
Истиқлол	تباشر
Басшӣ	باسشی
Ҳайдаробод	حیدرآباد
Носовская	نوسوفسکایا
Айнӣ	عینی
Ҷанд	جند
Бескӯл	بس‌کول
Пунук	پونوک
Бесқайнар	بسقاینار
Ойнабулоқ	آینه‌بلاغ
Боралдай	بورالدای
Арасан	آراسان
Туғанбой	توغان‌بای
Верхняя Золотитса	ورخنیایا زولوتیتسا
Арғандакон	ارغندکان
Деҳқонобод	دهقان‌آباد
Фурудгоҳи фоголи	فرودگاه فاگالی
Даҳана	دخانا
Дугургунт	دگرگونت
Муғсу	مغ‌سو
Долона	دولونا
Чилҳуҷра	جارکوتان
Сомон	خانقاه
Дижик	دیژیک
Ғиждарва	گیزداروا
Фатмев	فاتومف
Афғонистон	هزارستان
Меҳробод	کمیش‌قرغان
деҳоти	کوکتاش
Қалъаи Сурх	قلعه سرخ
Оққӯрғон	آق‌کورگان
Шогадоев	شاه‌گدایف
Хушекат	خوشیکات
Меҳнатобод	محنت‌آباد
Қаратоғ	قره‌تاق
Патар	پتر
Ошоба	آشابه
Қалаибаланд	قلعه بلند
Бунҷикат	ینگی‌قرغان
Исфисор	اسفسار
Тоғуз-Булоқ	توقوزبلاغ
Боймундуз	بایموندوز
Чимген	چیمگن
Самат	سمات
Кӯйтош	قوی-داش
Ҷиргатол	جرگه-تال
Искодар	ایسکودار
Қӯрғон-Тош	قرغان-تاش
Виставка	ویستاوکا
Ушаково	اوشاکوو
Афлотун	اولتیم
Ручи	روچی
Кӯрп	کورپ
Медведки	مدودکی
Поздишевская	پودزیشفسکایا
Гулобод	گل‌آباد،
Петропавловка	پتروپاولوفکا
Лозовое	لوزوویه
Актай	آکتای
Белоусовка	بلوسوفکا
Ближний Сахалин	بلیژنی ساخالین
Чесноково	چسنوکوو
Корели	کورلی
Бежетск	بژتسک
Ахтубинск	آختوبینسک
Гречи	گرچی،
Паркент, Узбакистон	پارکنت، ازبکستان
Енисейск	ینیسیسک
Задонск	زادونسک
Балгиром	بلگرام
Слюдянка	اسلیودیانکا
Харовск	خاروفسک
Тимашёвск	تیماشیوفسک
Хурдалон	خیردالان
Мартинсӣ	مارتینتسی
Чордара	چهاردره
Булунғур	بلنغور
Сарқанд	سرکند
Чонҷӣ	شونژی
Хистеварз	قسته‌قوز
Чоркӯҳ	چارکوه
Янгиюл	ینی‌یول،
Тескей	تسکی
Анбор	انبار
Бойтарак	بای‌ترک
Фурудгоҳи пос	فرودگاه پاس
Ширяиха	شیریایخا
Губадаг	گوباداغ
Ҷетисой	ژتیسای
Килтса	کیلتسا
Ёвон	یاوان
Вознесене	ووزنسنیه
Погост	پوگوست
Синӣ	سینی
Амондара	امان‌دره
Одиночка	اودینوچکا
Аҷинатеппа	اجینه‌تپه
Оқсенгир	آق‌سنگیر
Лаккон	لکان
Азат	آزاد
Данғара	دنغره
Новопетровка	نووپتروفکا
Навбаҳор	اوزی‌کند
Саймасой	سایماسای
Виемково	ویمکوو
Оқчӣ	اکشای
Бирлик	بیرلیک
Пустош	پوستوش
Оқ-Булоқ	اک-بولاک،
Погост	پوگوست
Баҳор	بهار
Анҷуман	انجمن،
Деҳмой	ده‌مای
Чоре	چور
Чорқишлоқ	چار
Дар-Дар	دردر
Исмоил	اسماعیل
Хуштоири	خاجه توهیر
Гозирон	گازران
Исмоили Сомонӣ	اسماعیل سامانی
Ҳурмӣ	خرمی
Ориён	جربلاغ
Ҷавкандак	جوکندک
Деҳкалон	دهکالون
Сурхоб	سرخاب
Вазит	وزیت
Қизилту	قزل-تو
Чубек	چوبک
Деҳоти	فیض‌آباد
Корез	کاریز
Қирққудуқ	قرقودوک
Панҷи	پایین
Ровут	رویت
Тагоба	تگابه
Алға	الگه
Қатаған	کتگن
Правда	پراودا
Самсолик	سم‌سالیک
Соланг, Афғонистон	سالنگ شمالی
Понғоз	پانگز
Сомониён	ازبک‌قشلاق
Қизилӣ	کیزیلی
Ертула	یرتولا
Суғдиён	تکلی
Ит-Агар	ایت-آگار
Ӯруқта	اروکتو
Торқамиш	تور-قامیش
Қарабоғ	قره‌باغ
Чолдибар	چلدی‌بر
Ромни	رومنی
Кафр Таҳла	کفر طحله
Николск	نیکولسک
Тагана	تگنه
Қаротеппа	قره‌تپه
Иторчи	ایتورچی
Луда	لودا
Қашқасув	قشقا-سو
Кулогора	کولوگورا
Городетск	گورودتسک
Мартаково	مارتاکوو
Малая Нисогора	مالایا نیسوگورا
Вознесеновка	ووزنسنوفکا
Лодигино	لودیگینو
Романкауси	رومانکائوتسی
Сергее-Федоровка	سرگیه-فیودوروفکا
Тахтиалиф	تختیالیف
Зеленокумск	زلنوکومسک
Заводоуковск	زاوودوکوفسک
Дрезна	درزنا
Артёмовск	آرتیوموفسک
Новохопёрск	نووخوپیورسک
Обгаҷ	آب گاج
Тосно	توسنو
Қарокӯл	قاراقول،
Контрада	کونترادا
Сардор	سردار
Тоқтуғул	توقتوغول،
Қаракӯл	قوراقوی
Чорикор	چاریکار
Дятково	دیاتکوفو
Ваҳдат	جرگه‌تال
Китоб, Узбакистон	کیتاب، ازبکستان
Ҷомбой	جام‌بای
Арсланбоб	ارسلان‌باب
Теҷен	تجن
Қалтак	کالتاک
Достиқ	دوستیک
Болдумсоз	بولدوم‌ساز
Дориён	داریان
Ишмурғ	اشمرغ
Бозор-Қӯрғон	بازار-قورغون
Пум	پوم
Қизил-Ункур	قزل-اونکور
Чек	چک
Ӯрозбеков	اروزبکوف
Андреев Починок	آندریف پوچینوک
Зар-Тош	زر-تاش
Лопшенга	لوپشنگا
Валдокуре	والدوکوریه
Чилдара	چهل‌دره
Балҷувон	بلجوان
Рӯшон	روشان
Шинданд	شیندند
Зайсево	زایتسوو
Алға	الگا،
Баскинто	بسكنتا
Ондувҷ	آندوج
Ават	آوات
Федотовская	فدوتوفسکایا
Булоқтӣ	بلاغ‌تی
Оқсу	اکسو،
Айдарлӣ	آیدارلی
Летняя Золотитса	لتنیایا زولوتیتسا
Пономаревская	پونوماریوفسکایا
Аловмайн	الوماین
Ефимово	یفیموو
Кеврола	کورولا
Ҷойдашт	جایدشت
Ҷорф	جارف
Сабристон	فرونزه
Селбур	سلبور
Қазноқ	قزناک
Муҷун	مجم
Вашгирд	ویشگرد
Қароқазон	کاراکون
Султонобод	سلطان‌آباد
Ясман	یسمن
Мирзо Ризо	میرزارضا
Хонобод	خان‌آباد
Падипаст	پادیپست
Зеробод	زاراوات
Коммунизм	کمونیزم
Петиф	پیتیپ
Росровут	راسراووت
Сокан	سوکان
Навдӣ	نوده
Лоҳур	لاهور
Тагоб	تگاب،
Ҳаёти	ینگی‌حیات
Навобод	نوآباد
Вогат	بغات
Чек	چک
Афғон-Тало	افغان-تاله
Қойирма	قئیرمه
Скорюково	سکوریوکوو
Норин	نارین
Дорогорское	دوروگورسکویه
Кӯктонду	کوک‌توندو
Оқ-Қӯрғон	آق‌قرغان
Ваҳдат	میدنشار
Борисоглебка	بوریسوگلبکا
Қӯшработ	کاش‌رباط
Ҷиликӯл	جیلیکل
Нифантовская	نیفانتوفسکایا
Морозовка	موروزوفکا
Петровская	پتروفسکایا
Ключики	کلیوچیکی
Куя	کویا
Преображеновка	پرئوبراژنوفکا
Черновка	چرنوفکا
Фроловка	فرولوفکا
Ясная Поляна	یاسنایا پولیانا
Чарсин	چرخین
Туюқҷар	تویوک-یار
Амурск	آمورسک
Заволжск	زاوولژسک
Зарайск	زارایسک
Газлӣ	گازلی
Южа	یوژا
Балхаш	بالقاش،
Қӯқанд	خوقند
Била Тсерква	بیلا تسرکفا
Оқтош	آقتاش،
Ҳайлигендамм	هایلیگندام
Файзобод	فیض‌آباد
Апрелевка	آپرلفکا
Жердевка	ژردفکا
Адигейск	آدیگیسک
Шофирком	شافیرکان
Бешкент	بشقند
Оқтос	اکتاس
Қайинди	قایینگدی،
Турсунзода	تورسون‌زاده
Алейск	آلیسک
Сариағаш	ساری‌آغاج
Қува	قووا،
Дӯстӣ	دوستی
Ромитан	رامیتان
Алзамай	آلزامای
Зархок	زرخاک
Оқтурпоқ	اک-تارپاک
Олтой	آلتای
Қаражиғоч	قره‌آغاج
Мурғоб	مرغاب
Чаувай	چاووای
Окуловская	اوکولوفسکایا
Тарасиха	تاراسیخا
Шаартуз	شهر توس
Ватамановская	واتامانوفسکایا
Қӯрғон	قرغان
Баҳарден	بهاردن
Фарҳод	فرهاد،
хурд	خورد،
Ластола	لاستولا
Чилгазӣ	چهل‌قاضی
Песок	پسوک
Наволок	ناوولوک
Сув ҳовузи	سوو حووزی
Ингичка	اینگیچکا
Бақбақтӣ	باقباقتی
Кеген	کگن
Дувана	دوونا
Хишрав	هیشراو
Баласаз	بالاساز
Садарак	سدرک
Евгеневка	یوگنیفکا
Мсмна	مومنا
Себистон	سیبستان
Ҳиҷборак	هیجبارک
Далёни Боло	دلیان بالا
Даштигул	دشت گل
40 солагии Тоҷикистон	تاجیکستان
Ғалаба	غلبه
Фарков	فرکو
Ширинчашма	شیرین‌چشمه
Сардоров Отахон	سردارف قره‌خان
Пилдон	پلدان
Крит	خرت
Қаҳрамон	قهرمان
Меҳнатобод	محنت‌آباد
Дурбат	دوربت
Зонг	زانگ
Холматов	پخته‌کار
Лолазор	کایارگاچ
Истиқлол	کمکول
Қалъаи Уст	قلعه وست
Сурх	سرخ
Яхтан	یختن
Райкомол	رایکومول
Ҷар-Қишлоқ	الگا،
Лойиш	لایش
Бурунов	بورونوف
Атана	آتانا
Чкалов	چکالووا
Файзобод	فیض‌آباد
Кӯктеппа	کوک‌توبه
Сафедбулон	سفیدبولان
Каба	کابا
Ӯзгеруш	آزگریش
Шоромская	شورومسکایا
Тайқонир	تایقونیر
Чунқурқишлоқ	چونقور-قشلاق
Интси	اینتسی
Широкий Лог	شیروکی لوگ
Миза	میزا
Рождественка	روژدستونکا
Ивановское	ایوانوفسکویه
Новониколаевка	نوونیکلایفکا
Барабинск	بارابینسک
Миссолунги	مسولونگی
Ӯшарал	اوچ‌آرال
Злинка	زلینکا
Гудаута	گوئادوتا
Ботканд	باتکن،
Байрамалӣ	بایرامعلی
Учқўрғон	اوچقورغان،
Чолпон-Ота	چولپوناتا،
Иштихон	اشتیخان
Ишкошим	اشکاشیم،
Ҷани-Оқман	اخمان
Ӯштеппа	اوچ‌تپه،
Денов, Узбакистон	دنوو، ازبکستان
Кӯлсарӣ	قولساری
Тош-Булоқ	داش‌بلاغ
Исфана	ایسفانا،
Бозорак	بازارک
Аннау	انائو
Баллинтемпл	بالینتمپل
Вахш	وخش
Талғар	تلغر
Гумдаг	قوم‌داغ
Ӯзинағаш	اوزون‌آغاچ
Борбордук	تسنترالنویه
Майдон	میدان
Марғун	مارگون
Совет	سووتسکی
Фурудгоҳи саҳро артишӣ пуп	فرودگاه صحرایی ارتشی پوپ
Оқболиқ	آق‌بالیق
Шангали	شانگالی
Буҷум	بوجوم
Гёйтепа	گوی‌تپه
Дороут-Қӯрғон	داروت-کورگون
Қовлар	قوولار
Навкат	نوکث
Уна	اونا
Оқбулоқ	اکبولاک،
Лепсӣ	لپسی
Янгибозор	ینگی‌بازار
Ӯтеген ботир	اوتگن باتیر
Зиёвуддин	ضیاءالدین،
Алӣ	علی،
Барака	برکه
Верхнее Шилово	ورخنیه شیلوو
Шипуновская	شیپونوفسکایا
Оқтам	آق‌تام
Шелек	شلک
Кимёгарлар	کیمیاگرلر
Оқдалъа	اکدالا
Дараи Пезу	دره پیزو
Амонгелдӣ	امانگلدی
Раҳимзода	رحیم‌زاده
Лахш	لخش
Фармонқӯрғон	فرمان‌قورغان
Навдонак	نودانک
Ғазантарак	گزنترک
Пахтаобод	پخته‌آباد
Гулистон	گلستان
Қашот	کشات
Ҷомӣ	جامی
Ғозиён	غازیان
Ҷамоати	کرم‌گل
Тойлоқ	تایلاق
Пушойтамен	پوشایتمین
Кӯктош	کوکتاش
Қадиоб	قد آب
Қиблаӣ	کیبلای
Ғайрат	غیرت
Боғи Калон	بوگیکالون
Палдорак	پلدارک
Сафобахш	آق‌سو
Қалъаи Мирзобой	قلعه میرزابای
Шаҳристони	شهرستان
Деҳқонариқ	دهقان‌اریق
Чӯянгарон	جویانگران
руҳобод	روح‌آباد
Шамтуч	شمتوچ
Обшорон	قوروقسوی
Работ	رباط
Нофароҷ	نافرای
Зебок	زیباک
Кӯштепин	کشته‌پین
Витихон	ویتیخون
Шамсобод	شمس‌آباد
Ниҷонӣ	نیانی
Ҷомӣ	جامی
Қӯрғонтеппа	قرغان‌تپه
Ҳоҷиробод	خجیرآباد
Бешикҷон	بشیک-جان
Кӯк-Тош	کوکتاش
Сари-Ҷайик	قرقیزگاوا
Тайлон	تایلان
Едма	ادما
Қизилбулоқ	قزل‌بلاغ
Кечув	کچوو
Глиний Мис	گلینی میس
Макаровская	ماکاروفسکایا
Конетсдворе	کونتسدووریه
Белдеутас,	بلدئوتاس
Мирзо-Подшоҳ	میرزا-پاتچا
Чашинская	چاشچینسکایا
Варваровка	وارواروفکا
Новгородовская	نووگورودسکایا
Поляна	پولیانا
Толстовка	تولستوفکا
Короли	کورولی
Нижние Бузули	نیژنیه بوزولی
Свободний Труд	سووبودنی ترود
Павловка	پاولوفکا
Новомихайловка	نوومیخایلوفکا
Мадрушкат	مدروشکت
Қизил-Жол	قزل‌یول
Баҳор	بهار
Ӯлӯнгбулоқ	اولونگ-بلاغ
Зайковка	زایکوفکا
Оқбулоқ	آغ‌بلاغ
Аркит	ارکیت
Нуробод	نورآباد،
Қоровулбозор	قراول بازار
Саумалкӯл	سائومالکول
Россош	روسوش
Туркманбошӣ	ترکمن‌باشی
Нгерулмуд	نگرولمود
Антилёс	أنطلیاس
Иланский	ایلانسکیی
Қаҳқаҳа	قهقهه
Заволже	زاوولژیه،
Ширин	شیرین
Ёлётен	یولوتن
Ал-Авҷа	العوجه،
Фархор	فرخار
Орис	آریس
Гулистон	قیراقوم
Қалъаи Панҷ	قلای پنجه
Косон, Узбакистон	کاسان، ازبکستان
Қизил-Ҷар	قزل-یار
Алға	الگا،
Текелӣ	تکلی،
Чат	چت
Худот	خودات
Варзоб	ورزاب
Газ	گاز
Оқтеппа	اکدپ
Қадамҷой	قدم‌جای
Корвон	کاروان،
Қоҷоқорум	کجا-قروم
Ало-Буқа	الا-بوکا
Ларионовская	لاریونوفسکایا
Задоре	زادوریه
Украинка	اوکراینکا
Янги-Ер	ینگی‌یر
Лукинская	لوکینسکایا
Панфилово	پانفیلووا
Ғӯлакандоз	غولاکندوز
Ҷетиган	ژتیگن
Восеъ	واسع
Прилуки	پریلوکی
Олтинемел	التینمیل
Оқтеппа	اکتیوب
Кӯктал	کوک‌تال
Қизилағаш	قزل‌آغاج
Оқчӣ	آق‌شی
Комсомолобод	کامسامال‌آباد
Арахт	ارخت
Кӯкпек	کوک‌پک
номи Ғафурҷон Ортиқов	ارتیکاو
Пошкент	پاشکند
Хвоҳон	خواهان،
Исмоили Сомонӣ	کالینین‌آباد
Эсизи Поён	ایسیز-پوین
деҳоти	آق‌تپه
Оққайнар	اکاینار
Ҳайдар Усмонов	حیدر عثمانف
Симич	سیمیچ
Дарқад	درغد
Кӯлканд	کول‌کند
Ҷамоати Чашмасор	اوتکان‌سوی
Хайробод	خیرآباد
Бохтариён	باختریان
Кансӣ	کانسی
10 солагии истиқлол	سالگی استقلال
Даҳана	داهانا
Моғиён	مغیان
Навобод	نوآباد
Шахсара	شاخسرا
Ёрӣ	یاری
Оби Меҳнат	آب محنت
Турсун	شهرک نو
Ҷурм	جرم،
Мастчоҳ	مست‌چاه
Пайариқ	پای‌آریق
Шамолдисой	شمالدی-سای
Сариқамиш	ساری‌قمیش
Кан	کان
Кочнеговская	کوچنگوفسکایا
Гореша	قورشا
Погост Наволочний	پوگوست ناوولوچنی
Беляковка	بلیاکوفکا
Еркино	یورکینو
Воробевская	ووروبیوفسکایا
Едома	یدوما
Воскресеновка	ووسکرسنوفکا
Борисово	بوریسوو
Кондратовская	کوندراتوفسکایا
Февралское	فورالسکویه
Дубовое	دوبووویه
Чорсу	چهارسو
Рогачевка	روگاچفکا
Мулломир	ملامیر
Завитинск	زاویتینسک
Кондрово	کوندروفو
Кундуз	کندوز
Дмитровск	دیمیتروفسک
Асака, Узбакистон	آساکا، ازبکستان
Бариш	باریش
Таҳто	طهطا
Гандумак	گندمک
Қаробулоқ	قره‌بولاق،
Тавуз	تووز
Чуст	چوزی
Ҳӯродиз	هورادز
Кичиайдаркен	کیچیک حیدرکند
Балх	کالخازآباد
Қарабулоқ	قره‌بلاغ
Роғун	راغون
Пағмон	پغمان
Қароқишлоқ	قره‌قشلاق
Акбаробод	اکبرآباد
Қурбонсултон-Эҷе	آندالیپ
Қалъаи Хумб	قلعه خمب
Басқинчӣ	باسقینشی
Повракулская	پووراکولسکایا
Фараб	فرب
Муъминобод	مؤمن‌آباد
Абай	ابی،
Патракеевка	پاتراکیوکا
Кушкопала	کوشکوپالا
Бӯҷӯй	بجی
Оқтума	اکتاما
Равон	روان،
Анзоб	انزاب
Сӯзоқ	سوزاق
Чимқалъа	چیمکورقان
Даҳкат	دخکات
Новинки	نووینکی
Овборик	باریک
Бӯстон	ایشکلی
Гӯритик	گوریتیک
Гулхона	گلخانه
Раҳмонов	رحمانف
Ҷамоати Қаробоев	همربایف
Испечак	اسپچک
Шарипов	شریپاو
Қайназар	قای‌نظر
Халифа Ҳасан	خلیفه حسن
Холмиён	خلمیان
Коркат	کارکت
Канте	کانته
Қатрон	قطران
Чорбоғ	لنین‌آباد
Пӯлодон	پولتن
Қалъача	قلعه‌چه
Қайиндӣ	قائیندی
Бӯстонқалъа	بستان‌قلعه
Болгардгоҳи Пеллинг	بالگردگاه پلینگ
Тағояк	تغایاک
Панҷоб	پنجاب
Роштқалъа	راشت‌قلعه
Нура	نورا
Урметан	ارمیتن
Янгишаҳр	ینگی‌شهر
дещоти Сарбанд	قوشته‌گیرمان
Ҳакимӣ	حکیمی
Қозидеҳ	قاضی‌ده
Киштоб	گوستاو،
Ҷафр	جفر
Дардактеппа	درداق‌تپه
Оқҷол	آق-یول
Қизилтув	قزل-تو
Ғолбо	گل‌بو
Тарасово	تاراسوو
Қизил-Бел	قزل-بل
Айнова	آینووا
Зиддӣ	ضدی
Оқсув	آق‌سو
Колот	کلات
Қизил-Ой	قزل-آی
Пушлахта	پوشلاختا
Боровинка	بورووینکا
Қаланак	قلعه‌نک
Заргар	زرگر
Мосеево	موسیوو
Хартанг	خرتنگ
Словенское	اسلوونسکویه
Стегневская	استگنفسکایا
Новосергеевка	نووسرگیفکا
Скрипово	اسکریپوو
Петропавловка	پتروپاولوفکا
Лебяже	لبیاژیه
Кулаково-Подгоре	کولاکوو-پودگوریه
Красная Поляна	کراسنایا پولیانا
Биче	بیچیه
Ярославка	یاروسلاوکا
Черемушки	چرموشکی
Качкинчӣ	کاچکینچی
Учғурғон	اوچ کرگن
Калисои морунӣ	کلیسای مارونی
Инаги	ایناگی،
Акуне	آکونه،
Ода	اودا،
Содегаура	سودگائورا،
Читосе	چیتوسه،
Сува	سووا،
Ҳюга	هیوگا،
Обу	اوبو،
Каи	کای،
Камеока	کامه‌اوکا
Ниноҳе	نینوهه،
Китаакита	کیتا-آکیتا،
Мине	مینه،
Миура	میورا،
Шинҷо	شینجو،
Ябу	یابو، هیوگو
Аисаи	آیسای،
Омачи	اوماچی،
Чичибу	چیچیبو،
Оумиҳачиман	اومیهاچیمان،
Кимитсу	کیمیتسو،
Камису	کامیسو،
Обаназава	اوبانازاوا،
Сасаяма	ساسایاما،
Кашиба	کاشیبا،
Шимада	شیمادا،
Юбари	یوباری،
Футтсу	فوتسو،
Тогане	توگانه،
Шиҷонауате	شیجوناواته،
Уако	واکو،
Катано	کاتانو،
Шинширо	شینشیرو،
Сеннан	سن‌نان
Маниуа	مانیوا،
Китаибараки	کیتاایباراکی،
Митоё	میتویا،
Ивакура	ایواکورا،
Ҳокуто	هوکوتو،
Наёро	نایورو،
Секи	سکی،
Фукагауа	فوکاگاوا،
