Диего Веласкес	دیه‌گو ولاسکز
Герман Санчес	جرمن سانچز
Чарлз Силва	چارلز سیلوا
Тоби Роулинг	توبی رولینگ
Ферес	فارس
Дани Олмо	دنی المو
Бен Пэрсон	بن پیرسون
Ҷорҷ	ژورژه
Моя	مویا
Адриан Гомес	ادری گومز
Олтион Осмaни	اولتیون عثمانی
Тэйлор	تیلور
Прада	پرادا
Реган	ریگان
Алберт Ричардс	آلبرت ریچاردز
Оливер Šаркиć	اولیور سارکیچ
Ҷонсон	جانسون
Aлби Aла	آلبی آلا
Виктор Гарсия	ویکتور گارسیا
Ибершими	ایبرشیمی
Бeсим Фaгу	بسیم فاگو
Дэн Голагер	دن گلگر
Алваро Одриосола	آلوارو اودریوزولا
Виншип	وینشیپ
Закариё ибни Идрис Ашъарии Қумӣ	زکریا بن ادریس اشعری قمی
Бадрулмулук	بدرالملوک
Остин Коллиер	استین کولیر
Вернон Де Марко	ورنون دی مارکو
Жан Кера	جین چرا
Кристиан Борха	کریستین برخا
Блас Риверос	بلاس ریوروس
Эдмундсон	ادموندسون
Микел Оярсабал	میکل اویارسابال
Хуан Мигел Хайне	خوان میگل جیمی
Маркос Калеро	مارکوس کالرو
Агустин Доффо	آگوستین دوفو
Эрмосо	هرموسو
Карселен	کارسلین
Дэвид Бартон	دیوید بارتون
Магуайр	مگ‌وایر
Лес Робсон	لس رابسون
Нили	نیلی
Гордон Голи	گوردون کلی
Пеняранда	پنیاراندا
Рафаэл Акоста	رافائل آکوستا
Мораэс	مورائس
Брэдли Барри	بردلی بری
Эйре	ایر
Мэтю Фоулдс	متی فولدز
Тосин Адарабиойо	توسین آدارابیویو
Алекс Карбонел	الکس کاربونل
Данн	دان
Ҷек Доддс	جک دودز
Тэйлор	تیلور
Рили	رایلی
Кларк Салтер	کلارک-سالتر
Монсалве	مونسالو
Калум Стайлс	کالوم استایلز
Валдес	والدز
Клаудио	کلادینیو
Баутиста Мерлини	باتیستا مرلینی
Ёкҳон Бегим	یاکهان بیگم
Гарник	گارنیک
Павел Дронов	پاول درونوف
Озода Раҳмон	آزاده رحمان
Сантяго Аскасибар	سانتیاگو اسکایبار
Эктор Неспрал	هکتور نسپرال
Аҳмад ибни Авф	احمد بن عوف
Антонио Каро	آنتونیو کارو
Хосе Антонио	ژوسین
Иван Сифуэнтес	ایوان چیفوئنتس
Ҷереми Бетанкор	جرمی بتانگور
Меҳраки Нӯшзод	مهرک نوش‌زاد
Хӯриён	خوریان
Вилагра	ویلاگرا
Чапман	چپمن
Лео Дуарте	لئو دوارچه
Мигел Алонсо	میگل آلونسو
Ҳабибулло Назаров	حبیب‌الله نظر
Тайлер Робертс	تایلر رابرتس
Хорхе Помбо	خورخه پومبو
Бейли Кинг	بیلی-کینگ
Марио Гонсалес	ماریو گونزالس
Мирзо Юсуфзода	میرزا یوسف‌زاده
Эду Гарсия	ادو گارسیا
Карлос Солер	کارلوس سولر
Молина	مولینا
Алехандро Посо Посо	آلخاندرو پوزو پوزو
Браҳим Диас	براهیم دیاز
Хесус Силеро	خسوس سیلرو
Капарели	کاپرلی
Агустин Каноббио	آگوستین کانوبیو
Хайрӣ Назарова	خیری نظرووا
Стив Коглин	استیو کوگلین
Эдуард Мелконян	ادوارد ملکونیان
Оскар Мелендо	اسکار ملندو
Идрис Кану	ادریس کانو
Монтерде	مونترده
Тавара	تاوارا
Тавара	تاوارا
Чантри	چنتری
Беҳзоди булӯр	بهزاد بلور
Алина Кукушкина	آلینا کوکوشکینا
Клаверия	کلاوریا
Кейт Кокбэрн	کیت کوکبرن
Нед Винсент	ند وینسنت
Лоренте	یورنته
Ёсамини Серовандӣ	یاسمین سیراوندی
Иброҳим ибни Мӯсо Алкозим	ابراهیم بن موسی کاظم
Оскар Аррибас	اسکار ارباس
Уолтер Ҷеннингс	والتر جنینگز
Лорет	کالیتا
Ухнаагийн Хурелсух	اوخناگین خورلسوخ
Абутоҳири Исфаҳонӣ	ابوطاهر اصفهانی
Себастян Ломонако	سباستین لوموناکو
Олимпур	عالم‌پور
Перси Кгэмпайон	پرسی چمپیون
Зак Ҷулс	زاک جولز
Андрей Лунин	آندری لونین
Серхио Аррибас	سرخو اریباس
Барданка	باردانکا
Спинели	اسپینلی
Санти Моар	سانتی موار
Лукас Робертоне	لوکاس روبرتون
Абилио	آبیلیو
Абуҳафси Суғдӣ	ابوحفص سغدی
Виникиус Жуниор	وینیسیوس جونیور
Ортега	اورتگا
Томас Аттис	توماس اتیس
Баҳром	بهرام
Стивен Мондрагон	موندراگون
Даниил Куликов	دانیل کولیکوف
Аҳмади Васлӣ	احمد وصلی
шоҳзода Морто аз Кохетӣ	شاهزاده مارتا از کاختی
Баҳодури Ягона	بهادر یگانه
Сайидюнуси Истаравшанӣ	سید یونس استروشنی
Алиса Шмидт	آلیسا اشمیت
Маҳдӣ ал-Машат	مهدی المشاط
Конте	کونته
Лукас Веркмайстер	لوکاس ورکمایستر
Ҳабибулло Абдураззоқов	حبیب‌الله عبدالرزاق
Шаҳриёр Даминов	شهریار دامینوف
Ваҳдат Ҳаннонов	وحدت حنانوف
Беҳном	بهنام
Фозил	فاضل
Фреско	فرسکو
Холид бин Халифа бин Абдулазиз Оли Танӣ	خالد بن خلیفه بن عبدالعزیز آل ثانی
Кова Тилавпур	کاوه تیلوپور
Айман ибн Абдурраҳмон	ایمن بن عبدالرحمان
Белла Порч	بلا پوارش
Бланко	بلانکو
Ифро Ҳурмуз	ایفرا هرمز
Маҳтоб Қулизода	مهتاب قلی‌زاده
Масъуди Сипанд	مسعود سپند
Парвиз Пӯлодӣ	پرویز پولادی
Ҳайдарзода	حیدرزاده
Карл Саган	کارل سیگن
Тонӣ Блер	تونی بلر
Алберто Буэно	آلبرتو بوئنو
Мел Гибсон	مل گیبسون
Абдуллоҳ Гул	عبدالله گل
Ҳофиз Асад	حافظ اسد
Синклер Люис	سینکلر لوئیس
Зокир Ҳусейн	ذاکر حسین
Гутфрид Ҳердер	گاتفرید هردر
Эдвард	ادوارد
Адриано	آدریانو
Бегим	بیگم
Миранда Фрейтас Да Силва	میراندا فریتاس دا سیلوا
Валентина Матвиенко	والنتینا ماتوینکو
Ленгстон Ҳюз	لنگستون هیوز
Сол Кэмпбелл	سول کمپل
Фергюсон	فرگوسن
Абай	ابای
Иван Кавиедес	ایوان کیویدز
Диего Лопес	دیه‌گو لوپز
Вис	ویسه
Адалтон Жувенал	آدالتون جووینال
Эмилио Исагирре	امیلو ایزاگویره
Мигел Мунйос	میگل مونیوز
Балоши	بلاش
Энтони Пилкингтон	آنتونی پیلکینگتون
Алехандро Алфаро	الخاندرو الفارو
Оубиня	اوبینیا
Андре Мари	آندره ماری
Нютон	نیوتن
Беннетт	بنت
Гордон Браун	گوردون براون
Сезар Арканжо	سزار آرسانجو
Кампагнаро	کامپاگنارو
Луис Марин Бараона	لوئیس مارین باراهنا
Ҷейсон Додд	جیسون داد
Филип Саад	فیلیپه ساد
Хорхе Олаэчеа	خورخه اولائچئا
Игнаси Микел	ایگناسی میگل
Карл Дрез	کارل درایس
Перл Бак	پرل باک
Памела Андерсон	پاملا اندرسون
Александр Прохоров	الکساندر پروخورف
Карлес Бускетс	کارلس بوسکتس
Тим Браун	تیم براون
Гардезӣ	گردیزی
Камило Де Брито	کامیلو دی برتو
Диас	دیاس
Лукас Ланда	لوکاس لاندا
Александри	الکساندر
Алек Дуглас-Ҳоме	آلک داگلاس-هیوم
Бернард	برنارد
Иэн Маккеллен	ایان مک کالن
Валенсия	والنسیا
Станислав Черчесов	استانیسلاو چرچسوف
Ромейн	رومین
Аленан	آلمائو
Ли Мартин	لی مارتین
Лауренси Алма Тадема	لاورنس آلما-تادما
Ян Пирс	ایان پیرس
Алваро Ново	الوارو نوو
Марие Дресслер	ماری درسلر
Абдусаломов	عبدالسلامف
Хендерсон	هندرسون
Беник Афоб	بنیک آفوب
Аббоси	عباس
Мушаррафуддавла	مشرف‌الدوله
Антара ибни Шаддод	عنتره بن شداد
Абдулқодир Хон	عبدالقدیر خان
Себастян Фернандес	سباستین فرناندز
Нене	نینی
Рикардо Бокини	ریکاردو بوچینی
Бенҷамин	بنجا
Сайид Алии Ҳамадонӣ	سید علی همدانی
Дэвид Наварро	داوید ناوارو
Боязиди Бастомӣ	بایزید بسطامی
Хиггинботем	هیگینباتم
Микел Ласа	میکل لاسا
Диего Курин	دیگو چورین
Волфганг Мотсарт	ولفگانگ موتسارت
Иосиф Бродский	ایوسیف برودسکی
Морено	مورنو
Вандерcон	واندرسون
Манга	مانگا
Паласиос	پالاسیوز
Мартин Олдридҷ	مارتین الدریج
Гиббс	گیبس
Байрон Ҳовард	بایرون هاوارد
Мун Чжэ Ин	مون جائه-این
Нақшбанд	نقشبند
Давид Бен-Гурион	داوید بن گوریون
Игор Матович	ایگور ماتوویچ
Франко	فرانکو
Карл	کارل
Нерй	نیری
Алберт Принс Кокс	آلبرت پرینس کاکس
Хосе Артече	خوزه آرتتسکه
Милито	میلیتو
Маркус Стюарт	مارکوس استوارت
Исмоили	اسماعیل
Серхио	سرجیو
Лукас Марколини Дантас Бертукси	لوکاس مارکولینی دانتاس برتوچی
Мансури Ҳаллоҷ	منصور حلاج
Дэвид Томпсон	دیوید تامسون
Лукас Cеверино	لوکاس سیورینو
Зулқарнайн	ذوالقرنین
Фрэнк Макфарлейн Бёрнет	فرانک مک‌فارلن بارنت
Ранирес	رامیرس
Баптиста	باپتیستا
Элано	الانو
Илир Мета	ایلیر متا
Ҳошим Атосӣ	هاشم الاتاسی
Маъмун	مأمون
Дэвид Армстронг	دیوید آرمسترانگ
Волта,	ولتا
Бардин	باردین
Липатин	لیپاتین
Арман Фалйер	آرمان فالیر
Ёшида	یوشیدا
Грета	گرتا
Микеланҷело	میکل‌ آنژ
Сидӣ валид Шайх Абдуллоҳ	سیدی ولد شیخ عبدالله
Пол Кончески	پل کونچسکی
Эрнанес	هرنانس
Киичи Миязава	کی‌ایچی میازاوا
Баркли	بارکلی
Ренеҳ Боринтус	رنه بارینتوس
Брайан Кокс	برایان کوکس
Андрей Шевченко	آندری شوچنکو
Фабрисио Агосто	فابریسیو اگوستو
Хорхе Боланйо	خورخه بولانیو
Билли Блэнкс	بیلی بلنکز
Салвадор Алленде	سالوادور آلنده
Андреус	اندروز
Эзра Паунд	ازرا پاوند
Карлос Борхес	کارلوس برخس
Ферейра Мартинс	فریرا مارتینز
Алексндре Лопес	الکساندر لوپز
Крейг Дэвис	کریگ دیویس
Ҷаред Ҳаррис	جرید هاریس
Маркус Виникиус Кеcарио	مارکوس وینیسیوس سیساریو
Уатсон-Уентуорт	واتسون-ونتورث
Виейра	ویرا
Фабио Аурелио	فابیو اورلیو
Пол Гаскойн	پل گسکوین
Одил Фирдавсипур	عادل فردوسی پور
Том Ҳэнкс	تام هنکس
Брандт	برانت
Рене Декарт	رنه دکارت
Ниче	نیچه
Ким Чен	کیم جونگ-ایل
Виктор Ормазабал	ویکتور ارمازابال
Крис Портер	کریس پورتر
Залазар	زالازار
Сезар Бритос	سزار بریتوس
Франсуа Олланд	فرانسوا اولاند
Галтиери	گالتیری
Тим Бернерс-Ли	تیم برنرز لی
Чарлз Дарвин	چارلز داروین
Леон Блюм	لئون بلوم
Саулӣ Ниинистё	سالی نینیستو
Ёсир Арафот	یاسر عرفات
Расул Ғамзатов	رسول حمزاتوف
Ваҳб ибни Мунаббеҳ	وهب بن منبه
Хавйер Уррутикоечеа	خاویر اوروتیکوئچا
Муаммар ал-Қазофӣ	معمر قذافی
Новаэс	نواس
Брижит Бардо	بریژیت باردو
Т. С. Элиут	تی. اس. الیوت
Иброҳими Зарқолӣ	ابراهیم الرزقالی
Воррен Баффет	وارن بافت
Бачан	باچان
Фидел Кастро	فیدل کاسترو
Ши Мин	شی مین
Кира Найтлӣ	کیرا نایتلی
Дэвид Духовни	دیوید دوکاونی
Чкалов	چکالوف
Алексей Михайлович	الکسیس روسیه
Эрнест Резерфорд	ارنست رادرفورد
Хавйер Клементе	خاویر کلمنته
Жан-Клод Ван Дамм	ژان کلود ون دم
Гилермо Стабиле	گیلرمو استبای
Сантяго Эскерро	سانتیاگو ازکورو
Маурисио Пелегрино	ماوریسیو پیگرینو
Меҳрдоди	مهرداد
Саэс	سائس
Баграмян	باقرامیان
Бағдодӣ Маҳмудӣ	بغدادی محمودی
Масаси Кисимото	ماساشی کیشیموتو
Жоржи	ژورژه
Ленин Морено	لنین مورنو
Чоударй Чаран Синғ	چودهاری چاران سینگ
Раул Ластири	رائول لاستیری
Дуг Лишман	دوگ لیشمان
Чарлзи	چارلز،
Зико	زیکو
Абебе Бикила	آببه بیکیلا
Қобус ибни Саъид	قابوس بن سعید
Маркус Перейра Дус Сантос	مارکوس پریرا دوس سانتوس
Диего	دیگو
Озаргушнасп	آذرگشنسپ
Карим	کریم
Капитан	کاپیتائو
Ринкон	رینکون
Шопури	شاپور
Александр Ҳертсен	الکساندر هرتسن
Фернандес	فرناندز
Йоҳаннес Георг	یوهانس جرج
Роберт Барани	رابرت بارانی
Брамс	برامس
Родриго	رودریگو
Куэвас	کوئویس
Винс Хейз	وینس هی
Леонид Гурвич	لئونید هورویچ
Видя Балан	ویدیا بالان
Паулиню	پائولینیو
Меган Фокс	مگان فاکس
Ален Делон	آلن دلون
Армфилд	آرمفیلد
Рикардо Кавалканте Нендес	ریکاردو کاوالسنتی مندز
Рамзан Аҳмадович	رمضان قدیرف
Қубоди	قباد
Москера	مسکرا
Алтдорфер	آلتدورفر
Ре	ری
Дин Марни	دین مارنی
Алекс Пирс	آلکس پیرس
Франческу Коссига	فرانچسکو کسیگا
Хоселу	خوزه‌لو
Доминик Монаган	دومینیک مانهن
Эрнан Росси	هرنان روسی
Пол Бийя	پل بیا
Алӣ Обид	علی العابد
Арнолд Гелен	آرنولد گلن
Мария Мериан	ماریا مریان
Раул Ватес	رائول وتس
Лӣ Ҷонс	لی جونز
Крис Эванс	کریس ایوانز
Хотамӣ	خاتمی
Ноулс	نوولس
Анатоли Тарасов	آناتولی تاراسوف
Павон	پاون
Шихуанди	شی هوان
Имр Варади	ایمره وارادی
Гаргано	گارگانو
Рубен Соса	روبن سوسا
Блез Паскал	بلز پاسکال
Ярослав Ҳашек	یاروسلاو هاشک
Чавез	چاوز
Дини	دینی
Зебуннисо	زیب‌النسا
Эурелю Гонес	هیرلیو گومز
Кристиан Майкон Энинг	کریستین مایکون هنینگ
Эмили Бронте	امیلی برونته
Алексеевна	الکسی یوونا
Морикконе	موریکونه
Лукос	لوکاس
Алфред Гилман	آلفرد گیلمان
Иван Билибин	ایوان بیلیبین
Налдо	نالدو
Бузиаф	بوضیاف
Лукас Тилл	لوکاس تیل
Арос	آروس
Пётр Соколов	پیوتر سوکولوف
Валкотт	والکات
Тарар	تارر
Пол Гоген	پل گوگن
Веспуччи	وسپوچی
Мариу Мунтӣ	ماریو مونتی
Леонид Говоров	لئونید گوفوروف
Далиан Аткинсон	دالیان اتکینسون
Данило Неко	دانیلو نیکو
Нино	خوان
Фитс Холл	فیتز هال
Маркус Cенна	مارکوس سنا
Герлин Да Силва	گرلین دا سیلوا
Зиё Қоризода	ضیا قاری‌زاده
Ҷуканович	جوکانوویچ
Зе Элиас	زی الیاس
Бҳаскара	باسکارا
Исмоили	اسماعیل
Рене Флеминг	رنه فلمینگ
Фернандо Мартинес	فرناندو مارتینز
Луиз Флечер	لوئیز فلچر
Алексей Алексеевич	آلکسی آلکسیویچ
Роуз Бирн	رز بیرن
Нелсон Керкнер	نلسون کرچنر
Эрик Фернандо Боттегин	اریک فرناندو بوتگین
Иван Бунин	ایوان بونین
Майкл Бэй	مایکل بی
Лукас Пиазон	لوکاس پیازون
Антонӣ Еден	آنتونی ایدن
Ландау	لاندو
Пйер-Жан Беранже	پیر-ژان برانژه
Хилберто Пенайо	خیلبرتو پنایو
Диего Посо	دیه‌گو پوزو
Крӣ Саммер	کری سامر
Карлос Де Хесус	کارلوس دی جسوس
Томас Юнг	توماس یانگ
Айзек Азимов	آیزاک عظیموف
Эдвин Ҳаббл	ادوین هابل
Штрахе	اشتراخه
Йосип Броз Тито	یوسیپ بروز تیتو
Хуан Луис Мора	خوان لوئیس مورا
Неин	ناهین
Рубен Акоста	روبن آکوستا
Алексей Николаевич Толстой	آلکسیی نیکولایویچ تولستوی
Видал	ویدال
Адриан Лопес	آدریان لوپز
Кейт Бланшетт	کیت بلانشت
Емир Кустуритса	امیر کوستوریتسا
Дуду Парайба	دودو پارابیا
Грилпарсер	گریلپارزر
Владимир Кличко	ولادیمیر کلیچکو
Хуан Бернат	خوآن برنات
Бирюзов	بیریوزف
Луис Марин	لوییس مارین
Велингтон Сантос Да Силва	ولینگتون سانتوس دا سیلوا
Егор Гайдар	یگور گایدار
Ренан Маркес	رینان مارکز
Инйиго Велес	اینیگو ولز
Тирмизӣ	ترمذی
Анри	آنری
БО СЗЮЙ-И	پو چویی
Ҳарри	هری هوپر
Райскаб	رایسکوب
Холида Зиё	خالده ضیا
Аршаки	ارشک
Мануэл Росас	مانوئل روزس
Ралф Эмерсон	رالف امرسون
Мануэл Онву	مانوئل اونوو
Гросс	گروس
Хуанде Рамос	خوانده راموس
Герcон	ژرسون
Аксели Галлен-Каллела	آکسلی گالن-کاللا
Ромарио	روماریو
Сезар	سزار
Каммингс	کامینگز
Ян Флеминг	یان فلمینگ
Монк	مانک
Салма Ҳайек	سلما هایک
Титус Брэмбл	تیتوس برامبل
Рамирес	رامیرز
Габриэл Эгбонлахор	گابریل آگبونلاهور
Игор Габилондо	ایگور گابیلوندو
Дэвид Оспина	دیوید اوسپینا
Данило	دانیلو
Илдералдо Беллини	هیلدرالدو بلینی
Саломе Зурабишвилӣ	سالومه زورابیشویلی
Абдулқодири Гелонӣ	عبدالقادر گیلانی
Пирӯзи	پیروز
Ален Бадю	آلن بدیو
Дэвид Платт	دیوید پلات
Рӯдакӣ	رودکی
Озармидухт	آزرمی‌دخت
Унсайм	اونسایم
Шака Хислоп	شاکا هیسلپ
Нейл Банфилд	نیل بانفیلد
Бен Уоррен	بن وارن
Карлето	کارلیتو
Хуан Диего Гонсалес Вихил	خوان دیگو گونزالز-ویگیل
Карлос Дус Сантос	کارلوس دوس سانتوس
Волтер Герлох	والتر گرلچ
Адолф Дасслер	آدولف داسلر
Басов	باسوف
Хуан Мануэл Варгас	خوان مانوئل وارگاس
Денилcон	دنیلسون
Содиқи Ҳидоят	صادق هدایت
Ҳорунаррашид	هارون‌الرشید
Луис Солигнак	لوئیس سولیگاناک
Аҳмад Қодиров	احمد قدیروف
Исо ибни Салмон ал-Халифа	عیسی بن سلمان آل خلیفه
Хуан Аранго	خوان آرانگو
Пирри	مارتین
Киванч Татлитуғ	کیوانچ تاتلیتوغ
Ҷонни	جانی هاینز
Сантяго Остолаза	سانتیاگو اوستولاسو
Нейл Килкенни	نیل کیلکنی
Пералта	پرالتا
Саузуорт	ساوتورت
Фрэнк Барсон	فرانک بارسون
Меҳрдоди	مهرداد
Аугустус Фитзрой	اگوستوس فیتزروی
Раул Тамудо	رائول تامودو
Чианг Чинг-куо	چیانگ چینگ-کو
Грегсон-Уилямс	گرگسون-ویلیامز
Ғулом Исҳоқ Хон	غلام اسحاق خان
Гварди	گواردی
Рубен Умар Романо	روبن عمر رومانو
Микел Гонсалес Мартинес	میکل گونزالس مارتینز
Венсан Ориол	ونسان اوریول
Дейвид Брюстер	دیوید بروستر
Энрике	انریکه
Ҳу	هو
Дэвид Коза	دیوید سوسا
Aдриан Aлиaй	آدریان آلیای
Сунил Датт	سونیل دوت
Еядема	ایادیما
Эдисон Мендес	ادیسون مندز
Питер Рид	پیتر رید
Иван Уртадо	ایوان هورتادو
Вагнер	واگنر
Георгий Маленков	گئورگی مالنکوف
Кристие	کریستی
Дидак Вила	دیداک ویا
Фреди Гуарин	فردی گوارین
Иброҳим Аббуд	ابراهیم عبود
Мэтю Этерингтон	متیو اترینگتون
Даниэл Аяла	دنیل آیالا
Рамон Диас	رامون دیاز
Рамос	راموس
Алӣ Абдулло Солеҳ	علی عبدالله صالح
Эндрю Карнегӣ	اندرو کارنگی
Адриано Дус Сантос	آدریانو دوس سانتوس
Тяго Невес	تیاگو نوز
Един Ҷеко	ادین ژکو
Ҳаролд Макмиллан	هارولد مک‌میلان
Тумос Ҳордӣ	توماس هاردی
Ризо Паҳлавӣ	رضا پهلوی
Абумуслими Хуросонӣ	ابومسلم خراسانی
Пабло Дорадо	پابلو دورادو
Прието	پریتو
Мигел Овиэдо	میگل ابیدو
Карлос Марчена	کارلوس مارچنا
Абдурраҳмони	عبدالرحمن
Кент	کنت
Али Аҳмад	آل‌احمد
Ричард Крессвелл	ریچارد کرسول
Габриэл	گابریل
Клод	کلاود
Рубен Де Ла Ред	روبن د لا رد
Хесус Навас	خسوس ناواس
Хорхе Бава	خورخه باوا
Антонио Хассо	آنتونیو خاسو
Мунуа	مانووا
Кристиан Ансалди	کریستین انسلدی
Эрвин Скeля	اروین اسکلا
Фернандо Гаго	فرناندو گاگو
Хоан Роман	خوان رمان
Уилсон Пиасса	ویلسون پیازا
Матиас Фритзлер	ماتیاس فریتزلر
Берти Ми	برتی می
Виллем-Александр	ویلیام الکساندر
Абоқохон	اباقاخان
Мануэл Песудо	مانوئل پزودو
Александр Кержаков	آلکساندر کرژاکوف
Юҳо Кустӣ Паасикивӣ	یوهو کوستی پاسیکیوی
Томас Армстронг	توماس آرمسترانگ
Фумагалли	فوماگالی
Сандро Дус Сантос	ساندرو دوس سانتوس
Серхио Ромеро	سرخیو رومرو
Адан	آدوزینیو
Бернардо Алмирон	برناردو المیرو
Жорж Бидо	ژرژ بیدو
Гулзорилол Нанда	گلزار لعل ناندا
Дӯстмурод Саид	دوست‌مراد سعید
Хорхе Фоссати	خورخه فوساتی
Гарэт Барри	گرت بری
Витте	ویته
Георгиос Тситас	گئورگیوس تسیتاس
Хуан Хесус	خوان جیسوس
Воро	ورو
Маргарита Оду	مارگریت اودو
Мэтю Юпсон	متیو اوپسون
Энрике Корралес	انریکه کورالس
Эрнандес	هرناندز
Фил Янгхусбанд	فیل یانگ‌هازبند
Гренвил	گرینویل
Жузе Сорнӣ	ژوزه سارنی
Боб Уилсон	باب ویلسون
Вагиз Хидийатуллин	واگیز خیدیاتولین
Брайан Сингер	برایان سینگر
Мори	موری
Андерсон Полга	آندرسون پولگا
Карло Готси	کارلو گوتزی
Даниил Хармс	دانیل خارمس
Алвин Мартин	الوین مارتین
Олга Бознанска	اولگا بوزنانسکا
Донде	دوندی
Опомо	آپاما
Сергей Игнашевич	سرگئی ایگناشویچ
Гари Кэхилл	گری کیهیل
Соса	سوسا
Миршаймер	مرشهایمر
Бен Аффлек	بن افلک
Лафита	لافیتا
Романо	رومانو
Хуанма	یوانما
Оксана Гришук	اوکسانا گریشوک
Дэйв Бисант	دیو بیسنت
Ирина Алфёрова	ایرینا آلفیوروا
Алберино	آلبرینو
Мутанаббӣ	متنبی
Истахрӣ	اصطخری
Адриан Бербия	آدرین بربیا
Серер	سریر
Агуадо	اگوادو
Роберт Кочарян	روبرت کوچاریان
Да Коста	دا کوستا
Роберто Мота	روبرتو موتا
Абдуллоҳи Байзовӣ	عبدالله بیضاوی
Николас Лодейро	نیکولاس لودیرو
Пол Дешанел	پل دشانل
Василий Шукшин	واسیلی شوکشین
Абилдгаард	آبیلدگارد
Фриёпат	فریاپت
Сайф Алихон	سیف علی خان
Ришӣ Капур	ریشی کاپور
Ибан Зубяурре	ایبان زوبیاره
Дихан	دیهان
Фолу Билқосим	فالو بلقاسم
Валери Зиков	والری زیکوف
Адриано Басо	آدریانو باسو
Доминик	دکلو
Мурило	موریلو
Иршод	ارشاد
Чарлз Брокден Браун	چارلز براکدن براون
Фердинанд	فردیناند
Дэвид Лукас	دیوید لوکاس
Спитале	اسپیتاله
Динелcон	دینلسون
Насименто	ناسیمنتو
Гарсес	گارسس
Карлос Паредес	کارلوس پاردس
Антонио Камачо	آنتونیو کاماچو
Кубилас	کوبیلاس
Лес Фердинанд	لس فردیناند
Андерсон	آندرسون
Тсутуму Хата	تسوتومو هاتا
Девон Сава	دوون ساوا
Антон Шунин	آنتون شونین
Себастян Коутс	سباستین کواتس
Оливейра	اولیویرا
Дэвид Бэрроус	دیوید بوروس
Гирӣ	گیری
Хусукава	هوسوکاوا
Евгений Максимович	یوگنی پریماکوف
Габриэл Гарсия	گابریل گارسیا
Феликс Фор	فلیکس فوره
Монтеро	مونترو
Трэвор Фрэнсис	تروور فرانسیس
Мухтор валид Додоҳ	مختار ولد داداه
Ади Роша	آدی روخا
Хуан Калатаюд	خوان کالاتیو
Андре Роберто Да Силва	آندره روبرتو دا سیلوا
Ауртенече	اورتنتی
Габриэл Калдерон	گابریل کالدرون
Андрес Флеуркин	آندرس فلورکین
Мануэл	مانه
Микел Аранбуру	میکل ارانبورو
Леон Корт	لیون کرت
Оресте Корбатта	اورسته کورباتا
Том Уиттакер	تام ویتاکر
Лиам Лоуренс	لیام لارنس
Ману Дел Морал	مانو دل مورال
Вивианӣ	ویویانی
Габриэл Пинто	گابریل پینتو
Абубакри Шиблӣ	ابوبکر شبلی
Сидехара	شیده‌هارا
Майкл Кайтли	مایکل کایلی
Морена	مورینا
Хуан Карлос Унсуэ	خوان کارلوس اونزوئه
Яздгирди	یزدگرد
Абраҳам	آبراهام
Шозлӣ Бинҷадид	شاذلی بن جدید
Ҷен Домарски	یان دومارسکی
Симеоне	سیمئونه
Эмлин Хюз	املین هیوز
Бернардо Ромео	برناردو رومئو
Ботия	بوتیا
Сабурӣ	صبوری
Батиста Да Силва	باتیستا دا سیلوا
Хени	جنی
Юри Де Соуза	یوری دی سوزا
Чико	چیکو
Карлос Фернандес	کارلوس فرناندز
Стив Булл	استیو بول
Николас Гайтан	نیکولاس گایتان
Салвадор Капитано	سالوادور کاپیانو
Роландо Серрано	رولاندو سرانو
Олая	الوی
Мид	مید
Жуниню Кеаренсе	جونینیو سیرنسه
Лукас Поркар	لوکاس پورکار
Эдуардо Бериссо	ادواردو بریتزو
Роб Ҷонс	راب جونز
Афонcо Алвес	آفونسو
Перейра Насименто	پریرا ناسیمنتو
Сушил Куирало	سوشیل کویرالا
Фортес	فورتس
Фаурлин	فاورلین
Бернардо Домингес	برناردو دومینگز
Гари Макшеффри	گری مک شفری
Кап	کپ
Хуан Агудело	خوان آگودلو
Фернандан	فرناندائو
Вилйела	ویللا
Крейг Истмонд	کریگ ایستموند
Тайлер Мэйн	تایلر مین
Дэн Шнайдер	دن اشنایدر
Амансио Амаро	آمانسیو آمارو
Этел Лилиан	اتل لیلیان
Уқба ибни Омир	عقبه بن عامر
Баҳманёр	بهمنیار
Кевин Фоли	کوین فولی
Абад	اباد
Эдисон Флорес	ادیسون فلورس
Мамин	مامین
Колин Питс	کولین پیتس
Энрике Да Силва	هنریکه دا سیلوا
Бен Алнвик	بن النویک
Султонуддавла	سلطان‌الدوله
Родолфо Гамарра	رادولفو گامارا
Басиле	باسیله
Дуду Кеаренсе	دودو سیارانس
Мануэл	مانوئل
Аракӣ	آراکی
Мастроени	مسترونی
Фрэнсис Ли	فرانسیس لی
Герги Музaкa	گیرگی موزاکا
Де Мораэс Ненезес	د موراس منزس
Дс Уокер	دس واکر
Маттар	ماتار
Кристалдо	کریستالدو
Эктор Кумпитас	اکتور چومپیتاس
Рубен Рочина	روبن روچینا
Хави Вента	خاوی ونتا
Ники Хант	نیکی هانت
Евгений Гришин	یوگنی گریشین
Помпео	پومپئو
Дуглас Сантос Андраде Барбоза	داگلاس سانتوس آندراده باربوسا
Себастян Риэп	سباستین ریپ
Дэвид Хиллир	دیوید هیلیر
Де Оливейра Монтейро	د الیویرا مونتیرو
Уолтер Фернандес	والتر فرناندز
