аамм	اعم
моявар	مايه ور
моядон	مايه دان
моядор	مايه دار
мояк	مايک
моякӯбӣ	مايه کوبي
мояндар	مايندر
мояҳтоҷ	مايحتاج
муаббад	مؤبد
муаббир	معبر
муаввад	معود
муавваз	معوض
муадд	معد
муаддаб	مؤدب
муаддабона	مؤدبانه
муаддиб	مودب
муаддил	معدل
муаддилуннаҳор	معدل النهار
муаззаб	معذب
муаззаз	معزز
муаззам	معظم
муаззамӣ	معظمي
муаззин	موذن
муаззинӣ	موذني
муайид	مؤيد
муайян	معين
муайянӣ	معيني
муайянкунанда	معين کننده
муайяншаванда	معين شونده
муайяншуда	معين شده
муаккад	مؤکد
муаллақ	معلّق
муаллақа	معلّقه
муаллақзан	معلّق زن
муаллақзанӣ	معلِق زني
муаллақзанон	معلّق زنان
муаллал	معلّل
муаллам	معلّم
муаллим	معلّم
муаллимӣ	معلّمي
муаллимтайёркунӣ	معلّم تيارکني
муаллиф	مؤلّف
муаллифӣ	مؤلّفي
муаммар	معمر
муаммогӯӣ	معما گوئي
муаммодор	معمادار
муанбар	معنبر
муаннас	مؤنث
муарраб	معرب
муарриф	معرّف
муаррифӣ	معرفي
муаррифинома	معرفي نامه
муаррих	مؤرخ
муассир	مؤثّر
муассирӣ	مؤثّري
муассис	مؤسس
муассиса	مؤسسه
муассисавӣ	مؤسسوي
муассисотӣ	مؤسساتي
муасфар	معصفر
муаттал	معطّل
муаттар	معطّر
муаттарӣ	معطّري
муаххар	مؤخّر
мубаддал	مبدل
мубаддалшавӣ	مبدل شوي
мубайян	مبين
мубаллиғ	مبلّغ
мубаррад	مبرّد
мубаррид	مبرّد
мубассир	مبصر
мубаттар	مبتّر
мубашшир	مبشّر
мубин	مبين
мубодарат	مبادرت
мубодила	مبادله
мубодилавӣ	مبادله وي
мубодилагӣ	مبادلگي
муболиға	مبالغه
муболиғавӣ	مبالغه وي
муболиғадор	مبالغه دار
муболиғакор	مبالغه کار
муболиғаомез	مبالغه آميز
муборак	مبارک
муборакбод	مبارک باد
муборакбодӣ	مبارک بادي
муборакӣ	مبارکي
муборакқадам	مبارک قدم
муборакниҳод	مبارک نهاد
муборакнома	مبارک نامه
муборакпай	مبارک پي
муборакфол	مبارک فال
мубориз	مبارز
мубориза	مبارزه
муборизакунанда	مبارزه کننده
мубоҳ	مباح
мубоҳиса	مباحثه
мубоҳисавӣ	مباحثوي
мубоҳисакунанда	مباحثه کننده
мубоҳот	مباهات
мубошир	مباشر
мубошират	مباشرت
мубрам	مبرم
мубтадӣ	مبتدي
мубтадо	مبتدا
мубтакир	مبتکر
мубтанӣ	مبتني
мубҳам	مبهم
мубҳамӣ	مبهمي
муваззаф	موظّف
муваккал	موکّل
муваққат	موقّت
муваққатан	موقّتاً
муваққатӣ	موقّتي
муваллид	مولّد
муваррад	مورد
муваррас	مورث
мувасвас	موسوس
мувассал	موصل
муваффақ	موفّق
муваффақият	موفقّيت
муваффақона	موفّقانه
муваҳҳид	موحد
мувашшаҳ	موشح
муваҳҳиш	موهش
муваҷҷаҳ	موجه
мувозаа	مواضعه
мувозӣ	موازي
мувосокор	مواساکار
мувосокорӣ	مواساکاري
мувосокорона	مواساکارانه
мувофиқ	موافق
мувофиқа	موافقه
мувофиқат	موافقت
мувофиқатнома	موافقت نامه
мувоҷеҳ	مواجه
муғ	مغ
муғайлон	مغيلان
муғамбир	مغمبر
муғамбирӣ	مغمبري
муғамбирнамо	مغمبرنما
муғамбирона	مغمبرانه
муғаннӣ	مغني
муғбача	مغبچه
муғелон	مغيلان
муғлақ	مغلق
муғлақбаён	مغلق بيان
муғлақбаёнӣ	مغلق بياني
муғлақгӯй	مغلق گوي
муғлақгӯӣ	مغلق گوئي
муғлақӣ	مغلقي
муғолата	مغالطه
муғона	مغانه
муғриз	مغرض
муғризона	مغرضانه
муғсаро	مغسرا
муғтанам	مغتنم
муғулча	مغل چه
муғулчой	مغل چاي
муғҷа	مغجه
муғҷабандӣ	مغجه بندي
муғҷадор	مغجه دار
муғҷапайванд	مغجه پيوند
мудд	مودد
мудаббир	مدبر
мудаввар	مدور
мудаққиқ	مدقّق
мударрис	مدرس
мударрисӣ	مدرسي
мудғам	مدغم
мудбар	مدبر
муддаиёна	مدعي يانه
муддаӣ	مدعي
муддао	مدعا
муддат	مدت
мудир	مدير
мудирият	مديريت
мудирӣ	مديري
мудовим	مداوم
мудовимат	مداومت
мудово	مداوا
мудом	مدام
мудомулумр	مدام العمر
мудоро	مدارا
мудофеъ	مدافع
мудофиа	مدافعه
мудофиавӣ	مدافعوي
мудофиагар	مدافعه گر
мудофиагоҳ	مدافعه گاه
мудофиакор	مدافعه کار
мудофиакунанда	مدافعه کننده
мудохила	مداخله
мудоҳин	مداهن
мудрак	مدرک
мудраҷ	مدرج
мудрик	مدرک
мудҳиш	مدهش
мужда	مژده
муждабар	مژده بر
муждавар	مژده ور
муждагонӣ	مژده گاني
муждадиҳанда	مژده دهنده
муждаовар	مژده آور
муждарасон	مژده رسان
муждарасонӣ	مژده رساني
музабзаб	مذبذب
музаввар	مزور
музаввара	مزوره
музаввир	مزور
музайяб	مزيب
музайян	مزين
музаккар	مذکّر
музаффар	مظفّر
музаффарият	مظفّريت
музаффарона	مظفرّانه
музахраф	مزخرف
музаҳҳаб	مذهب
музаъфар	مزعفر
музд	مزد
муздавиҷ	مزدوج
муздгир	مزدگير
муздгирӣ	مزدگيري
музддиҳӣ	مزددهي
муздӣ	مزدي
муздур	مزدور
музей	موزيي
музейшиносӣ	موزيي شناسي
музирр	مضر
музлим	مظلم
музмар	مضمر
музмаҳил	مضمحل
музмин	مزمن
музоаф	مضاعف
музоб	مذاب
музовала	مزاوله
музоваҷат	مزاوجت
музоида	مزايده
музоиқа	مضايقه
музокира	مذاکره
музокирачӣ	مزاکره چي
музореъ	مضارع
музоф	مضاف
музофот	مضافات
музофотӣ	مضافاتي
музоҳим	مزاحم
музоҳимат	مزاحمت
музоҷаат	مضاجعت
музояда	مزايده
музоядабар	مزايده بر
музтар	مضطر
музтариб	مضطرب
музтарибона	مضطربانه
музтарибҳол	مضطرب حال
музтарӣ	مضطري
музтарона	مضطرانه
музҳик	مضحک
музҷот	مزجات
муизз	معز
муил	معيل
муин	معين
мукааб	مکعب
мукаабметр	مکعب متر
мукаабшакл	مکعب شکل
мукавван	مکون
мукаддар	مکدر
мукаллал	مکلّل
мукаллаф	مکلّف
мукаллафият	مکلّفيت
мукаммал	مکمل
мукаммалӣ	مکملي
мукаммил	مکمل
мукаррар	مکرّر
мукнат	مکنت
мукобара	مکابره
муколама	مکالمه
мукос	مکاس
мукотиба	مکاتبه
мукотибот	مکاتبات
мукофот	مکافات
мукофотгирӣ	مکافات گيري
мукофотонидан	مکافاتانيدن
муқаввар	مقور
муқаввас	مقوس
муқаввӣ	مقوي
муқаддам	مقدم
муқаддамот	مقدمات
муқаддар	مقدر
муқаддас	مقدس
муқаддасӣ	مقدسي
муқаддасот	مقدسات
муқаддима	مقدمه
муқаддимавӣ	مقدموي
муқайяд	مقيد
муқаллиб	مقلّب
муқаллид	مقلّد
муқаллидӣ	مقلدي
муқаннаъ	مقنع
муқарнас	مقرنس
муқарраб	مقرب
муқаррар	مقرر
муқарраран	مقرّراً
муқаррарӣ	مقرّري
муқаррарот	مقرّرات
муқарриз	مقرّض
муқарризӣ	مقرّضي
муқассир	مقصر
муқаттар	مقطّر
муқаттаот	مقطّعات
муқашшар	مقشّر
муқашаркунанда	مقشر کننده
муқбил	مقبل
муқим	مقيم
муқимӣ	مقيمي
муқл	مقل
муқла	مقله
муқобил	مقابل
муқобила	مقابله
муқобилбароӣ	مقابل براي
муқобилгузорӣ	مقابل گذاري
муқобилият	مقابليت
муқова	مقاوه
муқовабанд	مقاوه بند
муқовабандӣ	مقاوه بندي
муқовадор	مقاوه دار
муқовасоз	مقاوه ساز
муқовасозӣ	مقاوه سازي
муқовимат	مقاومت
муқоиса	مقايسه
муқоисавӣ	مقايسوي
муқоисанашаванда	مقايسه نشونده
муқоисанопазир	مقايسه ناپزير
муқоисашаванда	مقايسه شونده
муқорана	مقارنه
муқорин	مقارن
муқотаа	مقاطعه
муқотала	مقاتله
муқрӣ	مقري
муқтадир	مقتدر
муқтадирӣ	مقتدري
муқтадо	مقتدي
муқтазӣ	مقتضي
муқтазо	مقتضا
муқъад	مقعد
мул	مل
мулавван	ملون
мулаввас	ملوث
мулаққаб	ملقّب
муламмаъ	ملمع
мулаххас	ملخّص
мулзам	ملزم
мулк	ملک
мулкак	ملکک
мулкакгун	ملکک گون
мулкдор	ملکدار
мулкдорӣ	ملکداري
мулкият	ملکيت
мулкӣ	ملکي
мулло	ملا
муллобача	ملابچه
муллобачагӣ	ملابچگي
муллобудбӯтак	ملابدبوتک
муллогӣ	ملاگي
муллоёна	ملايانه
муллозода	ملازاده
муллоӣ	ملايي
муллонамо	ملانما
муллотарош	ملاتراش
муллоҷиринг	ملاجرنگ
мулозим	ملازم
мулозимат	ملازمت
мулозимӣ	ملازمي
мулоим	ملايم
мулоимат	ملايمت
мулоиматӣ	ملايمتي
мулоимбадан	ملايم بدن
мулоимгап	ملايم گپ
мулоимгапӣ	ملايم گپي
мулоимгуфторӣ	ملايم گفتاري
мулоимӣ	ملايمي
мулоимона	ملايمانه
мулоимпашм	ملايم پشم
мулоимсухан	ملايم سخن
мулоимсуханӣ	ملايم سخني
мулоимтабиат	ملايم طبيعت
мулоимтабъ	ملايم طبع
мулоимхунук	ملايم خنک
мулоимхунукӣ	ملايم خنکي
мулоимхунукона	ملايم خنکانه
мулоимшавӣ	ملايم شوي
мулоимшуда	ملايم شده
мулоқӣ	ملاقي
мулоқот	ملاقات
мулоқотгоҳ	ملاقات گاه
мулотафат	ملاطفت
мулоҳиза	ملاحظه
мулоҳизакор	ملاحظه کار
мулоҳизакорӣ	ملاحظه کاري
мулоҳизакорона	ملاحظه کارانه
мулоҳизаронӣ	ملاحظه راني
мултабас	ملتبس
мултафит	ملتفت
мултаҷӣ	ملتجي
мултипликатсия	ملتيپليکتسيه
мулу	مولو
мулук	ملوک
мулӯҳ	ملوه
мулҳақ	ملحق
мулҳақот	ملحقات
мулҳам	ملهم
мулҳид	ملحد
мулҳидӣ	ملحدي
мулҳим	ملهم
мум	موم
мумавваҳ	مموه
мумайиз	مميز
мумандуд	موم اندود
мумаҳҳад	ممهد
мумаҳҳид	ممهد
мумдор	مومدار
мумзада	موم زده
мумидд	ممد
мумиё	موميا
мумиёӣ	موميايي
мумин	مومين
мумӣ	مومي
мумкин	ممکن
мумкинулвуҷуд	ممکن الوجود
мумсик	ممسک
мумсикӣ	ممسکي
мумтадд	ممتد
мумтанеъ	ممتنع
мумтанеъулвуҷуд	ممتنع الوجود
мумтаҳан	ممتحن
мумтаҳин	ممتحن
мумтоз	ممتاز
мумул	مومول
мунаббат	منبت
мунаббаткор	منبت کار
мунаббаткорӣ	منبت کاري
мунаввар	منور
мунавварӣ	منوري
мунағғас	منغّص
муназзам	منظّم
муназзаҳ	منزّه
муназзим	منظّم
мунаққаҳ	منقّح
мунаққаш	منقّش
мунаққид	منقّد
мунаҷҷим	منجم
мунаҷҷимӣ	منجمي
мундарис	مندرس
мундариҷ	مندرج
мундариҷа	مندرجه
мундӣ	مندي
мунзавӣ	منزوي
мунзал	منزل
мунзамм	منضم
мунзаҳиф	منزحف
мунир	منير
мунис	مونس
мунитсипалитет	منتسيپليتت
мунитсипалӣ	منتسيپلي
мункар	منکر
мункасир	منکسر
мункасиф	منکسف
мункашиф	منکشف
мункир	منکر
мункиршавӣ	منکرشوي
мунқазӣ	منقضي
мунқалиб	منقلب
мунқариз	منقرض
мунмуна	مونمونه
мунодӣ	منادي
мунодо	منادا
мунозира	مناظره
мунозиравӣ	مناظر وي
мунозирагар	مناظره گر
муноқиз	مناقض
муноқиша	مناقشه
муносиб	مناسب
муносибат	مناسبت
муносибатдор	مناسبت دار
мунофиқ	منافق
мунофиқӣ	منافقي
мунофиқона	منافقانه
мунофират	منافرت
муноҷот	مناجات
мунсалик	منسلک
мунсанӣ	منثني
мунсареҳ	منسرح
мунсиф	منصف
мунсифона	منصفانه
мунтабеъ	منطبع
мунтазам	منتظم
мунтазаман	منتظماً
мунтазамӣ	منتظمي
мунтазамона	منتظمانه
мунтазир	منتظر
мунтазирӣ	منتظري
мунтамис	منتمس
мунтасаб	منتصب
мунтасах	منتسخ
мунтасиб	منتسب
мунтахаб	منتخب
мунтахабот	منتخبات
мунтаҳал	منتحل
мунтаҳил	منتحل
мунтаҳӣ	منتهي
мунтаҷаб	منتجب
мунташир	منتشر
мунфак	منفک
мунфаил	منفعل
мунфарид	منفرد
мунфасил	منفصل
мунфасила	منفصله
мунфасих	منفسخ
мунфаҷир	منفجر
мунфаҷира	منفجره
мунхарит	منخرط
мунҳадим	منهدم
мунҳазим	منهزم
мунҳал	منحل
мунҳанӣ	منحني
мунҳариф	منحرف
мунҳасир	منحصر
мунҳатт	منحط
мунча	منچه
мунҷ	منج
мунҷамид	منجمد
мунҷар	منجر
мунҷик	منجک
муншаот	منشآن
муншигӣ	منشيگي
муншӣ	منشي
мунъадим	منعدم
мунъакис	منعکس
мунъим	منعم
муовадат	معاودت
муованат	معاونت
муовиза	معاوضه
муовин	معاون
муод	معاد
муодил	معادل
муодила	معادله
муоина	معاينه
муолиҷ	معالج
муолиҷа	معالجه
муолиҷавӣ	معالجه وي
муолиҷакунанда	معالجه کننده
муолиҷанашаванда	معالجه نشونده
муолиҷанопазир	معالجه ناپذير
муолиҷапазир	معالجه پذير
муолиҷахона	معالجه خانه
муолиҷашаванда	معالجه شونده
муомил	معامل
муомила	معامله
муомиладор	معامله دار
муомилот	معاملات
муосир	معاصر
муоҳид	معاهد
муоҳида	معاهده
муоҳидабандӣ	معاهده بندي
муоҳиданома	معاهده نامه
муошиқа	معاشقه
муошир	معاشر
муошират	معاشرت
мураббаъ	مربع
мураббигӣ	مربيگي
мураббия	مربيه
мураббӣ	مربي
мураббо	مربا
мураббопазӣ	مربا پزي
мураввақ	مروق
мураввеҳ	مروح
мураккаб	مرکّب
мураккабӣ	مرکّبي
мураккабнависӣ	مرکّب نويسي
мураккабот	مرکّبات
мураққаъ	مرقّع
мураққаъпӯш	مرقّع پوش
мурассаъ	مرصع
мурассаъкорӣ	مرصع کاري
мураттаб	مرتّب
мураттабан	مرتّباً
мураттиб	مرتّب
мураттибӣ	مرتّبي
мураффаҳ	مرفّه
мураффаҳулҳол	مرفّه الحال
мураххам	مرخّم
мураххас	مرخّص
мураххасӣ	مرخّصي
мурват	مروت
мурваттоб	مروت تاب
мурво	مروا
мургу	مرگو
мурғ	مرغ
мурғак	مرغک
мурғбирён	مرغ بريان
мурғбоз	مرغ باز
мурғбозӣ	مرغ بازي
мурғбон	مرغ بان
мурғбонӣ	مرغ باني
мурғво	مرغوا
мурғкабоб	مرغ کباب
мурғобивор	مرغابي وار
мурғобипарварӣ	مرغابي پروري
мурғобӣ	مرغابي
мурғпарвар	مرغ پرور
мурғпарварӣ	مرغ پروري
мурғфарёд	مرغ فرياد
мурғхона	مرغ خانه
мурғчӯҷа	مرغ چوجه
мурғшӯрбо	مرغ شوربا
мурда	مرده
мурдавор	مرده وار
мурдадил	مرده دل
мурдадилӣ	مرده دلي
мурдакаш	مرده کش
мурдакашӣ	مرده کشي
мурдамонанд	مرده مانند
мурдан	مردن
мурданивор	مرده نيوار
мурданӣ	مردني
мурдаосо	مرده آسا
мурдарег	مرده ريگ
мурдасӯзӣ	مرده سوزي
мурдахона	مرده خانه
мурдахӯр	مرده خور
мурдашӯй	مرده شوي
мурдашӯӣ	مرده شويي
мурдоб	مرداب
мурдод	مرداد
мурдор	مردار
мурдорӣ	مرداري
мурдорона	مردارانه
мурид	مريد
муридӣ	مريدي
мурис	مورث
муроат	مراعت
мурод	مراد
муродбахш	مرادبخش
муродиф	مرادف
муроқиб	مراقب
муроқибат	مراقبت
муромурӣ	مرامري
муроот	مراعات
муроотунназир	مراعات النظير
муросила	مراسله
муросилот	مراسلات
муросо	مراسا
муросогар	مراساگر
муросокор	مراساکار
муросокорӣ	مراساکاري
муросокорона	مراساکارانه
мурофиа	مرافعه
мурофиахона	مرافعه خانه
мурофиқат	مرافقت
муроҳиқ	مراهق
муроҷиат	مراجعت
муроҷиаткунанда	مراجعت کننده
муроҷиатнома	مراجعت نامه
мурсал	مرسل
мурсала	مرسله
мурсил	مرسل
муртад	مرتد
муртадӣ	مرتدي
муртазо	مرتضي
муртакиб	مرتکب
муртафеъ	مرتفع
муртаҷеъ	مرتجع
муртоз	مرتاض
мурувват	مروت
мурур	مرور
мурургоҳ	مرورگاه
мурӯд	مرود
мурч	مرچ
мурчдон	مرچ دان
муршид	مرشيد
мусаббеҳ	مسبح
мусаббиб	مسبب
мусаввада	مسوده
мусаввар	مصور
мусаввара	مصوره
мусаввиб	مصوب
мусаввир	مصور
мусаввит	مصوت
мусавӣ	موسوي
мусаддад	مسدد
мусаддас	مسدس
мусаддиқ	مصدق
мусайқал	مصيقل
мусаллам	مسلم
мусалламан	مسلماً
мусаллас	مثلث
мусалласот	مثلثات
мусаллат	مسلّط
мусаллаҳ	مسلّح
мусаллаҳона	مسلّحانه
мусалмон	مسلمان
мусалмонӣ	مسلماني
мусалсал	مسلسل
мусаммам	مصمم
мусамман	مثمن
мусаммар	مسمر
мусаммат	مسمط
мусаммот	مسمات
мусаннаф	مصنف
мусанниф	مصنف
мусаннифӣ	مصنفي
мусаттаҳ	مسطح
мусаффо	مصفا
мусаххар	مسخر
мусаҳҳаф	مصحف
мусаҳҳаҳ	مصحح
мусаҳҳеҳ	مصحح
мусаҳҳеҳӣ	مصححي
мусаҷҷаъ	مسجع
мусбат	مثبت
мусибат	مصيبت
мусибатдида	مصيبت ديده
мусибатзада	مصيبت زده
мусибаткада	مصيبت کده
мусибатнок	مصيبت ناک
мусибатнома	مصيبت نامه
мусиқавӣ	موسيقه وي
мусиқидон	موسيقي دان
мусиқидонӣ	موسيق ي داني
мусиқидӯст	موسيق ي دوست
мусиқинавоз	موسيقي نواز
мусиқинавозӣ	موسيق ي نوازي
мусиқифаҳм	موسيق ي فهم
мусиқишинос	موسيق ي شناس
мусиқишиносӣ	موسيق ي شناسي
мусиқӣ	موسيقي
мусиқор	موسيقار
мусинн	مسن
мусир	موسر
мусирр	مصر
мусича	موسيچه
мускат	مسکت
мусла	مثله
муслеҳ	مصلح
муслим	مسلم
муслима	مسلمه
мускир	مسکر
мускит	مسکت
мусмир	مثمر
муснад	مسند
мӯсо	موسي
мусобиқа	مسابقه
мусобиқакунанда	مسابقه کننده
мусовият	مساويت
мусовот	مساوات
мусовӣ	مساوي
мусодим	مصادم
мусодима	مصادمه
мусодиравӣ	مصادر وي
мусоид	مساعد
мусоидат	مساعدت
мусолимат	مسالمت
мусолиматомез	مسالمت آميز
мусолиҳа	مسالحه
мусомара	مسامره
мусомаҳа	مسامحه
мусофаҳа	مصافحه
мусофир	مسافر
мусофират	مسافرت
мусофирбар	مسافربر
мусофирбарӣ	مسافربري
мусофиргирӣ	مسافر گيري
мусофирӣ	مسافري
мусофиркаш	مسافرکش
мусофиркашонӣ	مسافرکشاني
мусофирхок	مسافرخاک
мусофирхона	مسافرخانه
мусоҳамат	مساهمت
мусоҳиб	مصاحب
мусоҳиба	مصاحبه
мусоҳибӣ	مصاحبي
мусоҳила	مساهله
мусоҳилакор	مساهله کار
мусоҳилакорӣ	مساهله کاري
мусоҳилакорона	مساهله کارانه
мусоҳим	مساهم
мусреъ	مسرع
мусриф	مسرف
муссон	مسان
муст	مست
муста	مسته
мустабид	مستبد
мустабидӣ	مستبدي
мустабидона	مستبدانه
муставӣ	مستوي
муставлӣ	مستولي
муставфӣ	مستوفي
мустағал	مستغل
мустағнӣ	مستغني
мустағриқ	مستغرق
мустадир	مستدر
мустадом	مستدام
мустазод	مستزاد
мустазҳар	مستظهر
мустазҳир	مستظهر
мустаидд	مستعد
мустаин	مستعين
мустакбир	مستکبر
мустакбирӣ	مستکبري
мустақарр	مستقر
мустақбал	مستقبل
мустақил	مستقل
мустақилан	مستقلاً
мустақилият	مستقليت
мустақилиятӣ	مستقليتي
мустақилӣ	مستقلي
мустақилмаъно	مستقل معنا
мустақилона	مستقلانه
мустақилшавӣ	مستقل شوي
мустақим	مستقيم
мустақиман	مستقيماً
мустақимона	مستقيمانه
мустақирр	مستقر
мусталаҳ	مصطلح
мусталаҳот	مصطلحات
мустаманд	مستمند
мустамандӣ	مستمندي
мустамирр	مستمر
мустамлика	مستملکه
мустамликавӣ	مستملکوي
мустамликадор	مستملکه دار
мустамликадорӣ	مستملکه داري
мустанад	مستند
мустанир	مستنير
мустаншиқ	مستنشق
мустаон	مستعان
мустаор	مستعار
мустарад	مسترد
мустареҳ	مسترح
мустароҳ	مستراح
мустасмар	مستثمر
мустасмир	مستثمر
мустатил	مستطيل
мустатоб	مستطاب
мустафо	مصطفي
мустафод	مستفاد
мустаҳабб	مستحب
мустаҳкам	مستحکم
мустаҳкамӣ	مستحکمي
мустаҳкамкунанда	مستحکم کننده
мустаҳкамкунӣ	مستحکم کني
мустаҳкамшавӣ	مستحکم شوي
мустаҷир	مستجير
мустаҷоб	مستجاب
мусташор	مستشار
мусташриқ	مستشرق
мустаъмал	مستعمل
мустаъриб	مستعرب
мустаъсал	مستأصل
мустаъфӣ	مستعفي
мусулмон	مسلمان
мусулмонӣ	مسلماني
мусулмонобод	مسلمان آباد
мусҳаф	مصحف
мусҳил	مسهل
мутааддид	متعدد
мутааддӣ	متعدي
мутааққид	متعقد
мутааллиқ	متعلق
мутааллиқӣ	متعلقي
мутааллиқот	متعلقات
мутааллим	متألم
мутаассиб	متعصب
мутаассибӣ	متعصبي
мутаассибона	متعصبانه
мутаассир	متأثر
мутаассиршавӣ	متأثر شوي
мутаассиф	متأسف
мутаассифан	متأسفاً
мутаассифона	متأسفانه
мутааффин	متعفن
мутааххир	متأخر
мутааҳҳид	متعهد
мутааҳҳил	متأهل
мутааҷҷиб	متعجب
мутааҷҷибона	متعجبانه
мутабассим	متبسم
мутаваззо	متوضا
мутаввакил	متوکل
мутаваққеъ	متوقع
мутаваққиф	متوقف
мутаваллид	متولد
мутаваллӣ	متولي
мутаварреъ	متورع
мутавассит	متوسط
мутаваттин	متوطن
мутаваҳҳим	متوهم
мутаваҷҷеҳ	متوجه
мутавозеона	متواضعانه
мутавозеъ	متواضع
мутавозиян	متوازياً
мутавозӣ	متوازي
мутаволиян	متوالياً
мутаволӣ	متوالي
мутаворӣ	متواري
мутавотир	متواتر
мутағайир	متغير
мутағаллиб	متغلب
мутағоир	متغاير
мутадайин	متدين
мутадовил	متداول
мутазаккир	متذکّر
мутазалзил	متزلزل
мутазодд	متضاد
мутакаббир	متکبر
мутакаббирӣ	متکبري
мутакаббирона	متکبرانه
мутакаллим	متکلم
мутакаффил	متکفل
мутақаддим	متقدم
мутаққаллиб	متقلب
мутаққаллид	متقلد
мутақобил	متقابل
мутақориб	متقارب
муталаввин	متلون
муталло	مطلا
муталлошӣ	متلاشي
мутамаввил	متمول
мутамаддин	متمدن
мутамаккин	متمکّن
мутамаллиқ	متملّق
мутамаллиқона	متملّقانه
мутаманнӣ	متمنّي
мутамарказ	متمرکز
мутамарказонидан	متمرکزانيدن
мутамодӣ	متمادي
мутамоил	متمايل
мутанаббеҳ	متنبه
мутанаббӣ	متنبي
мутанаввеъ	متنوع
мутанаккир	متنکّر
мутанаффир	متنفّر
мутанаффис	متنفّس
мутаносиб	متناسب
мутаносибан	متناسباً
мутаносибӣ	متناسبي
мутаноҳӣ	متناهي
мутант	موتنت
мутантан	مطنطن
мутаол	متعال
мутаориф	متعارف
мутараддид	متردد
мутараддидӣ	مترددي
мутараддидона	مترددانه
мутараққӣ	مترقّي
мутаранним	مترنّم
мутарассид	مترصد
мутараттиб	مترتّب
мутарашшеҳ	مترشّح
мутародиф	مترادف
мутароким	متراکم
мутарро	مطرا
мутаррогар	مطراگر
мутарҷим	مترجم
мутасаввиф	متصوف
мутасаддӣ	متصدي
мутасарриф	متصرف
мутафаккир	متفکّر
мутафаккирона	متفکّرانه
мутафаррид	متفرّد
мутафарриқ	متفرّق
мутахаллис	متخلّص
мутахассис	متخصص
мутахассисӣ	متخصصي
мутаҳаввир	متهور
мутаҳаййир	متحير
мутаҳаййирона	متحيرانه
мутаҳаққиқ	متحقّق
мутаҳаммил	متحمل
мутаҳаррик	متحرّک
мутаҳаррикӣ	متحرّکي
мутаҳарриқ	متحرق
мутаҳассис	متحصص
мутаҳҳар	مطهر
мутаҷассис	متجسس
мутаҷовиз	متجاوز
муташаккил	متشکل
муташаккилӣ	متشکلي
муташаккилона	متشکلانه
муташаккир	متشکر
муташанниҷ	متشنج
мутеият	مطيعيت
мутеӣ	مطيعي
мутеона	مطيعانه
мутеъ	مطيع
мутлақ	مطلق
мутлақан	مطلقاً
мутлақият	مطلقيت
мутлақо	مطلقا
мутмаин	مطمئن
мутобеъ	متابع
мутобиат	متابعت
мутобиқ	مطابق
мутобиқан	مطابقاً
мутобиқат	مطابقت
мутоиба	مطايبه
мутоибагӯӣ	مطايبه گوئي
мутолиа	مطالعه
мутолиакунанда	مطالعه کننده
муторика	متارکه
мутоъ	مطاع
мутриб	مطرب
мутрибӣ	مطربي
муттакӣ	متکي
муттақӣ	متقي
мутталеъ	مطلع
муттасеъ	متسع
муттасил	متصل
муттасила	متصله
муттасилан	متصلاً
муттасилӣ	متصلي
муттафиқ	متفق
муттаҳам	متهم
муттаҳамӣ	متّهمي
муттаҳид	متحد
муттаҳида	متّحده
муттаҳидан	متّحداً
муттаҳидгардонӣ	متّحدگرداني
муттаҳидӣ	متّحدي
муттаҳидкунанда	متّحدکننده
муттаҳидона	متّحدانه
муттаҳидшавӣ	متحدشوي
муттаҳим	متّهم
мутун	متون
мутъа	متعه
муфавваз	مفوض
муфарраҳ	مفرح
муфарреҳ	مفرّح
муфарреҳнома	مفرّح نامه
муфассал	مفصل
муфассалан	مفصلاً
муфассалӣ	مفصلي
муфаттеҳ	مفتّح
муфаттиш	مفتّش
муфаттишӣ	مفتّشي
муфассир	مفسر
муфид	مفيد
муфиз	مفيض
муфлиқ	مفلق
муфлис	مفلس
муфлисӣ	مفلسي
муфлискунанда	مفلس کننده
муфлисшавӣ	مفلس شوي
муфориқ	مفارق
муфориқат	مفارقت
муфохир	مفاخر
муфохират	مفاخرت
муфоҷот	مفاجات
муфрад	مفرد
муфрадот	مفردات
муфсид	مفسد
муфсидӣ	مفسدي
муфт	مفت
муфтазеҳ	مفتضح
муфтақир	مفتقر
муфтариқ	مفترق
муфтахар	مفتخر
муфтбар	مفت بر
муфтбарӣ	مفت بري
муфтбоз	مفت باز
муфтигӣ	مفتيگي
муфтиёт	مفتيات
муфтӣ	مفتي
муфтхорӣ	مفت خواري
муфтхӯр	مفت خور
муфтхӯрӣ	مفت خوري
муфҳим	مفهم
муфҳиш	مفحش
мухаддар	مخدر
мухаддара	مخدره
мухаддарот	مخدرات
мухаддир	مخدر
мухаддира	مخدره
мухаййил	مخيل
мухаййила	مخيله
мухаййир	مخير
мухайял	مخيل
мухайям	مخيم
мухайяр	مخير
мухаллад	مخلد
мухаллас	مخلص
мухаммар	مخمر
мухаммас	مخمس
муханнас	مخنث
мухарриб	مخرب
мухаффаф	مخفف
мухбир	مخبر
мухбирӣ	مخبري
мухлис	مخلص
мухлисӣ	مخلصي
мухлисона	مخلصانه
мухобира	مخابره
мухоз	مخاز
мухолиф	مخالف
мухолифат	مخالفت
мухолифатандоз	مخالف انداز
мухолифатандозӣ	مخالف اندازي
мухолифаткор	مخالفت کار
мухолифаткорӣ	مخالفت کاري
мухолифин	مخالفين
мухосама	مخاصمه
